Player,Annual Wages ($),Year,Team
Kevin Cabral,1950000.0,2024,Colorado Rapids
Rafael Navarro,1392000.0,2024,Colorado Rapids
Djordje Mihailovic,1350000.0,2024,Colorado Rapids
Andreas Maxsø,1150000.0,2024,Colorado Rapids
Zack Steffen,900000.0,2024,Colorado Rapids
Sam Vines,850000.0,2024,Colorado Rapids
Cole Bassett,850000.0,2024,Colorado Rapids
Lalas Abubakar,665000.0,2024,Colorado Rapids
Omir Fernandez,575000.0,2024,Colorado Rapids
Connor Ronan,470000.0,2024,Colorado Rapids
Jonathan Lewis,410000.0,2024,Colorado Rapids
Keegan Rosenberry,400000.0,2024,Colorado Rapids
Aboubacar Keita,240000.0,2024,Colorado Rapids
Jasper Löffelsend,230000.0,2024,Colorado Rapids
Sebastian Anderson,150000.0,2024,Colorado Rapids
Michael Edwards,130000.0,2024,Colorado Rapids
Calvin Harris,125000.0,2024,Colorado Rapids
Oliver Larraz,100000.0,2024,Colorado Rapids
Daniel Chacón,90000.0,2024,Colorado Rapids
Jackson Travis,89716.0,2024,Colorado Rapids
Ethan Bandré,89716.0,2024,Colorado Rapids
Darren Yapi,89716.0,2024,Colorado Rapids
Kimani Stewart-Baynes,71401.0,2024,Colorado Rapids
Nate Jones,71401.0,2024,Colorado Rapids
Wayne Frederick,71401.0,2024,Colorado Rapids
Adam Beaudry,71401.0,2024,Colorado Rapids
26 Players,,2024,Colorado Rapids
Cristian Arango,1899996.0,2024,Real Salt Lake
Diogo Gonçalves,1650000.0,2024,Real Salt Lake
Justen Glad,1150000.0,2024,Real Salt Lake
Matt Crooks,1000000.0,2024,Real Salt Lake
Pablo Ruíz,825000.0,2024,Real Salt Lake
Anderson Julio,750000.0,2024,Real Salt Lake
Braian Ojeda,600000.0,2024,Real Salt Lake
Dominik Marczuk,600000.0,2024,Real Salt Lake
Brayan Vera,475000.0,2024,Real Salt Lake
Marcelo Silva,400000.0,2024,Real Salt Lake
Alexandros Katranis,400000.0,2024,Real Salt Lake
Diego Luna,400000.0,2024,Real Salt Lake
Zac MacMath,350000.0,2024,Real Salt Lake
Nelson Palacio,330000.0,2024,Real Salt Lake
Andrew Brody,275000.0,2024,Real Salt Lake
Lachlan Brook,252000.0,2024,Real Salt Lake
Erik Holt,225000.0,2024,Real Salt Lake
Javain Brown,205000.0,2024,Real Salt Lake
Maikel Chang,195000.0,2024,Real Salt Lake
Benji Michel,185000.0,2024,Real Salt Lake
Bode Davis,125000.0,2024,Real Salt Lake
Zack Farnsworth,125000.0,2024,Real Salt Lake
Gavin Beavers,120000.0,2024,Real Salt Lake
Axel Kei,110000.0,2024,Real Salt Lake
Jaziel Orozco,89716.0,2024,Real Salt Lake
Philip Quinton,89716.0,2024,Real Salt Lake
Noel Caliskan,89716.0,2024,Real Salt Lake
Luis Rivera,89716.0,2024,Real Salt Lake
Emeka Eneli,89716.0,2024,Real Salt Lake
Bertin Jacquesson,89716.0,2024,Real Salt Lake
Matthew Bell,71401.0,2024,Real Salt Lake
Luca Moisa,71401.0,2024,Real Salt Lake
Kevin Bonilla,71401.0,2024,Real Salt Lake
Tommy Silva,71401.0,2024,Real Salt Lake
Zavier Gozo,71401.0,2024,Real Salt Lake
35 Players,,2024,Real Salt Lake
