rank,team,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90
1, FC Cincinnati,17,13,2,2,33,13,+20,41,2.41,29.0,16.2,+12.8,+0.75,17,7,7,3,24,26,-2,28,1.65,27.3,24.5,+2.8,+0.16
2, Orlando City,17,9,5,3,31,19,+12,32,1.88,23.3,17.4,+6.0,+0.35,17,9,4,4,24,20,+4,31,1.82,18.7,23.3,-4.6,-0.27
3, Columbus Crew,17,12,4,1,41,14,+27,40,2.35,33.7,15.8,+17.9,+1.05,17,4,5,8,26,32,-6,17,1.00,23.9,25.4,-1.5,-0.09
4, Philadelphia Union,17,10,6,1,33,13,+20,36,2.12,26.3,18.5,+7.8,+0.46,17,5,4,8,24,28,-4,19,1.12,23.2,25.7,-2.5,-0.15
5, NE Revolution,17,12,4,1,37,16,+21,40,2.35,27.4,17.9,+9.5,+0.56,17,3,6,8,21,30,-9,15,0.88,15.1,27.1,-12.0,-0.71
6, Atlanta Utd,17,10,4,3,42,21,+21,34,2.00,28.4,18.9,+9.5,+0.56,17,3,8,6,24,32,-8,17,1.00,20.3,27.0,-6.7,-0.40
7, Nashville SC,17,9,4,4,25,13,+12,31,1.82,28.5,16.4,+12.1,+0.71,17,4,6,7,14,19,-5,18,1.06,13.3,19.8,-6.5,-0.38
8, NY Red Bulls,17,7,5,5,21,17,+4,26,1.53,22.6,13.4,+9.2,+0.54,17,4,5,8,15,22,-7,17,1.00,23.7,20.5,+3.2,+0.19
9, Charlotte,17,6,8,3,24,21,+3,26,1.53,21.3,21.0,+0.3,+0.02,17,4,5,8,21,31,-10,17,1.00,15.7,28.6,-12.9,-0.76
10, CF Montréal,17,10,3,4,26,12,+14,33,1.94,20.4,19.2,+1.2,+0.07,17,2,2,13,10,40,-30,8,0.47,17.4,31.0,-13.6,-0.80
11, NYCFC,17,8,6,3,23,16,+7,30,1.76,25.5,17.1,+8.4,+0.49,17,1,8,8,12,23,-11,11,0.65,16.5,19.0,-2.5,-0.15
12, D.C. United,17,6,6,5,31,23,+8,24,1.41,26.9,22.5,+4.4,+0.26,17,4,4,9,14,26,-12,16,0.94,19.0,20.1,-1.1,-0.07
13, Chicago Fire,17,6,7,4,26,22,+4,25,1.47,20.1,24.2,-4.1,-0.24,17,4,3,10,13,29,-16,15,0.88,18.1,26.9,-8.8,-0.52
14, Inter Miami,17,6,5,6,25,21,+4,23,1.35,19.8,25.3,-5.5,-0.32,17,3,2,12,16,33,-17,11,0.65,18.4,26.8,-8.5,-0.50
15, Toronto FC,17,4,6,7,19,22,-3,18,1.06,19.8,24.1,-4.3,-0.25,17,0,4,13,7,37,-30,4,0.24,11.5,29.9,-18.4,-1.08
