ranker,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,12,9,9,2,1,8,13,61.5,5,24,11,13,16,28,52,0,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,22,11,17,5,0,13,18,72.2,5,23,17,6,34,56,61,2,Matches
3,Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,29,20,22,7,0,11,24,45.8,13,21,8,13,15,44,34,0,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,22,15,14,7,1,6,16,37.5,10,17,5,12,7,29,14,1,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,18,12,5,11,2,12,23,52.2,11,4,2,2,8,26,4,0,Matches
6,Kellyn Acosta,us USA,MF,LAFC,27,1995,16.6,34,20,13,15,6,17,33,51.5,16,22,2,20,18,52,11,0,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,36,19,18,9,9,13,41,31.7,28,22,1,21,18,54,3,1,Matches
8,Sam Adekugbe,ca CAN,FWDF,Vancouver W'caps,28,1995,4.5,4,3,2,2,0,1,3,33.3,2,4,1,3,7,11,10,0,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,7,4,3,3,1,3,6,50.0,3,6,0,6,3,10,8,0,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,11,7,4,5,2,7,19,36.8,12,10,2,8,22,33,26,1,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,3,2,1,1,1,1,5,20.0,4,6,2,4,2,5,1,0,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver W'caps,24,1998,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
14,Daniel Aguirre,us USA,MFFW,LA Galaxy,23,1999,6.4,8,2,5,3,0,5,8,62.5,3,10,2,8,6,14,6,0,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,2.1,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,3,0,Matches
16,Ali Ahmed,ca CAN,MFDF,Vancouver W'caps,22,2000,12.5,37,27,10,16,11,15,25,60.0,10,13,2,11,18,55,1,0,Matches
17,Carlos Akapo,gq EQG,DF,SJ Earthquakes,29,1993,23.8,61,37,37,13,11,30,56,53.6,26,32,7,25,42,103,79,1,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,2.0,1,1,0,1,0,1,1,100.0,0,2,2,0,1,2,6,0,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,6.2,1,1,0,1,0,0,2,0.0,2,5,0,5,0,1,3,0,Matches
20,Ayo Akinola,ca CAN,FWMF,SJ Earthquakes,23,2000,0.6,3,1,3,0,0,1,1,100.0,0,2,1,1,0,3,2,0,Matches
