ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,3,0.19,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,6,0.28,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,14,1.48,14,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,40,3.23,22,12,4,0,1,1,2,0.16,1,0,1,0,0,0,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,7,1.38,4,1,0,0,0,2,1,0.20,1,0,0,0,0,0,Matches
6,Kellyn Acosta,us USA,MF,LAFC,27,1995,16.6,37,2.22,21,13,1,0,2,0,2,0.12,1,1,0,0,0,0,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,205,7.08,125,32,22,7,16,3,29,1.00,20,1,4,0,3,1,Matches
8,Sam Adekugbe,ca CAN,FWDF,Vancouver W'caps,28,1995,4.5,10,2.21,9,1,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,19,1.80,13,0,3,2,0,1,2,0.19,1,0,0,0,0,1,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,24,2.27,21,0,2,1,0,0,7,0.66,5,0,2,0,0,0,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,1,1.76,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,21,2.75,13,1,2,4,1,0,0,0.00,0,0,0,0,0,0,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver W'caps,24,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Daniel Aguirre,us USA,MFFW,LA Galaxy,23,1999,6.4,27,4.25,19,2,1,2,3,0,3,0.47,1,0,1,0,1,0,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,2.1,5,2.36,1,0,3,0,1,0,0,0.00,0,0,0,0,0,0,Matches
16,Ali Ahmed,ca CAN,MFDF,Vancouver W'caps,22,2000,12.5,49,3.92,37,0,3,1,7,1,4,0.32,3,0,0,0,0,1,Matches
17,Carlos Akapo,gq EQG,DF,SJ Earthquakes,29,1993,23.8,45,1.89,36,2,3,1,2,1,6,0.25,5,0,0,0,0,1,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,2.0,1,0.49,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,6.2,13,2.10,8,0,2,1,2,0,2,0.32,1,0,0,1,0,0,Matches
20,Ayo Akinola,ca CAN,FWMF,SJ Earthquakes,23,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Joey Akpunonu,us USA,DF,FC Cincinnati,21,2001,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,33,1989,4.9,7,1.44,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Tony Alfaro,us USA,DF,NYCFC,29,1993,4.2,2,0.48,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Tony Alfaro,us USA,DF,LA Galaxy,29,1993,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
25,Noah Allen,us USA,DF,Inter Miami,18,2004,13.9,19,1.36,14,3,1,1,0,0,4,0.29,4,0,0,0,0,0,Matches
Rk
26,Rasmus Alm,se SWE,MFFW,St. Louis,27,1995,12.2,36,2.96,28,3,1,1,3,0,6,0.49,4,1,0,0,1,0,Matches
27,Thiago Almada,ar ARG,MF,Atlanta Utd,21,2001,30.3,207,6.83,138,22,21,14,10,2,33,1.09,20,3,2,6,2,0,Matches
28,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,37,1985,1.1,1,0.93,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
29,Jozy Altidore,us USA,FW,NE Revolution,33,1989,2.3,2,0.88,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Efrain Alvarez,mx MEX,MFFW,LA Galaxy,20,2002,4.2,20,4.77,15,3,0,2,0,0,3,0.72,3,0,0,0,0,0,Matches
31,Fernando Álvarez,co COL,DF,CF Montréal,19,2003,2.8,3,1.06,1,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
32,Luis Amarilla,py PAR,FW,Minnesota Utd,27,1995,8.2,21,2.55,16,0,3,1,1,0,1,0.12,0,0,0,0,1,0,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,22,2000,21.3,75,3.52,52,15,3,2,0,3,7,0.33,6,1,0,0,0,0,Matches
34,Malte Amundsen,dk DEN,DF,Columbus Crew,24,1998,21.0,24,1.14,22,0,0,2,0,0,4,0.19,4,0,0,0,0,0,Matches
35,Sebastian Anderson,us USA,DF,Colorado Rapids,20,2002,3.0,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,José Andrés Martínez,ve VEN,MF,Philadelphia Union,28,1994,20.3,45,2.22,32,2,5,3,3,0,8,0.40,5,1,2,0,0,0,Matches
37,Iván Angulo,co COL,FWDF,Orlando City,23,1999,27.6,74,2.69,59,0,11,4,0,0,11,0.40,8,0,2,1,0,0,Matches
38,Marco Angulo,ec ECU,MF,FC Cincinnati,20,2002,8.7,10,1.15,10,0,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches
39,Eugene Ansah,gh GHA,FW,FC Dallas,28,1994,2.0,1,0.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Themi Antonoglou,ca CAN,DFMF,Toronto FC,21,2001,5.3,6,1.12,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
41,Antony,br BRA,FWMF,Portland Timbers,21,2001,2.8,11,3.90,9,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
42,Brian Anunga,cm CMR,MF,Nashville SC,26,1996,6.3,4,0.64,4,0,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
