ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,0,2,0,0.0,0.12,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,2,8,5,62.5,0.37,0.23,0.25,0.40,11.0,0,0,0,0.8,0.8,0.10,+1.2,+1.2,Matches
3,Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,0,3,0,0.0,0.32,0.00,0.00,,14.1,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,0,14,5,35.7,1.13,0.40,0.00,0.00,22.1,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,0,2,0,0.0,0.39,0.00,0.00,,32.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
6,Kellyn Acosta,us USA,MF,LAFC,27,1995,16.6,0,14,4,28.6,0.84,0.24,0.00,0.00,24.6,4,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,17,75,31,41.3,2.59,1.07,0.13,0.32,22.5,10,7,8,12.9,6.6,0.09,+4.1,+3.4,Matches
8,Sam Adekugbe,ca CAN,FWDF,Vancouver W'caps,28,1995,4.5,0,2,0,0.0,0.44,0.00,0.00,,17.6,1,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,8,34,12,35.3,3.22,1.14,0.21,0.58,16.7,0,1,1,3.9,3.1,0.09,+4.1,+3.9,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,0,4,1,25.0,0.38,0.09,0.00,0.00,24.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,3,27,8,29.6,3.53,1.05,0.11,0.38,15.4,0,0,0,3.0,2.9,0.11,0.0,+0.1,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver W'caps,24,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
14,Daniel Aguirre,us USA,MFFW,LA Galaxy,23,1999,6.4,1,14,5,35.7,2.20,0.79,0.07,0.20,15.0,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,2.1,1,7,2,28.6,3.30,0.94,0.14,0.50,13.1,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
16,Ali Ahmed,ca CAN,MFDF,Vancouver W'caps,22,2000,12.5,2,15,9,60.0,1.20,0.72,0.13,0.22,15.2,0,0,0,2.7,2.7,0.18,-0.7,-0.7,Matches
17,Carlos Akapo,gq EQG,DF,SJ Earthquakes,29,1993,23.8,2,27,3,11.1,1.13,0.13,0.07,0.67,17.2,0,0,0,1.3,1.3,0.05,+0.7,+0.7,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,2.0,0,1,0,0.0,0.49,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,6.2,0,11,3,27.3,1.77,0.48,0.00,0.00,17.3,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
20,Ayo Akinola,ca CAN,FWMF,SJ Earthquakes,23,2000,0.6,0,1,0,0.0,1.64,0.00,0.00,,17.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
21,Joey Akpunonu,us USA,DF,FC Cincinnati,21,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,33,1989,4.9,1,1,1,100.0,0.21,0.21,1.00,1.00,12.5,0,0,0,0.6,0.6,0.58,+0.4,+0.4,Matches
23,Tony Alfaro,us USA,DF,NYCFC,29,1993,4.2,0,1,0,0.0,0.24,0.00,0.00,,11.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
24,Tony Alfaro,us USA,DF,LA Galaxy,29,1993,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
25,Noah Allen,us USA,DF,Inter Miami,18,2004,13.9,1,9,4,44.4,0.65,0.29,0.11,0.25,21.4,1,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
Rk
26,Rasmus Alm,se SWE,MFFW,St. Louis,27,1995,12.2,3,13,8,61.5,1.07,0.66,0.23,0.38,15.5,0,0,0,1.7,1.7,0.13,+1.3,+1.3,Matches
27,Thiago Almada,ar ARG,MF,Atlanta Utd,21,2001,30.3,11,106,41,38.7,3.50,1.35,0.08,0.22,23.5,19,2,3,9.5,7.2,0.07,+1.5,+1.8,Matches
28,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,37,1985,1.1,0,2,0,0.0,1.86,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
29,Jozy Altidore,us USA,FW,NE Revolution,33,1989,2.3,1,4,2,50.0,1.77,0.89,0.25,0.50,9.0,0,0,0,1.2,1.2,0.30,-0.2,-0.2,Matches
30,Efrain Alvarez,mx MEX,MFFW,LA Galaxy,20,2002,4.2,0,8,2,25.0,1.91,0.48,0.00,0.00,17.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
