ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,22,16,1456,16.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,29,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,26,23,1920,21.3,2,0,2,2,0,0,9,1,0.8,0.8,0.2,1.0,5,50,3,0.09,0.00,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05,Matches
3,Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,20,9,853,9.5,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,21,24,34,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.04,0.07,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,14,13,1117,12.4,0,0,0,0,0,0,6,0,0.9,0.9,2.7,3.6,11,53,24,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,7,5,458,5.1,0,1,1,0,0,0,1,0,0.0,0.0,0.9,0.9,0,19,3,0.00,0.20,0.20,0.00,0.20,0.00,0.17,0.18,0.00,0.18,Matches
6,Kellyn Acosta,us USA,MF,LAFC,27,1995,24,18,1498,16.6,0,0,0,0,0,0,5,0,0.6,0.6,1.1,1.7,9,58,24,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.10,0.04,0.10,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,32,29,2605,28.9,17,10,27,10,7,8,7,0,12.9,6.6,10.2,16.8,116,218,226,0.59,0.35,0.93,0.35,0.69,0.44,0.35,0.80,0.23,0.58,Matches
8,Sam Adekugbe,ca CAN,FWDF,Vancouver W'caps,28,1995,10,4,409,4.5,0,1,1,0,0,0,2,0,0.2,0.2,0.8,0.9,7,17,35,0.00,0.22,0.22,0.00,0.22,0.03,0.18,0.21,0.03,0.21,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,18,11,949,10.5,8,1,9,7,1,1,3,1,3.9,3.1,1.3,4.4,32,12,46,0.76,0.09,0.85,0.66,0.76,0.37,0.12,0.49,0.29,0.42,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,15,11,951,10.6,0,1,1,0,0,0,3,0,0.2,0.2,0.7,0.8,14,50,11,0.00,0.09,0.09,0.00,0.09,0.02,0.06,0.08,0.02,0.08,Matches
