ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
1,Lionel Messi,ar ARG,FWMF,Inter Miami,35,$230769 (€ 211478 £ 181806),$12000000 (€ 10996853 £ 9453934),
2,Lorenzo Insigne,it ITA,FWMF,Toronto FC,31,$144231 (€ 132174 £ 113629),$7500000 (€ 6873033 £ 5908709),
3,Xherdan Shaqiri,ch SUI,MF,Chicago Fire,31,$141346 (€ 129530 £ 111356),$7350000 (€ 6735573 £ 5790534),
4,Javier Hernández,mx MEX,FW,LA Galaxy,34,$115385 (€ 105739 £ 90903),$6000000 (€ 5498427 £ 4726967),
5,Héctor Herrera,mx MEX,MF,Houston Dynamo,32,$91346 (€ 83710 £ 71965),$4750000 (€ 4352921 £ 3742182),
6,Christian Benteke,be BEL,FW,D.C. United,32,$81731 (€ 74898 £ 64390),$4250000 (€ 3894719 £ 3348268),
7,Josef Martínez,ve VEN,FW,Inter Miami,29,$76923 (€ 70493 £ 60602),$4000000 (€ 3665618 £ 3151311),
8,Sebastián Driussi,ar ARG,MFFW,Austin,26,$73077 (€ 66968 £ 57572),$3800000 (€ 3482337 £ 2993746),
9,Carles Gil,es ESP,MF,NE Revolution,30,$62500 (€ 57275 £ 49239),$3250000 (€ 2978314 £ 2560440),
10,Teemu Pukki,fi FIN,FW,Minnesota Utd,32,$61538 (€ 56394 £ 48482),$3200000 (€ 2932494 £ 2521049),
11,Federico Bernardeschi,it ITA,FWMF,Toronto FC,28,$60096 (€ 55072 £ 47345),$3125000 (€ 2863764 £ 2461962),
12,Carlos Vela,mx MEX,FW,LAFC,33,$57692 (€ 52869 £ 45452),$3000000 (€ 2749213 £ 2363483),
13,Douglas Costa,br BRA,FWMF,LA Galaxy,32,$57692 (€ 52869 £ 45452),$3000000 (€ 2749213 £ 2363483),
14,Hany Mukhtar,de GER,FWMF,Nashville SC,27,$55769 (€ 51107 £ 43937),$2900000 (€ 2657573 £ 2284701),
15,Nicolás Lodeiro,uy URU,MFFW,Seattle Sounders,33,$50769 (€ 46525 £ 39997),$2640000 (€ 2419308 £ 2079865),
16,Diego Rossi,uy URU,MFFW,Columbus Crew,24,$50481 (€ 46261 £ 39770),$2625000 (€ 2405562 £ 2068048),
17,Cucho,co COL,FW,Columbus Crew,23,$50000 (€ 45820 £ 39391),$2600000 (€ 2382652 £ 2048352),
18,Sam Surridge,eng ENG,FW,Nashville SC,24,$48077 (€ 44058 £ 37876),$2500000 (€ 2291011 £ 1969570),
19,Gustavo Bou,ar ARG,FWMF,NE Revolution,32,$48077 (€ 44058 £ 37876),$2500000 (€ 2291011 £ 1969570),
20,Raúl Ruidíaz,pe PER,FW,Seattle Sounders,32,$47538 (€ 43564 £ 37452),$2472000 (€ 2265352 £ 1947510),
21,Ryan Gauld,sct SCO,FWMF,Vancouver W'caps,27,$46154 (€ 42296 £ 36361),$2400000 (€ 2199371 £ 1890787),
22,Alan Pulido,mx MEX,FW,Sporting KC,31,$42308 (€ 38771 £ 33331),$2200000 (€ 2016090 £ 1733221),
23,Karol Świderski,pl POL,FWMF,Charlotte,26,$42308 (€ 38771 £ 33331),$2200000 (€ 2016090 £ 1733221),
24,Denis Bouanga,ga GAB,FW,LAFC,28,$40064 (€ 36715 £ 31564),$2083333 (€ 1909176 £ 1641308),
25,Saba Lobjanidze, ,LW,Atlanta Utd,28,$39462 (€ 36163 £ 31089),$2052000 (€ 1880462 £ 1616623),
Rk
26,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,$37375 (€ 34251 £ 29445),$1943500 (€ 1781032 £ 1531143),
27,Mateusz Klich,pl POL,MFFW,D.C. United,32,$36538 (€ 33484 £ 28786),$1900000 (€ 1741168 £ 1496873),
28,Cristian Arango,co COL,FW,Real Salt Lake,27,$36538 (€ 33484 £ 28786),$1899996 (€ 1741165 £ 1496870),
29,Evander, ,CM,Portland Timbers,25,$36250 (€ 33220 £ 28559),$1885000 (€ 1727422 £ 1485055),
30,Walker Zimmerman,us USA,DF,Nashville SC,29,$34615 (€ 31722 £ 27271),$1800000 (€ 1649528 £ 1418090),
31,Kevin Cabral,fr FRA,FWMF,Colorado Rapids,23,$34615 (€ 31722 £ 27271),$1800000 (€ 1649528 £ 1418090),
32,Albert Rusnák,sk SVK,MFFW,Seattle Sounders,28,$34615 (€ 31722 £ 27271),$1800000 (€ 1649528 £ 1418090),
33,Darlington Nagbe,us USA,MF,Columbus Crew,32,$34615 (€ 31722 £ 27271),$1800000 (€ 1649528 £ 1418090),
34,Mikael Uhre,dk DEN,FW,Philadelphia Union,28,$32692 (€ 29959 £ 25756),$1700000 (€ 1557888 £ 1339307),
35,Jesús Ferreira,us USA,FW,FC Dallas,22,$31731 (€ 29078 £ 24998),$1650000 (€ 1512067 £ 1299916),
36,Thiago Almada,ar ARG,MF,Atlanta Utd,21,$31731 (€ 29078 £ 24998),$1650000 (€ 1512067 £ 1299916),
37,Thiago Martins,br BRA,DF,NYCFC,27,$31731 (€ 29078 £ 24998),$1650000 (€ 1512067 £ 1299916),
38,Riqui Puig,es ESP,MFFW,LA Galaxy,23,$31731 (€ 29078 £ 24998),$1650000 (€ 1512067 £ 1299916),
39,Damir Kreilach,hr CRO,FWMF,Real Salt Lake,33,$31731 (€ 29078 £ 24998),$1650000 (€ 1512067 £ 1299916),
40,Giacomo Vrioni,al ALB,FW,NE Revolution,24,$30769 (€ 28197 £ 24241),$1600000 (€ 1466247 £ 1260524),
41,Emanuel Reynoso,ar ARG,MF,Minnesota Utd,27,$30769 (€ 28197 £ 24241),$1600000 (€ 1466247 £ 1260524),
42,Gastón Giménez,py PAR,MF,Chicago Fire,31,$30769 (€ 28197 £ 24241),$1600000 (€ 1466247 £ 1260524),
43,Emiliano Rigoni,ar ARG,FWMF,Austin,29,$30769 (€ 28197 £ 24241),$1599996 (€ 1466243 £ 1260521),
