team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
vs Atlanta Utd,3,34.0,66,2,3,8,2,52.5,0.31,-11.5,-0.34,119,383,31.1,697,141,35.9,34.0,264,50.4,40.3,408,23,5.6,35,1.03,14.5
vs Austin,1,34.0,49,2,0,8,1,46.3,0.33,-1.7,-0.05,141,402,35.1,696,132,37.4,35.2,267,53.2,45.1,553,30,5.4,30,0.88,13.9
vs CF Montréal,2,34.0,36,2,0,5,3,33.8,0.26,+0.8,+0.02,169,495,34.1,919,140,37.4,35.1,271,55.7,41.0,472,20,4.2,42,1.24,17.3
vs Charlotte,3,34.0,45,5,0,2,2,36.5,0.28,-6.5,-0.19,188,575,32.7,991,172,43.0,36.5,274,54.4,42.2,550,36,6.5,60,1.76,16.5
vs Chicago Fire,2,34.0,39,2,0,0,3,33.9,0.30,-2.1,-0.06,143,364,39.3,876,137,31.5,31.2,231,38.1,35.9,442,18,4.1,45,1.32,16.4
vs Colorado Rapids,3,34.0,26,2,0,4,0,40.1,0.27,+14.1,+0.42,138,390,35.4,748,127,33.0,34.1,293,48.8,40.9,457,28,6.1,48,1.41,14.1
vs Columbus Crew,2,34.0,67,7,0,5,4,53.0,0.26,-10.0,-0.29,189,422,44.8,787,122,38.2,35.4,277,43.7,36.3,425,19,4.5,45,1.32,17.5
vs D.C. United,2,34.0,45,2,0,7,1,44.9,0.30,+0.9,+0.03,133,402,33.1,796,178,36.7,35.2,290,37.9,34.8,465,32,6.9,33,0.97,14.7
vs FC Cincinnati,2,34.0,57,8,2,7,1,54.8,0.28,-1.2,-0.03,131,465,28.2,829,140,38.2,35.1,277,53.4,41.0,364,22,6.0,54,1.59,17.5
vs FC Dallas,2,34.0,41,1,1,2,0,38.7,0.33,-2.3,-0.07,142,399,35.6,912,146,32.2,32.3,231,45.5,39.1,371,27,7.3,45,1.32,16.2
vs Houston Dynamo,2,34.0,51,6,2,4,0,46.6,0.29,-4.4,-0.13,110,359,30.6,759,140,31.1,32.6,238,51.7,42.5,389,17,4.4,34,1.00,15.7
vs Inter Miami,2,34.0,41,5,1,5,0,45.7,0.32,+4.7,+0.14,158,369,42.8,762,129,33.3,33.4,229,50.2,41.0,332,11,3.3,39,1.15,15.1
vs LA Galaxy,3,34.0,51,5,0,8,1,58.6,0.30,+8.6,+0.25,123,326,37.7,748,135,32.8,32.9,228,35.5,33.8,474,15,3.2,31,0.91,12.9
vs LAFC,3,34.0,54,7,0,8,1,54.4,0.26,+1.4,+0.04,164,457,35.9,845,166,34.7,34.4,323,50.8,40.5,435,26,6.0,38,1.12,14.0
vs Minnesota Utd,2,34.0,46,4,1,5,3,50.2,0.31,+7.2,+0.21,134,392,34.2,891,140,29.4,31.1,305,42.6,36.9,499,23,4.6,31,0.91,13.0
vs Nashville SC,2,34.0,39,5,0,4,1,38.0,0.29,0.0,0.00,120,338,35.5,766,131,29.8,32.2,254,43.3,37.0,481,20,4.2,27,0.79,13.9
vs NE Revolution,3,34.0,58,3,0,9,3,45.0,0.28,-10.0,-0.29,147,447,32.9,842,149,38.8,34.8,243,49.4,39.8,459,28,6.1,34,1.00,14.6
vs NY Red Bulls,1,34.0,36,3,1,7,1,39.1,0.25,+4.1,+0.12,190,632,30.1,990,149,43.4,37.7,332,60.8,45.3,434,34,7.8,48,1.41,15.7
vs NYCFC,2,34.0,35,1,0,2,1,41.7,0.26,+7.7,+0.23,152,502,30.3,997,163,37.0,34.6,266,50.0,41.0,395,37,9.4,36,1.06,15.7
vs Orlando City,2,34.0,55,5,1,1,1,49.1,0.30,-4.9,-0.14,157,399,39.3,810,144,33.5,33.1,265,48.3,38.5,419,22,5.3,43,1.26,15.6
vs Philadelphia Union,2,34.0,57,11,0,5,3,49.8,0.27,-4.2,-0.12,147,434,33.9,842,173,38.0,35.3,259,44.0,36.4,465,30,6.5,68,2.00,16.8
vs Portland Timbers,2,34.0,46,1,0,4,1,42.8,0.31,-2.2,-0.06,131,400,32.8,824,182,35.3,33.1,266,41.0,35.1,438,22,5.0,13,0.38,11.0
vs Real Salt Lake,2,34.0,48,0,3,9,0,51.3,0.28,+3.3,+0.10,169,393,43.0,883,164,30.8,32.4,288,42.0,37.5,539,18,3.3,30,0.88,13.7
vs Seattle Sounders,2,34.0,41,1,0,3,3,42.0,0.33,+4.0,+0.12,135,496,27.2,795,149,41.6,36.2,306,53.9,41.5,547,25,4.6,44,1.29,15.4
vs SJ Earthquakes,2,34.0,39,5,1,5,1,37.7,0.29,-0.3,-0.01,135,394,34.3,844,131,32.2,31.1,271,45.0,37.9,462,9,1.9,40,1.18,16.5
vs Sporting KC,3,34.0,48,4,1,4,1,46.1,0.26,-0.9,-0.03,154,412,37.4,853,143,33.9,32.5,242,50.8,39.1,512,23,4.5,25,0.74,13.5
vs St. Louis,2,34.0,62,5,2,7,3,52.0,0.28,-7.0,-0.21,168,434,38.7,818,154,36.4,33.6,300,45.3,39.2,489,21,4.3,52,1.53,17.2
vs Toronto FC,4,34.0,26,1,0,3,0,31.2,0.25,+5.2,+0.15,138,329,41.9,877,146,29.0,31.1,207,36.2,33.9,268,15,5.6,46,1.35,17.7
vs Vancouver W'caps,2,34.0,55,6,0,7,4,56.6,0.32,+5.6,+0.17,119,365,32.6,845,180,31.8,31.7,293,32.8,33.3,582,33,5.7,41,1.21,13.7
