team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Atlanta Utd,3,34.0,53,3,0,2,1,45.7,0.34,-6.3,-0.19,171,371,46.1,921,132,29.3,30.4,290,34.8,31.6,462,23,5.0,40,1.18,21.0
Austin,1,34.0,55,3,0,9,1,55.9,0.30,+1.9,+0.06,138,440,31.4,1096,166,25.9,30.0,299,52.2,42.4,521,32,6.1,32,0.94,13.6
CF Montréal,2,34.0,52,3,0,4,3,48.4,0.30,-0.6,-0.02,138,392,35.2,912,191,30.2,25.4,266,44.0,36.0,399,14,3.5,55,1.62,11.4
Charlotte,3,34.0,52,7,2,5,2,52.6,0.28,+2.6,+0.08,173,492,35.2,1045,125,38.1,35.3,259,36.3,33.8,399,19,4.8,42,1.24,16.2
Chicago Fire,2,34.0,51,10,1,6,2,48.2,0.26,-0.8,-0.02,127,379,33.5,628,139,38.5,31.2,270,50.7,40.0,494,29,5.9,43,1.26,20.0
Colorado Rapids,3,34.0,54,2,3,8,0,50.0,0.30,-4.0,-0.12,130,385,33.8,748,145,31.3,26.8,310,48.7,38.2,502,17,3.4,47,1.38,10.3
Columbus Crew,2,34.0,46,3,0,7,1,43.1,0.29,-1.9,-0.05,74,261,28.4,986,191,19.9,29.5,236,27.5,28.6,341,13,3.8,56,1.65,19.2
D.C. United,2,34.0,49,5,2,6,1,46.8,0.31,-1.2,-0.04,312,704,44.3,1359,150,39.6,33.2,263,63.1,47.0,467,37,7.9,125,3.68,18.6
FC Cincinnati,2,34.0,39,5,0,2,2,36.0,0.25,-1.0,-0.03,139,367,37.9,580,145,40.7,25.9,269,48.7,38.2,458,21,4.6,22,0.65,22.7
FC Dallas,2,34.0,37,1,0,4,4,35.5,0.24,+2.5,+0.07,148,451,32.8,862,132,36.5,30.4,307,44.3,34.9,483,13,2.7,46,1.35,22.6
Houston Dynamo,2,34.0,38,6,0,3,1,38.3,0.28,+1.3,+0.04,113,295,38.3,850,186,24.5,28.4,274,31.8,30.7,513,26,5.1,27,0.79,13.1
Inter Miami,2,34.0,54,1,1,9,3,49.9,0.29,-1.1,-0.03,123,407,30.2,936,166,31.9,30.4,262,41.2,35.6,408,38,9.3,34,1.00,23.2
LA Galaxy,3,34.0,67,4,2,5,2,57.7,0.32,-7.3,-0.22,93,249,37.3,810,199,23.2,30.6,263,23.2,25.7,474,22,4.6,41,1.21,11.7
LAFC,3,34.0,39,3,0,4,1,39.4,0.29,+1.4,+0.04,125,358,34.9,682,158,37.5,29.9,244,41.8,35.8,434,26,6.0,27,0.79,12.4
Minnesota Utd,2,34.0,51,1,0,8,1,48.2,0.31,-1.8,-0.05,121,343,35.3,726,139,29.5,33.5,320,40.3,36.6,520,11,2.1,27,0.79,11.4
Nashville SC,2,34.0,32,5,0,4,1,35.6,0.23,+4.6,+0.13,196,512,38.3,747,154,47.0,34.4,275,58.5,43.1,448,45,10.0,20,0.59,10.0
NE Revolution,3,34.0,46,3,0,5,1,48.2,0.24,+3.2,+0.10,155,465,33.3,797,186,36.9,35.3,312,54.8,44.4,486,29,6.0,21,0.62,12.4
NY Red Bulls,1,34.0,39,6,0,6,2,37.0,0.34,0.0,0.00,198,662,29.9,808,104,59.8,43.1,201,89.1,61.2,329,10,3.0,72,2.12,20.7
NYCFC,2,34.0,39,4,1,6,1,36.3,0.25,-1.7,-0.05,118,379,31.1,1222,156,22.3,31.4,258,41.5,38.0,439,13,3.0,17,0.50,14.6
Orlando City,2,34.0,39,2,0,3,1,39.1,0.29,+1.1,+0.03,124,355,34.9,703,123,37.4,38.6,270,34.1,30.0,435,31,7.1,42,1.24,10.8
Philadelphia Union,2,34.0,41,6,0,1,3,38.1,0.26,+0.1,0.00,122,325,37.5,538,156,35.3,38.9,244,55.3,43.0,403,26,6.5,22,0.65,9.1
Portland Timbers,2,34.0,58,3,1,7,3,48.2,0.29,-6.8,-0.20,217,631,34.4,846,94,55.0,40.3,270,61.5,48.0,515,19,3.7,48,1.41,15.1
Real Salt Lake,2,34.0,50,4,2,5,1,46.4,0.29,-2.6,-0.08,165,459,35.9,887,149,34.7,34.3,261,57.9,44.6,427,25,5.9,73,2.15,17.7
Seattle Sounders,2,34.0,32,1,0,5,2,32.6,0.30,+2.6,+0.08,135,392,34.4,649,109,43.5,26.5,252,43.7,39.2,464,26,5.6,22,0.65,3.8
SJ Earthquakes,2,34.0,43,5,1,6,0,51.6,0.29,+8.6,+0.25,123,325,37.8,578,138,36.9,36.1,289,38.8,33.7,496,24,4.8,17,0.50,8.5
Sporting KC,3,34.0,51,5,0,4,0,51.1,0.31,+0.1,0.00,104,351,29.6,785,127,29.8,31.5,223,52.5,43.0,345,11,3.2,25,0.74,16.9
St. Louis,2,34.0,45,7,0,1,2,50.6,0.27,+7.6,+0.22,193,597,32.3,928,163,48.5,39.9,257,57.2,47.7,488,30,6.1,57,1.68,15.5
Toronto FC,4,34.0,59,3,0,6,2,52.8,0.30,-4.2,-0.12,137,425,32.2,837,173,34.2,37.5,299,46.5,39.1,507,28,5.5,37,1.09,12.3
Vancouver W'caps,2,34.0,48,0,3,7,1,49.0,0.34,+2.0,+0.06,132,403,32.8,776,107,35.3,27.1,247,52.2,46.5,469,26,5.5,20,0.59,13.0
