team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
vs Atlanta Utd,33,34.0,733,21.56,533,61,54,44,32,9,92,2.71,67,4,9,7,4,1
vs Austin,26,34.0,864,25.41,618,73,57,60,36,20,90,2.65,56,10,7,11,4,2
vs CF Montréal,31,34.0,752,22.12,542,61,50,53,33,13,84,2.47,62,3,6,9,2,2
vs Charlotte,32,34.0,730,21.47,528,59,42,47,38,16,88,2.59,59,3,9,5,10,2
vs Chicago Fire,26,34.0,842,24.76,576,78,54,65,57,12,89,2.62,59,6,6,7,10,1
vs Colorado Rapids,35,34.0,849,24.97,647,62,39,43,40,18,95,2.79,60,6,11,10,6,2
vs Columbus Crew,28,34.0,613,18.03,409,68,46,36,39,15,78,2.29,52,7,6,8,4,1
vs D.C. United,31,34.0,709,20.85,516,59,43,35,38,18,88,2.59,62,4,6,4,8,4
vs FC Cincinnati,27,34.0,693,20.38,487,68,44,44,41,9,65,1.91,51,3,2,4,5,0
vs FC Dallas,29,34.0,778,22.88,567,70,43,45,46,7,54,1.59,41,4,3,6,0,0
vs Houston Dynamo,25,34.0,665,19.56,486,54,38,39,32,16,59,1.74,39,3,1,10,5,1
vs Inter Miami,36,34.0,792,23.29,552,82,50,44,39,25,89,2.62,57,11,5,11,4,1
vs LA Galaxy,34,34.0,854,25.12,612,88,43,49,47,15,113,3.32,84,7,4,9,6,3
vs LAFC,28,34.0,632,18.59,438,66,52,34,38,4,67,1.97,50,4,5,4,4,0
vs Minnesota Utd,30,34.0,880,25.88,666,76,43,46,34,15,85,2.50,64,5,6,8,1,1
vs Nashville SC,24,34.0,758,22.29,589,53,40,33,30,13,53,1.56,39,2,2,4,5,1
vs NE Revolution,32,34.0,902,26.53,655,85,55,62,33,12,80,2.35,61,7,3,4,5,0
vs NY Red Bulls,28,34.0,421,12.38,290,45,27,20,30,9,64,1.88,36,7,5,8,8,0
vs NYCFC,29,34.0,651,19.15,476,53,32,36,42,12,66,1.94,45,7,3,3,7,1
vs Orlando City,28,34.0,733,21.56,517,69,56,39,43,9,68,2.00,49,5,2,8,4,0
vs Philadelphia Union,23,34.0,690,20.29,521,40,40,45,34,10,65,1.91,50,0,2,10,3,0
vs Portland Timbers,31,34.0,733,21.56,522,74,49,34,45,9,95,2.79,66,7,4,10,7,1
vs Real Salt Lake,31,34.0,729,21.44,536,54,39,50,33,17,88,2.59,67,7,3,5,6,0
vs Seattle Sounders,27,34.0,634,18.65,438,72,36,42,35,11,54,1.59,36,6,5,4,2,1
vs SJ Earthquakes,25,34.0,817,24.03,605,59,44,48,42,19,74,2.18,45,6,7,9,5,2
vs Sporting KC,30,34.0,691,20.32,494,49,52,44,41,11,88,2.59,60,6,4,6,10,2
vs St. Louis,29,34.0,763,22.44,544,63,53,51,40,12,78,2.29,57,4,4,7,5,1
vs Toronto FC,39,34.0,831,24.44,611,73,43,57,33,14,96,2.82,72,3,6,11,3,1
vs Vancouver W'caps,28,34.0,710,20.88,518,60,40,42,39,11,82,2.41,61,4,7,6,3,1
