team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Atlanta Utd,33,34.0,801,23.56,594,62,55,37,39,14,109,3.21,76,7,7,10,7,2
Austin,26,34.0,687,20.21,495,74,40,42,31,5,86,2.53,67,6,1,10,2,0
CF Montréal,31,34.0,653,19.21,503,52,24,35,25,14,56,1.65,40,1,4,8,1,2
Charlotte,32,34.0,605,17.79,455,47,42,22,33,6,81,2.38,67,2,5,2,5,0
Chicago Fire,26,34.0,614,18.06,464,46,31,34,32,7,68,2.00,49,5,2,6,5,1
Colorado Rapids,35,34.0,646,19.00,446,72,49,33,36,10,45,1.32,29,7,5,1,3,0
Columbus Crew,28,34.0,881,25.91,655,58,63,52,34,19,108,3.18,81,5,11,5,5,1
D.C. United,31,34.0,785,23.09,549,72,45,52,50,17,70,2.06,48,4,4,10,2,2
FC Cincinnati,27,34.0,775,22.79,529,71,61,53,50,11,94,2.76,59,5,9,10,8,3
FC Dallas,29,34.0,607,17.85,421,60,46,35,34,11,75,2.21,58,2,7,4,3,1
Houston Dynamo,25,34.0,688,20.24,494,53,46,43,43,9,93,2.74,70,6,3,5,8,1
Inter Miami,36,34.0,648,19.06,475,48,35,49,29,12,75,2.21,53,5,5,8,4,0
LA Galaxy,34,34.0,903,26.56,696,52,53,45,45,12,89,2.62,61,7,6,8,6,1
LAFC,28,34.0,891,26.21,658,74,48,42,53,16,83,2.44,58,5,5,7,6,2
Minnesota Utd,30,34.0,825,24.26,601,59,61,54,39,11,70,2.06,45,3,4,10,6,2
Nashville SC,24,34.0,651,19.15,433,70,41,56,40,11,70,2.06,38,6,8,7,10,1
NE Revolution,32,34.0,741,21.79,557,56,52,33,28,15,95,2.79,70,7,4,9,2,3
NY Red Bulls,28,34.0,781,22.97,519,86,52,57,48,19,57,1.68,36,6,3,8,4,0
NYCFC,29,34.0,739,21.74,534,73,39,42,45,6,59,1.74,44,5,1,5,4,0
Orlando City,28,34.0,707,20.79,519,65,39,41,28,15,100,2.94,72,5,8,7,7,1
Philadelphia Union,23,34.0,782,23.00,548,84,23,70,43,14,95,2.79,66,7,4,8,10,0
Portland Timbers,31,34.0,702,20.65,503,57,43,41,37,21,80,2.35,59,3,8,8,0,2
Real Salt Lake,31,34.0,866,25.47,651,66,60,36,31,22,87,2.56,64,5,5,7,5,1
Seattle Sounders,27,34.0,765,22.50,568,77,31,48,30,11,63,1.85,44,4,3,9,3,0
SJ Earthquakes,25,34.0,714,21.00,503,71,46,48,35,11,68,2.00,48,3,3,6,6,2
Sporting KC,30,34.0,781,22.97,548,78,48,54,39,14,81,2.38,56,4,9,8,4,0
St. Louis,29,34.0,789,23.21,549,69,46,45,59,21,95,2.79,58,13,5,8,10,1
Toronto FC,39,34.0,621,18.26,455,39,52,34,31,10,49,1.44,39,3,2,3,2,0
Vancouver W'caps,28,34.0,801,23.56,571,83,33,54,43,17,86,2.53,52,10,2,11,8,3
