team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
vs Atlanta Utd,3,34,34,3060,34.0,66,1.94,170,106,62.4,9,12,13,2,5.9,4,2,0,2,0.0
vs Austin,1,34,34,3060,34.0,49,1.44,141,93,66.7,15,9,10,7,20.6,2,2,0,0,0.0
vs CF Montréal,2,34,34,3060,34.0,36,1.06,127,94,73.2,17,5,12,15,44.1,3,2,0,1,0.0
vs Charlotte,3,34,34,3060,34.0,45,1.32,113,70,64.6,11,13,10,8,23.5,5,5,0,0,0.0
vs Chicago Fire,2,34,34,3060,34.0,39,1.15,110,74,66.4,14,10,10,12,35.3,2,2,0,0,0.0
vs Colorado Rapids,3,34,34,3060,34.0,26,0.76,132,104,81.8,17,12,5,17,50.0,4,2,2,0,50.0
vs Columbus Crew,2,34,34,3060,34.0,67,1.97,176,113,65.9,9,9,16,2,5.9,7,7,0,0,0.0
vs D.C. United,2,34,34,3060,34.0,45,1.32,150,106,71.3,14,10,10,10,29.4,2,2,0,0,0.0
vs FC Cincinnati,2,34,34,3060,34.0,57,1.68,164,107,70.1,5,9,20,4,11.8,9,8,1,0,11.1
vs FC Dallas,2,34,34,3060,34.0,41,1.21,116,75,65.5,10,13,11,6,17.6,1,1,0,0,0.0
vs Houston Dynamo,2,34,34,3060,34.0,51,1.50,149,98,69.8,11,9,14,11,32.4,6,6,0,0,0.0
vs Inter Miami,2,34,34,3060,34.0,41,1.21,131,89,72.5,18,7,9,11,32.4,6,5,1,0,16.7
vs LA Galaxy,3,34,34,3060,34.0,51,1.50,180,130,74.4,14,12,8,9,26.5,5,5,0,0,0.0
vs LAFC,3,34,34,3057,34.0,54,1.59,188,135,75.0,10,10,14,10,29.4,9,7,0,2,0.0
vs Minnesota Utd,2,34,34,3060,34.0,46,1.35,155,111,72.9,13,11,10,5,14.7,5,4,1,0,20.0
vs Nashville SC,2,34,34,3060,34.0,39,1.15,118,80,71.2,11,10,13,14,41.2,5,5,0,0,0.0
vs NE Revolution,3,34,34,3060,34.0,58,1.71,151,96,63.6,9,10,15,4,11.8,3,3,0,0,0.0
vs NY Red Bulls,1,34,34,3060,34.0,36,1.06,146,111,77.4,13,10,11,12,35.3,4,3,0,1,0.0
vs NYCFC,2,34,34,3060,34.0,35,1.03,151,115,77.5,11,14,9,10,29.4,3,1,2,0,66.7
vs Orlando City,2,34,34,3060,34.0,55,1.62,146,92,65.8,7,9,18,6,17.6,5,5,0,0,0.0
vs Philadelphia Union,2,34,34,3060,34.0,57,1.68,145,91,68.3,9,10,15,7,20.6,11,11,0,0,0.0
vs Portland Timbers,2,34,34,3060,34.0,46,1.35,140,95,67.9,13,10,11,8,23.5,1,1,0,0,0.0
vs Real Salt Lake,2,34,34,3060,34.0,48,1.41,189,141,74.6,12,8,14,9,26.5,0,0,0,0,
vs Seattle Sounders,2,34,34,3060,34.0,41,1.21,126,88,68.3,9,11,14,12,35.3,1,1,0,0,0.0
vs SJ Earthquakes,2,34,34,3060,34.0,39,1.15,112,73,69.6,10,14,10,6,17.6,6,5,1,0,16.7
vs Sporting KC,3,34,34,3060,34.0,48,1.41,161,112,72.7,14,8,12,10,29.4,6,4,2,0,33.3
vs St. Louis,2,34,34,3056,34.0,62,1.83,172,113,66.9,12,5,17,8,23.5,5,5,0,0,0.0
vs Toronto FC,4,34,34,3060,34.0,26,0.76,123,97,79.7,20,10,4,18,52.9,1,1,0,0,0.0
vs Vancouver W'caps,2,34,34,3060,34.0,55,1.62,158,106,69.0,10,12,12,5,14.7,8,6,1,1,14.3
