team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Atlanta Utd,3,34,34,3060,34.0,53,1.56,126,74,60.3,13,12,9,8,23.5,4,3,0,1,0.0
Austin,1,34,34,3060,34.0,55,1.62,183,129,71.6,10,9,15,6,17.6,3,3,0,0,0.0
CF Montréal,2,34,34,3060,34.0,52,1.53,153,104,68.0,12,5,17,11,32.4,3,3,0,0,0.0
Charlotte,3,34,34,3060,34.0,52,1.53,166,116,72.9,10,13,11,7,20.6,7,7,0,0,0.0
Chicago Fire,2,34,34,3060,34.0,51,1.50,151,102,72.8,10,10,14,9,26.5,11,10,0,1,0.0
Colorado Rapids,3,34,34,3060,34.0,54,1.59,164,110,68.3,5,12,17,9,26.5,3,2,0,1,0.0
Columbus Crew,2,34,34,3060,34.0,46,1.35,142,97,69.7,16,9,9,8,23.5,4,3,0,1,0.0
D.C. United,2,34,34,3060,34.0,49,1.44,139,91,68.3,10,10,14,11,32.4,5,5,0,0,0.0
FC Cincinnati,2,34,34,3060,34.0,39,1.15,126,89,73.0,20,9,5,12,35.3,5,5,0,0,0.0
FC Dallas,2,34,34,3056,34.0,37,1.09,140,106,74.3,11,13,10,7,20.6,3,1,1,1,50.0
Houston Dynamo,2,34,34,3060,34.0,38,1.12,125,88,74.4,14,9,11,13,38.2,6,6,0,0,0.0
Inter Miami,2,34,34,3060,34.0,54,1.59,175,124,69.7,9,7,18,5,14.7,1,1,0,0,0.0
LA Galaxy,3,34,34,3060,34.0,67,1.97,171,106,63.2,8,12,14,6,17.6,4,4,0,0,0.0
LAFC,3,34,34,3060,34.0,39,1.15,122,83,70.5,14,10,10,11,32.4,5,3,1,1,25.0
Minnesota Utd,2,34,34,3060,34.0,51,1.50,155,105,67.7,10,11,13,8,23.5,1,1,0,0,0.0
Nashville SC,2,34,34,3060,34.0,32,0.94,137,106,80.3,13,10,11,11,32.4,5,5,0,0,0.0
NE Revolution,3,34,34,3060,34.0,46,1.35,182,136,76.4,15,10,9,8,23.5,4,3,1,0,25.0
NY Red Bulls,1,34,34,3060,34.0,39,1.15,92,54,64.1,11,10,13,9,26.5,7,6,1,0,14.3
NYCFC,2,34,34,3060,34.0,39,1.15,129,91,72.9,9,14,11,9,26.5,4,4,0,0,0.0
Orlando City,2,34,34,3060,34.0,39,1.15,128,89,71.1,18,9,7,11,32.4,3,2,1,0,33.3
Philadelphia Union,2,34,34,3060,34.0,41,1.21,126,88,72.2,15,10,9,10,29.4,6,6,0,0,0.0
Portland Timbers,2,34,34,3060,34.0,58,1.71,158,103,65.2,11,10,13,8,23.5,3,3,0,0,0.0
Real Salt Lake,2,34,34,3060,34.0,50,1.47,145,95,68.3,14,8,12,9,26.5,5,4,1,0,20.0
Seattle Sounders,2,34,34,3060,34.0,32,0.94,111,81,72.1,14,11,9,14,41.2,1,1,0,0,0.0
SJ Earthquakes,2,34,34,3057,34.0,43,1.27,165,121,77.0,10,14,10,9,26.5,7,5,1,1,16.7
Sporting KC,3,34,34,3060,34.0,51,1.50,146,93,68.5,12,8,14,7,20.6,7,5,2,0,28.6
St. Louis,2,34,34,3060,34.0,45,1.32,170,127,77.6,17,5,12,8,23.5,7,7,0,0,0.0
Toronto FC,4,34,34,3060,34.0,59,1.74,166,108,66.3,4,10,20,6,17.6,4,3,1,0,25.0
Vancouver W'caps,2,34,34,3060,34.0,48,1.41,147,99,67.3,12,12,10,8,23.5,1,0,1,0,100.0
