team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atlanta Utd,33,34.0,73,4,2,409,380,58,522,269,310,1,4,1,1651,359,305,54.1
Austin,26,34.0,59,2,2,340,363,59,692,261,272,2,3,1,1525,416,460,47.5
CF Montréal,31,34.0,68,3,1,416,360,59,590,298,286,1,3,3,1945,362,422,46.2
Charlotte,32,34.0,88,0,0,455,368,44,676,271,263,5,7,2,1902,474,467,50.4
Chicago Fire,26,34.0,86,6,6,393,430,69,571,348,337,2,11,2,1880,430,445,49.1
Colorado Rapids,35,34.0,83,4,2,403,320,42,554,279,245,3,3,0,1579,403,441,47.7
Columbus Crew,28,34.0,61,1,1,384,341,52,542,313,286,5,4,1,1802,249,322,43.6
D.C. United,31,34.0,70,2,1,463,408,74,598,302,362,2,5,1,1795,622,395,61.2
FC Cincinnati,27,34.0,79,5,4,422,429,53,458,346,366,6,5,2,1911,491,372,56.9
FC Dallas,29,34.0,69,2,0,384,366,59,495,312,282,1,3,4,1654,392,410,48.9
Houston Dynamo,25,34.0,95,5,3,435,381,59,481,273,321,5,6,1,1704,361,396,47.7
Inter Miami,36,34.0,83,3,1,412,363,62,418,331,349,4,1,3,1804,281,379,42.6
LA Galaxy,34,34.0,76,4,3,364,413,42,599,302,286,3,4,2,1682,246,270,47.7
LAFC,28,34.0,73,1,0,443,370,61,538,342,392,8,5,1,2028,409,358,53.3
Minnesota Utd,30,34.0,57,1,1,342,323,72,646,309,333,4,1,1,1827,445,462,49.1
Nashville SC,24,34.0,74,6,5,376,369,82,608,322,299,5,5,1,1707,518,485,51.6
NE Revolution,32,34.0,49,2,1,353,374,59,601,290,290,1,4,1,1787,400,392,50.5
NY Red Bulls,28,34.0,90,4,4,497,447,51,545,347,377,3,7,2,2206,688,657,51.2
NYCFC,29,34.0,79,1,0,405,428,68,492,258,309,2,4,1,1779,393,378,51.0
Orlando City,28,34.0,67,1,0,394,451,51,547,239,268,2,3,1,1655,336,439,43.4
Philadelphia Union,23,34.0,85,5,2,465,368,90,585,403,324,9,6,3,1915,466,466,50.0
Portland Timbers,31,34.0,82,0,0,466,375,39,581,308,332,0,3,3,1849,452,471,49.0
Real Salt Lake,31,34.0,75,2,1,390,340,79,682,300,327,0,5,1,1814,365,412,47.0
Seattle Sounders,27,34.0,61,2,2,348,376,55,715,313,361,1,1,2,1857,443,422,51.2
SJ Earthquakes,25,34.0,73,4,1,344,358,53,628,341,337,5,7,0,1837,365,335,52.1
Sporting KC,30,34.0,58,4,1,334,376,44,671,366,300,4,7,0,1740,350,328,51.6
St. Louis,29,34.0,80,4,3,481,356,42,602,356,381,4,7,2,2015,529,551,49.0
Toronto FC,39,34.0,51,3,2,322,424,58,345,324,370,1,4,2,1807,334,320,51.1
Vancouver W'caps,28,34.0,66,1,1,408,358,59,726,350,359,8,1,1,1778,423,442,48.9
