team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
vs Atlanta Utd,33,34.0,14142,12568,1506,448,44,114,564,548,147,69,49,3,11121,68,253
vs Austin,26,34.0,15274,13679,1530,372,46,136,663,587,221,80,92,4,12180,65,262
vs CF Montréal,31,34.0,16888,15239,1576,452,50,128,517,625,158,85,43,1,13487,73,277
vs Charlotte,32,34.0,15374,13537,1743,478,59,151,507,762,150,87,29,0,11787,94,298
vs Chicago Fire,26,34.0,17710,16047,1619,426,59,136,602,689,200,103,59,5,14382,44,312
vs Colorado Rapids,35,34.0,17021,15343,1628,420,34,165,638,669,187,72,63,1,13877,50,235
vs Columbus Crew,28,34.0,14299,12741,1460,409,59,124,446,547,126,72,33,5,11224,98,291
vs D.C. United,31,34.0,15608,13891,1652,516,54,173,573,608,160,85,54,0,12235,65,266
vs FC Cincinnati,27,34.0,16417,14714,1658,446,43,100,592,690,154,74,56,2,12904,45,334
vs FC Dallas,29,34.0,17079,15557,1444,420,49,148,619,548,171,81,49,1,13783,78,284
vs Houston Dynamo,25,34.0,15843,14218,1593,474,27,131,663,608,188,94,59,0,12781,32,314
vs Inter Miami,36,34.0,15011,13492,1441,448,53,156,504,526,165,88,43,4,11995,78,279
vs LA Galaxy,34,34.0,15464,14000,1399,387,62,142,631,529,170,79,63,2,12549,65,287
vs LAFC,28,34.0,15995,14231,1723,480,28,126,527,672,161,69,69,5,12558,41,333
vs Minnesota Utd,30,34.0,17442,15792,1612,400,46,133,673,634,193,81,71,3,14059,38,321
vs Nashville SC,24,34.0,17189,15617,1535,430,49,164,563,644,135,66,45,0,14021,37,273
vs NE Revolution,32,34.0,16811,15196,1565,388,45,106,616,656,186,99,54,5,13480,50,273
vs NY Red Bulls,28,34.0,15706,13805,1834,527,45,140,415,790,115,61,34,2,11515,67,355
vs NYCFC,29,34.0,15774,14085,1627,441,43,113,554,690,162,74,53,6,12472,62,335
vs Orlando City,28,34.0,15600,14017,1513,413,47,145,552,594,152,72,59,2,12576,70,278
vs Philadelphia Union,23,34.0,16789,15088,1666,529,39,186,552,633,154,76,42,3,13308,35,314
vs Portland Timbers,31,34.0,16884,15177,1623,476,57,144,651,626,176,82,60,0,13484,84,302
vs Real Salt Lake,31,34.0,16553,14979,1523,441,50,155,547,566,146,77,50,2,13443,51,283
vs Seattle Sounders,27,34.0,15545,13885,1621,383,22,144,565,695,163,80,59,1,12309,39,263
vs SJ Earthquakes,25,34.0,17943,16428,1482,369,33,134,615,594,175,77,64,6,14745,33,282
vs Sporting KC,30,34.0,16368,14869,1424,355,41,133,465,610,136,65,39,0,13276,75,269
vs St. Louis,29,34.0,17048,15148,1837,497,50,204,616,756,189,105,54,1,13179,63,395
vs Toronto FC,39,34.0,17462,15945,1457,356,48,138,661,640,195,89,65,5,14336,60,267
vs Vancouver W'caps,28,34.0,17311,15664,1612,440,37,165,617,627,164,66,60,2,14105,35,311
