team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Atlanta Utd,33,34.0,17769,16145,1566,433,47,206,522,591,166,74,72,3,14829,58,282
Austin,26,34.0,15969,14322,1588,433,23,166,692,590,178,91,36,2,12792,59,259
CF Montréal,31,34.0,15735,14074,1602,442,29,186,590,649,159,48,65,5,12302,59,291
Charlotte,32,34.0,16923,15262,1617,446,46,136,676,654,175,80,65,8,13333,44,282
Chicago Fire,26,34.0,15034,13381,1584,476,53,116,571,620,134,91,15,1,11692,69,283
Colorado Rapids,35,34.0,14756,13139,1575,370,33,198,554,649,159,66,92,0,11639,42,243
Columbus Crew,28,34.0,18983,17391,1540,430,64,138,542,608,187,49,86,3,15996,52,313
D.C. United,31,34.0,15288,13623,1591,473,32,85,598,629,143,64,49,12,11789,74,280
FC Cincinnati,27,34.0,15462,13828,1581,467,65,124,458,621,151,81,47,5,12208,53,273
FC Dallas,29,34.0,16363,14767,1537,440,48,96,495,596,123,38,53,1,13135,59,263
Houston Dynamo,25,34.0,16932,15434,1439,410,60,154,481,549,134,66,51,3,13984,59,223
Inter Miami,36,34.0,18246,16659,1525,449,80,141,418,598,128,51,37,2,15031,62,350
LA Galaxy,34,34.0,19140,17546,1552,467,53,152,599,519,202,97,69,3,16306,42,360
LAFC,28,34.0,16727,15088,1578,402,68,105,538,659,200,131,48,1,13415,61,284
Minnesota Utd,30,34.0,15479,13774,1633,353,57,116,646,692,183,90,64,2,12086,72,314
Nashville SC,24,34.0,15660,13979,1599,407,30,121,608,674,177,124,30,1,12245,82,294
NE Revolution,32,34.0,16588,14944,1585,419,49,176,601,618,157,43,62,2,13274,59,314
NY Red Bulls,28,34.0,13643,11890,1702,502,31,64,545,751,175,120,29,4,9572,51,284
NYCFC,29,34.0,17566,15922,1576,481,52,130,492,618,146,94,24,1,14558,68,292
Orlando City,28,34.0,15783,14110,1622,523,56,159,547,599,157,82,51,1,12616,51,317
Philadelphia Union,23,34.0,14240,12604,1546,403,62,168,585,672,152,82,61,0,10676,90,278
Portland Timbers,31,34.0,14357,12610,1708,472,44,141,581,729,145,53,64,4,10846,39,324
Real Salt Lake,31,34.0,16082,14460,1543,403,39,236,682,610,185,111,34,0,12922,79,284
Seattle Sounders,27,34.0,18423,16792,1576,416,40,149,715,642,200,56,101,0,14934,55,335
SJ Earthquakes,25,34.0,16197,14518,1626,388,42,147,628,676,198,50,108,1,12937,53,364
Sporting KC,30,34.0,17696,16047,1605,450,27,211,671,654,193,109,35,4,14630,44,308
St. Louis,29,34.0,13478,11838,1598,406,20,58,602,692,167,59,77,0,9719,42,305
Toronto FC,39,34.0,17419,15745,1616,474,32,131,345,623,128,76,20,2,14408,58,278
Vancouver W'caps,28,34.0,16612,15060,1493,386,37,124,726,581,197,132,25,0,13297,59,269
