team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Atlanta Utd,33,34.0,14829,17769,83.5,269615,91650,6308,6998,90.1,6385,7160,89.2,1729,2704,63.9,44,36.4,38.1,+7.6,340,1057,293,55,1384
Austin,26,34.0,12792,15969,80.1,241687,83952,5112,5691,89.8,5973,6825,87.5,1509,2811,53.7,37,32.3,31.4,+4.7,291,958,217,85,1239
CF Montréal,31,34.0,12302,15735,78.2,232730,88047,5057,5871,86.1,5582,6539,85.4,1506,2676,56.3,22,27.8,29.3,-5.8,283,993,207,57,1265
Charlotte,32,34.0,13333,16923,78.8,239817,89186,5888,6662,88.4,5816,6762,86.0,1338,2703,49.5,29,26.9,33.7,+2.1,263,1015,296,91,1360
Chicago Fire,26,34.0,11692,15034,77.8,210026,80918,5262,6000,87.7,4889,5826,83.9,1299,2424,53.6,29,28.1,29.5,+0.9,260,917,258,77,1217
Colorado Rapids,35,34.0,11639,14756,78.9,219730,79150,4730,5351,88.4,5178,5983,86.5,1472,2732,53.9,20,28.9,26.7,-8.9,289,931,193,51,1088
Columbus Crew,28,34.0,15996,18983,84.3,269177,95587,7679,8447,90.9,6774,7600,89.1,1215,2072,58.6,49,42.7,39.7,+6.3,388,1334,327,66,1703
D.C. United,31,34.0,11789,15288,77.1,215891,91349,5230,6036,86.6,4930,5888,83.7,1364,2550,53.5,27,33.1,38.0,-6.1,339,1025,301,82,1263
FC Cincinnati,27,34.0,12208,15462,79.0,220983,84809,5266,6027,87.4,5270,6196,85.1,1350,2418,55.8,35,39.5,38.1,-4.5,346,1002,264,52,1241
FC Dallas,29,34.0,13135,16363,80.3,227089,81174,6193,6896,89.8,5436,6320,86.0,1200,2351,51.0,34,30.9,31.1,+3.1,268,924,240,63,1150
Houston Dynamo,25,34.0,13984,16932,82.6,249327,86903,6300,7016,89.8,5834,6643,87.8,1518,2531,60.0,36,31.7,36.8,+4.3,287,1033,280,59,1202
Inter Miami,36,34.0,15031,18246,82.4,268563,89938,6668,7389,90.2,6504,7368,88.3,1552,2608,59.5,29,24.9,29.7,+4.1,262,1144,223,48,1304
LA Galaxy,34,34.0,16306,19140,85.2,276098,96565,7715,8430,91.5,6732,7509,89.7,1389,2218,62.6,37,38.6,37.9,-1.6,387,1277,284,70,1547
LAFC,28,34.0,13415,16727,80.2,237217,86411,5844,6624,88.2,5910,6844,86.4,1319,2410,54.7,32,38.6,37.0,-6.6,384,1207,317,43,1543
Minnesota Utd,30,34.0,12086,15479,78.1,217907,85333,5376,6144,87.5,5084,6084,83.6,1372,2456,55.9,23,38.4,43.6,-15.4,336,1090,315,76,1405
Nashville SC,24,34.0,12245,15660,78.2,234277,86788,4851,5566,87.2,5520,6439,85.7,1622,2849,56.9,23,30.7,27.2,-7.7,284,921,231,77,1123
NE Revolution,32,34.0,13274,16588,80.0,248333,88558,5330,6090,87.5,6109,7008,87.2,1569,2699,58.1,37,29.0,31.2,+8.0,314,1027,251,72,1308
NY Red Bulls,28,34.0,9572,13643,70.2,170150,70259,4364,5315,82.1,3873,5053,76.6,1036,2407,43.0,24,31.7,32.0,-7.7,336,943,232,52,1159
NYCFC,29,34.0,14558,17566,82.9,264520,92296,6014,6701,89.7,6790,7590,89.5,1480,2476,59.8,26,33.0,34.3,-7.0,321,1082,258,47,1418
Orlando City,28,34.0,12616,15783,79.9,224276,84467,5839,6552,89.1,5188,6049,85.8,1342,2430,55.2,41,31.5,34.0,+9.5,307,1061,275,63,1361
Philadelphia Union,23,34.0,10676,14240,75.0,202053,81099,4509,5356,84.2,4434,5386,82.3,1489,2699,55.2,35,32.2,32.7,+2.8,334,1034,250,62,1197
Portland Timbers,31,34.0,10846,14357,75.5,206464,80123,4511,5263,85.7,4571,5512,82.9,1488,2739,54.3,36,29.4,32.5,+6.6,299,1032,267,50,1247
Real Salt Lake,31,34.0,12922,16082,80.4,248037,88794,5265,5894,89.3,5590,6435,86.9,1823,3007,60.6,36,33.9,34.5,+2.1,372,1075,276,91,1325
Seattle Sounders,27,34.0,14934,18423,81.1,262721,92722,6882,7682,89.6,6130,7128,86.0,1554,2676,58.1,29,35.6,38.7,-6.6,319,1345,307,85,1523
SJ Earthquakes,25,34.0,12937,16197,79.9,227998,85775,5986,6727,89.0,5281,6201,85.2,1342,2380,56.4,28,31.0,34.1,-3.0,295,960,265,69,1282
Sporting KC,30,34.0,14630,17696,82.7,271033,86974,6155,6810,90.4,6446,7286,88.5,1743,2807,62.1,33,28.7,29.9,+4.3,322,1234,274,60,1471
St. Louis,29,34.0,9719,13478,72.1,178817,78955,4152,5062,82.0,4186,5188,80.7,1143,2448,46.7,34,26.9,25.5,+7.1,316,910,234,71,1160
Toronto FC,39,34.0,14408,17419,82.7,246271,88896,6909,7611,90.8,5840,6653,87.8,1277,2277,56.1,20,24.2,26.3,-4.2,266,1065,210,37,1200
Vancouver W'caps,28,34.0,13297,16612,80.0,251041,88554,5239,5928,88.4,6306,7215,87.4,1532,2779,55.1,34,40.0,40.5,-6.0,344,1058,350,102,1387
