team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
vs Atlanta Utd,33,26.6,34,3060,90,100,34.0,374,82,233,140,18,161,1.15,53,66,-13,-0.38,46.0,48.7,-2.8,-0.08
vs Austin,26,26.8,34,3060,90,100,34.0,374,82,231,145,21,154,1.59,55,49,+6,+0.18,49.9,42.5,+7.4,+0.22
vs CF Montréal,31,26.8,34,3060,90,100,34.0,374,80,224,147,20,150,1.65,52,36,+16,+0.47,50.2,37.8,+12.4,+0.36
vs Charlotte,32,26.4,34,3060,90,100,34.0,374,83,234,137,20,166,1.35,52,45,+7,+0.21,49.7,37.0,+12.7,+0.37
vs Chicago Fire,26,26.4,34,3060,90,100,34.0,374,80,233,138,21,163,1.53,51,39,+12,+0.35,51.1,38.2,+12.9,+0.38
vs Colorado Rapids,35,27.1,34,3060,90,100,34.0,374,81,230,144,18,158,1.85,54,26,+28,+0.82,47.4,37.9,+9.5,+0.28
vs Columbus Crew,28,26.4,34,3060,90,100,34.0,374,85,226,147,21,155,1.06,46,67,-21,-0.62,41.3,57.7,-16.4,-0.48
vs D.C. United,31,26.3,34,3060,90,100,34.0,374,83,229,142,21,158,1.53,49,45,+4,+0.12,42.6,45.8,-3.3,-0.10
vs FC Cincinnati,27,26.4,34,3060,90,100,34.0,374,83,229,143,21,158,0.71,39,57,-18,-0.53,40.7,56.3,-15.6,-0.46
vs FC Dallas,29,27.1,34,3060,90,100,34.0,374,82,242,131,20,167,1.26,37,41,-4,-0.12,36.6,37.8,-1.2,-0.04
vs Houston Dynamo,25,26.8,34,3060,90,100,34.0,374,82,224,150,22,151,1.24,38,51,-13,-0.38,41.0,44.9,-3.9,-0.11
vs Inter Miami,36,26.7,34,3060,90,100,34.0,374,82,233,143,22,163,1.79,54,41,+13,+0.38,52.2,38.2,+14.0,+0.41
vs LA Galaxy,34,27.2,34,3060,90,100,34.0,374,81,226,145,17,152,1.59,67,51,+16,+0.47,54.5,51.2,+3.3,+0.10
vs LAFC,28,27.2,34,3060,90,100,34.0,374,82,230,143,21,159,1.18,39,54,-15,-0.44,38.0,55.6,-17.6,-0.52
vs Minnesota Utd,30,27.1,34,3060,90,100,34.0,374,83,228,147,21,157,1.47,51,46,+5,+0.15,47.6,53.4,-5.8,-0.17
vs Nashville SC,24,26.3,34,3060,90,100,34.0,374,82,234,138,20,161,1.26,32,39,-7,-0.21,36.2,41.8,-5.6,-0.16
vs NE Revolution,32,26.4,34,3060,90,100,34.0,374,83,235,137,21,157,1.09,46,58,-12,-0.35,45.0,42.5,+2.5,+0.07
vs NY Red Bulls,28,26.6,34,3060,90,100,34.0,374,81,243,127,20,172,1.44,39,36,+3,+0.09,33.9,46.3,-12.4,-0.37
vs NYCFC,29,26.5,34,3060,90,100,34.0,374,83,235,138,21,161,1.38,39,35,+4,+0.12,36.1,42.0,-5.9,-0.17
vs Orlando City,28,26.5,34,3060,90,100,34.0,374,81,219,148,22,147,0.88,39,55,-16,-0.47,40.7,42.1,-1.4,-0.04
vs Philadelphia Union,23,26.5,34,3060,90,100,34.0,374,83,222,147,20,155,1.09,41,57,-16,-0.47,44.2,49.4,-5.3,-0.16
vs Portland Timbers,31,26.6,34,3060,90,100,34.0,374,82,238,136,18,165,1.44,58,46,+12,+0.35,44.1,41.2,+2.9,+0.09
vs Real Salt Lake,31,26.8,34,3060,90,100,34.0,374,81,229,144,20,157,1.29,50,48,+2,+0.06,48.7,43.3,+5.4,+0.16
vs Seattle Sounders,27,27.0,34,3060,90,100,34.0,374,84,226,142,17,158,1.12,32,41,-9,-0.26,32.2,48.1,-15.9,-0.47
vs SJ Earthquakes,25,27.0,34,3060,90,100,34.0,374,84,235,138,21,167,1.29,43,39,+4,+0.12,51.4,44.3,+7.2,+0.21
vs Sporting KC,30,26.9,34,3060,90,100,34.0,374,82,224,150,22,145,1.47,51,48,+3,+0.09,45.1,41.1,+4.1,+0.12
vs St. Louis,29,27.2,34,3060,90,100,34.0,374,81,227,148,22,156,1.21,45,62,-17,-0.50,50.1,42.6,+7.5,+0.22
vs Toronto FC,39,26.3,34,3060,90,100,34.0,374,80,235,139,21,162,2.06,59,26,+33,+0.97,54.0,31.3,+22.7,+0.67
vs Vancouver W'caps,28,26.9,34,3060,90,100,34.0,374,82,225,148,21,153,1.24,48,55,-7,-0.21,43.1,54.6,-11.5,-0.34
