team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
Atlanta Utd,33,25.8,34,3060,90,100,34.0,374,82,223,148,19,154,1.50,66,53,+13,+0.38,48.7,46.0,+2.8,+0.08
Austin,26,27.9,34,3060,90,100,34.0,374,82,221,153,20,150,1.15,49,55,-6,-0.18,42.5,49.9,-7.4,-0.22
CF Montréal,31,24.4,34,3060,90,100,34.0,374,80,219,153,24,150,1.21,36,52,-16,-0.47,37.8,50.2,-12.4,-0.36
Charlotte,32,27.2,34,3060,90,100,34.0,374,83,235,140,20,166,1.26,45,52,-7,-0.21,37.0,49.7,-12.7,-0.37
Chicago Fire,26,26.5,34,3060,90,100,34.0,374,80,217,151,24,148,1.18,39,51,-12,-0.35,38.2,51.1,-12.9,-0.38
Colorado Rapids,35,26.5,34,3060,90,100,34.0,374,81,227,145,22,161,0.79,26,54,-28,-0.82,37.9,47.4,-9.5,-0.28
Columbus Crew,28,25.8,34,3060,90,100,34.0,374,85,248,125,14,177,1.68,67,46,+21,+0.62,57.7,41.3,+16.4,+0.48
D.C. United,31,28.4,34,3060,90,100,34.0,374,83,241,132,20,172,1.18,45,49,-4,-0.12,45.8,42.6,+3.3,+0.10
FC Cincinnati,27,26.3,34,3060,90,100,34.0,374,83,215,156,17,149,2.03,57,39,+18,+0.53,56.3,40.7,+15.6,+0.46
FC Dallas,29,25.8,34,3060,90,100,34.0,374,82,226,149,19,149,1.35,41,37,+4,+0.12,37.8,36.6,+1.2,+0.04
Houston Dynamo,25,27.2,34,3060,90,100,34.0,374,82,231,139,19,162,1.50,51,38,+13,+0.38,44.9,41.0,+3.9,+0.11
Inter Miami,36,26.1,34,3060,90,100,34.0,374,82,230,143,22,161,1.00,41,54,-13,-0.38,38.2,52.2,-14.0,-0.41
LA Galaxy,34,27.4,34,3060,90,100,34.0,374,81,219,152,22,153,1.06,51,67,-16,-0.47,51.2,54.5,-3.3,-0.10
LAFC,28,27.5,34,3060,90,100,34.0,374,82,237,138,21,150,1.53,54,39,+15,+0.44,55.6,38.0,+17.6,+0.52
Minnesota Utd,30,27.5,34,3060,90,100,34.0,374,83,258,116,22,172,1.21,46,51,-5,-0.15,53.4,47.6,+5.8,+0.17
Nashville SC,24,29.2,34,3060,90,100,34.0,374,82,216,152,19,150,1.44,39,32,+7,+0.21,41.8,36.2,+5.6,+0.16
NE Revolution,32,27.3,34,3060,90,100,34.0,374,83,244,130,20,171,1.62,58,46,+12,+0.35,42.5,45.0,-2.5,-0.07
NY Red Bulls,28,23.8,34,3060,90,100,34.0,374,81,230,143,22,144,1.26,36,39,-3,-0.09,46.3,33.9,+12.4,+0.37
NYCFC,29,24.3,34,3060,90,100,34.0,374,83,249,124,21,180,1.21,35,39,-4,-0.12,42.0,36.1,+5.9,+0.17
Orlando City,28,26.5,34,3060,90,100,34.0,374,81,211,162,20,144,1.85,55,39,+16,+0.47,42.1,40.7,+1.4,+0.04
Philadelphia Union,23,26.7,34,3060,90,100,34.0,374,83,249,122,20,178,1.62,57,41,+16,+0.47,49.4,44.2,+5.3,+0.16
Portland Timbers,31,27.8,34,3060,90,100,34.0,374,82,230,146,20,152,1.26,46,58,-12,-0.35,41.2,44.1,-2.9,-0.09
Real Salt Lake,31,26.4,34,3060,90,100,34.0,374,81,216,156,22,145,1.47,48,50,-2,-0.06,43.3,48.7,-5.4,-0.16
Seattle Sounders,27,28.2,34,3060,90,100,34.0,374,84,242,132,16,160,1.56,41,32,+9,+0.26,48.1,32.2,+15.9,+0.47
SJ Earthquakes,25,27.0,34,3060,90,100,34.0,374,84,234,137,16,164,1.29,39,43,-4,-0.12,44.3,51.4,-7.2,-0.21
Sporting KC,30,28.6,34,3060,90,100,34.0,374,82,238,133,22,170,1.29,48,51,-3,-0.09,41.1,45.1,-4.1,-0.12
St. Louis,29,25.7,34,3060,90,100,34.0,374,81,209,162,20,144,1.65,62,45,+17,+0.50,42.6,50.1,-7.5,-0.22
Toronto FC,39,27.0,34,3060,90,100,34.0,374,80,242,132,26,158,0.65,26,59,-33,-0.97,31.3,54.0,-22.7,-0.67
Vancouver W'caps,28,25.8,34,3060,90,100,34.0,374,82,222,151,20,154,1.41,55,48,+7,+0.21,54.6,43.1,+11.5,+0.34
