team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
vs Atlanta Utd,33,44.4,34.0,17544,1851,5347,7834,4545,713,17540,603,294,48.8,252,41.8,9728,51253,26717,548,356,134,442,277,11029,1233
vs Austin,26,48.8,34.0,18692,1937,6104,7988,4754,812,18689,583,321,55.1,217,37.2,10471,53480,26464,565,395,169,445,231,12087,1261
vs CF Montréal,31,51.7,34.0,20464,2016,6575,9544,4529,711,20461,553,261,47.2,216,39.1,11920,59288,28342,542,366,157,476,260,13381,1278
vs Charlotte,32,47.3,34.0,18742,2150,6675,8161,4074,647,18734,572,305,53.3,211,36.9,10151,49314,22729,433,279,150,513,206,11680,1102
vs Chicago Fire,26,53.9,34.0,21190,1884,6038,10194,5153,786,21179,580,271,46.7,242,41.7,12343,64629,31660,538,443,145,521,290,14270,1487
vs Colorado Rapids,35,53.4,34.0,20220,1829,5983,9289,5133,733,20217,511,255,49.9,197,38.6,11846,61659,31238,638,462,162,479,218,13732,1366
vs Columbus Crew,28,42.9,34.0,17812,2184,6669,7693,3624,632,17808,566,291,51.4,220,38.9,9838,48486,22293,433,278,135,465,255,11129,960
vs D.C. United,31,50.5,34.0,19216,2151,6746,8347,4310,654,19210,687,332,48.3,281,40.9,10504,56130,29082,552,361,152,525,287,12100,1184
vs FC Cincinnati,27,51.2,34.0,19895,1995,6098,9078,4921,658,19890,606,291,48.0,251,41.4,11125,57492,28318,553,450,121,493,291,12794,1264
vs FC Dallas,29,51.2,34.0,20308,1957,6609,8998,4905,663,20305,630,321,51.0,248,39.4,12241,62107,29992,567,425,120,462,233,13652,1319
vs Houston Dynamo,25,48.4,34.0,19095,1865,5789,8647,4834,698,19089,559,275,49.2,217,38.8,11023,56141,28062,532,405,125,508,269,12682,1368
vs Inter Miami,36,45.4,34.0,18616,1680,5513,8725,4598,747,18615,768,356,46.4,325,42.3,10545,57154,28066,578,422,166,499,263,11886,1285
vs LA Galaxy,34,44.8,34.0,18867,1966,5960,8395,4723,782,18863,585,299,51.1,234,40.0,10986,60839,32258,644,428,169,408,218,12433,1370
vs LAFC,28,48.8,34.0,19788,2420,7068,8677,4225,540,19783,758,381,50.3,314,41.4,11243,57466,28010,557,413,109,516,319,12471,1207
vs Minnesota Utd,30,52.9,34.0,21333,2188,6893,9202,5421,827,21332,580,280,48.3,235,40.5,12089,63278,32800,629,430,154,566,288,13945,1507
vs Nashville SC,24,52.3,34.0,20666,1894,6056,9360,5449,633,20661,561,266,47.4,239,42.6,12327,65046,33168,625,547,142,521,268,13881,1499
vs NE Revolution,32,50.3,34.0,20293,1932,6157,8861,5512,818,20289,583,297,50.9,236,40.5,11658,61934,30816,620,488,160,480,241,13350,1433
vs NY Red Bulls,28,53.3,34.0,19499,2389,7967,8259,3491,496,19492,730,327,44.8,325,44.5,9620,48072,21429,353,256,107,555,270,11407,974
vs NYCFC,29,47.4,34.0,19097,2168,6374,8645,4261,616,19093,594,263,44.3,262,44.1,10594,52162,24656,460,346,132,432,253,12386,1147
vs Orlando City,28,49.6,34.0,18983,1917,5933,8290,4918,716,18980,617,315,51.1,234,37.9,10550,56637,28077,568,461,152,479,222,12472,1302
vs Philadelphia Union,23,53.9,34.0,20374,2050,6422,9175,4995,721,20368,679,341,50.2,273,40.2,11238,59767,30326,639,420,149,474,284,13190,1335
vs Portland Timbers,31,54.0,34.0,20688,2248,6986,9192,4748,712,20684,696,368,52.9,255,36.6,12209,62154,32271,593,473,149,551,303,13387,1360
vs Real Salt Lake,31,50.7,34.0,20096,2138,6577,9148,4583,717,20091,610,315,51.6,244,40.0,11446,58266,29332,527,379,125,502,245,13336,1312
vs Seattle Sounders,27,45.8,34.0,19113,2192,6363,8561,4371,568,19112,670,327,48.8,288,43.0,10553,54917,26205,446,375,91,516,255,12185,1284
vs SJ Earthquakes,25,52.5,34.0,21696,2150,6834,9363,5680,793,21689,709,371,52.3,270,38.1,12664,65516,32377,609,499,152,494,259,14604,1495
vs Sporting KC,30,47.9,34.0,19821,2212,6830,9075,4105,594,19814,604,307,50.8,247,40.9,11575,59575,29114,513,367,146,431,247,13169,1176
vs St. Louis,29,55.8,34.0,20946,2158,7301,9128,4733,780,20939,802,423,52.7,314,39.2,11159,57960,27431,510,385,143,596,328,13067,1391
vs Toronto FC,39,49.9,34.0,20976,1813,6360,9415,5411,862,20972,639,284,44.4,299,46.8,12963,63356,30650,610,465,169,527,276,14215,1523
vs Vancouver W'caps,28,51.0,34.0,20695,2226,7092,9205,4565,698,20694,578,275,47.6,240,41.5,11743,59852,30600,556,396,143,455,326,13992,1343
