team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Atlanta Utd,33,55.6,34.0,21262,2272,7180,9471,4824,761,21258,721,344,47.7,300,41.6,13062,67840,34725,635,439,168,469,239,14703,1370
Austin,26,51.2,34.0,19258,2402,7008,8257,4171,611,19256,663,329,49.6,272,41.0,11403,59638,29637,503,361,93,399,229,12690,1234
CF Montréal,31,48.3,34.0,19159,2029,6512,8648,4179,561,19156,589,272,46.2,267,45.3,10879,55529,27289,511,387,104,540,257,12167,1253
Charlotte,32,52.6,34.0,20188,2186,6680,9034,4640,657,20183,534,254,47.6,227,42.5,10886,53078,25350,454,353,105,492,232,13234,1348
Chicago Fire,26,46.1,34.0,18622,2094,6544,8280,3965,616,18620,561,291,51.9,218,38.9,10055,50298,24410,510,332,121,518,276,11593,1211
Colorado Rapids,35,46.6,34.0,18039,2191,6570,7866,3768,594,18035,545,271,49.7,215,39.4,9933,51066,25105,489,298,150,465,170,11533,1076
Columbus Crew,28,57.1,34.0,22489,1883,6306,10219,6166,896,22482,819,413,50.4,319,38.9,14338,74417,37395,746,527,222,564,263,15768,1690
D.C. United,31,49.5,34.0,18782,1994,6256,7895,4818,844,18780,596,300,50.3,240,40.3,9991,50684,24772,482,359,145,435,270,11672,1249
FC Cincinnati,27,48.8,34.0,19270,1977,6200,8803,4476,768,19260,660,316,47.9,283,42.9,10250,52732,25711,504,368,169,511,282,12121,1229
FC Dallas,29,48.8,34.0,19709,2307,6960,8766,4150,633,19708,511,277,54.2,180,35.2,11028,52556,26616,495,366,127,489,242,13022,1143
Houston Dynamo,25,51.6,34.0,20349,2323,7171,8834,4529,709,20343,613,319,52.0,241,39.3,12279,58339,29677,487,398,147,464,275,13874,1188
Inter Miami,36,54.6,34.0,21609,2175,6789,10149,4870,563,21603,580,281,48.4,227,39.1,13088,63465,31022,540,442,115,522,287,14916,1292
LA Galaxy,34,55.2,34.0,22568,2285,7226,10453,5075,717,22563,686,379,55.2,236,34.4,13900,72394,36198,704,519,160,495,276,16192,1537
LAFC,28,51.2,34.0,20565,1712,5976,9283,5555,874,20556,788,388,49.2,337,42.8,12084,64184,32715,692,453,220,572,273,13321,1534
Minnesota Utd,30,47.1,34.0,19314,2105,6248,8174,5072,811,19308,670,337,50.3,291,43.4,10606,53992,27118,525,395,131,522,320,11989,1397
Nashville SC,24,47.7,34.0,19009,2120,6610,8673,3898,643,19004,508,257,50.6,195,38.4,10161,48823,22838,441,295,114,430,245,12164,1114
NE Revolution,32,49.7,34.0,20096,2193,6637,8954,4694,645,20093,671,348,51.9,246,36.7,11704,65984,31954,669,454,159,486,255,13144,1292
NY Red Bulls,28,46.7,34.0,17607,1368,4819,8002,4996,758,17603,717,326,45.5,302,42.1,8830,49513,23599,553,386,156,615,293,9470,1148
NYCFC,29,52.6,34.0,21169,2242,7300,9634,4406,681,21166,714,345,48.3,292,40.9,12005,63921,32261,557,384,155,521,302,14438,1409
Orlando City,28,50.4,34.0,18957,1960,6130,8412,4597,672,18952,506,238,47.0,220,43.5,10761,55960,27533,513,414,126,417,238,12508,1351
Philadelphia Union,23,46.1,34.0,17743,1772,5435,7973,4526,671,17732,417,180,43.2,188,45.1,9371,47926,23407,452,357,96,427,224,10591,1193
Portland Timbers,31,46.0,34.0,18007,1882,5642,7957,4613,717,18006,634,310,48.9,261,41.2,9595,49879,25781,511,394,137,521,325,10709,1234
Real Salt Lake,31,49.3,34.0,19553,1874,6288,8715,4759,681,19553,727,375,51.6,284,39.1,11133,60117,29859,562,440,139,494,253,12795,1307
Seattle Sounders,27,54.2,34.0,21718,1802,5966,10319,5616,764,21717,506,246,48.6,202,39.9,12284,63000,30566,559,462,138,416,244,14822,1512
SJ Earthquakes,25,47.5,34.0,19826,2225,6743,8527,4764,690,19820,759,388,51.1,316,41.6,11560,60056,29442,555,424,136,511,299,12822,1267
Sporting KC,30,52.1,34.0,21112,1855,6262,9437,5650,737,21106,713,357,50.1,271,38.0,12925,69616,35101,706,549,188,480,307,14522,1465
St. Louis,29,44.2,34.0,17617,1957,5883,7261,4698,655,17612,607,302,49.8,250,41.2,8629,48591,23798,518,386,142,566,290,9611,1147
Toronto FC,39,50.1,34.0,21066,2314,7497,9460,4320,563,21064,705,323,45.8,312,44.3,12464,64382,29778,533,429,161,545,315,14311,1193
Vancouver W'caps,28,49.0,34.0,20062,2061,6481,8993,4776,835,20054,493,246,49.9,194,39.4,11148,55950,28826,532,399,104,445,201,13210,1382
