team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
vs Atlanta Utd,33,34.0,52,422,123,29.1,12.41,3.62,0.12,0.40,17.5,11,3,4,46.0,42.8,0.10,+6.0,+6.2
vs Austin,26,34.0,54,498,180,36.1,14.65,5.29,0.10,0.28,18.0,20,3,3,49.9,47.5,0.10,+4.1,+3.5
vs CF Montréal,31,34.0,49,432,150,34.7,12.71,4.41,0.11,0.31,17.5,18,3,3,50.2,47.9,0.11,-1.2,-1.9
vs Charlotte,32,34.0,50,407,159,39.1,11.97,4.68,0.11,0.27,17.9,15,7,7,49.7,44.4,0.11,+0.3,-1.4
vs Chicago Fire,26,34.0,49,462,141,30.5,13.59,4.15,0.08,0.28,17.6,23,10,11,51.1,42.8,0.10,-2.1,-3.8
vs Colorado Rapids,35,34.0,54,475,162,34.1,13.97,4.76,0.11,0.32,18.8,19,2,3,47.4,45.1,0.10,+6.6,+6.9
vs Columbus Crew,28,34.0,45,357,139,38.9,10.50,4.09,0.12,0.30,17.4,11,3,4,41.3,38.3,0.11,+3.7,+3.7
vs D.C. United,31,34.0,48,402,134,33.3,11.82,3.94,0.11,0.32,19.6,13,5,5,42.6,38.6,0.10,+5.4,+4.4
vs FC Cincinnati,27,34.0,37,390,121,31.0,11.47,3.56,0.08,0.26,17.8,17,5,5,40.7,36.7,0.10,-3.7,-4.7
vs FC Dallas,29,34.0,33,440,138,31.4,12.94,4.06,0.07,0.23,18.7,18,1,3,36.6,34.3,0.08,-3.6,-2.3
vs Houston Dynamo,25,34.0,37,385,119,30.9,11.32,3.50,0.08,0.26,17.5,12,6,6,41.0,36.3,0.10,-4.0,-5.3
vs Inter Miami,36,34.0,51,462,174,37.7,13.59,5.12,0.11,0.29,17.2,19,1,1,52.2,51.4,0.11,-1.2,-1.4
vs LA Galaxy,34,34.0,65,478,167,34.9,14.06,4.91,0.13,0.37,17.7,14,4,4,54.5,51.4,0.11,+10.5,+9.6
vs LAFC,28,34.0,38,347,118,34.0,10.21,3.47,0.10,0.30,18.5,10,3,5,38.0,34.0,0.10,0.0,+1.0
vs Minnesota Utd,30,34.0,50,495,154,31.1,14.56,4.53,0.10,0.32,17.6,13,1,1,47.6,46.8,0.10,+2.4,+2.2
vs Nashville SC,24,34.0,31,423,132,31.2,12.44,3.88,0.06,0.20,19.9,18,5,5,36.2,32.3,0.08,-5.2,-6.3
vs NE Revolution,32,34.0,45,513,178,34.7,15.09,5.24,0.08,0.24,18.4,18,3,4,45.0,41.9,0.08,0.0,+0.1
vs NY Red Bulls,28,34.0,37,237,85,35.9,6.97,2.50,0.13,0.36,16.9,10,6,7,33.9,28.5,0.13,+3.1,+2.5
vs NYCFC,29,34.0,38,370,125,33.8,10.88,3.68,0.09,0.27,18.7,22,4,4,36.1,33.0,0.09,+1.9,+1.0
vs Orlando City,28,34.0,38,410,125,30.5,12.06,3.68,0.09,0.29,18.0,23,2,3,40.7,38.3,0.10,-2.7,-2.3
vs Philadelphia Union,23,34.0,38,386,120,31.1,11.35,3.53,0.08,0.27,17.6,16,6,6,44.2,39.7,0.11,-6.2,-7.7
vs Portland Timbers,31,34.0,55,403,155,38.5,11.85,4.56,0.13,0.34,16.5,22,3,3,44.1,41.8,0.11,+10.9,+10.2
vs Real Salt Lake,31,34.0,49,413,140,33.9,12.15,4.12,0.11,0.32,17.3,18,4,5,48.7,44.6,0.11,+0.3,+0.4
vs Seattle Sounders,27,34.0,30,362,110,30.4,10.65,3.24,0.08,0.26,17.8,15,1,1,32.2,31.4,0.09,-2.2,-2.4
vs SJ Earthquakes,25,34.0,43,464,159,34.3,13.65,4.68,0.08,0.24,18.2,21,5,7,51.4,45.9,0.10,-8.4,-7.9
vs Sporting KC,30,34.0,51,378,139,36.8,11.12,4.09,0.12,0.33,18.2,13,5,7,45.1,39.7,0.11,+5.9,+6.3
vs St. Louis,29,34.0,43,437,163,37.3,12.85,4.79,0.08,0.22,17.6,15,7,7,50.1,45.0,0.11,-7.1,-9.0
vs Toronto FC,39,34.0,57,483,162,33.5,14.21,4.76,0.11,0.33,16.9,10,3,4,54.0,51.3,0.11,+3.0,+2.7
vs Vancouver W'caps,28,34.0,47,403,146,36.2,11.85,4.29,0.12,0.32,17.0,25,0,1,43.1,42.3,0.11,+3.9,+4.7
