team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Atlanta Utd,33,34.0,64,436,168,38.5,12.82,4.94,0.14,0.37,18.1,21,2,4,48.7,45.6,0.11,+15.3,+16.4
Austin,26,34.0,48,397,139,35.0,11.68,4.09,0.12,0.33,16.9,13,2,2,42.5,41.0,0.11,+5.5,+5.0
CF Montréal,31,34.0,33,376,125,33.2,11.06,3.68,0.08,0.25,18.3,4,2,3,37.8,35.6,0.10,-4.8,-4.6
Charlotte,32,34.0,43,341,108,31.7,10.03,3.18,0.11,0.35,16.8,18,5,5,37.0,33.1,0.10,+6.0,+4.9
Chicago Fire,26,34.0,36,349,108,30.9,10.26,3.18,0.10,0.31,16.9,13,2,2,38.2,36.6,0.11,-2.2,-2.6
Colorado Rapids,35,34.0,26,359,128,35.7,10.56,3.76,0.07,0.19,17.9,10,2,4,37.9,34.8,0.10,-11.9,-10.8
Columbus Crew,28,34.0,63,496,169,34.1,14.59,4.97,0.11,0.33,17.6,21,7,7,57.7,52.2,0.11,+5.3,+3.8
D.C. United,31,34.0,44,456,148,32.5,13.41,4.35,0.09,0.28,17.1,14,2,2,45.8,44.3,0.10,-1.8,-2.3
FC Cincinnati,27,34.0,56,439,155,35.3,12.91,4.56,0.11,0.31,17.6,18,8,9,56.3,49.2,0.11,-0.3,-1.2
FC Dallas,29,34.0,41,340,115,33.8,10.00,3.38,0.12,0.35,16.8,14,1,1,37.8,37.1,0.11,+3.2,+2.9
Houston Dynamo,25,34.0,51,379,143,37.7,11.15,4.21,0.12,0.31,17.2,18,6,6,44.9,40.2,0.11,+6.1,+4.8
Inter Miami,36,34.0,41,359,125,34.8,10.56,3.68,0.10,0.29,18.6,15,5,6,38.2,33.6,0.10,+2.8,+2.4
LA Galaxy,34,34.0,50,491,175,35.6,14.44,5.15,0.09,0.26,18.7,23,5,5,51.2,47.3,0.10,-1.2,-2.3
LAFC,28,34.0,53,517,181,35.0,15.21,5.32,0.09,0.25,18.6,29,7,9,55.6,48.5,0.10,-2.6,-2.5
Minnesota Utd,30,34.0,43,460,150,32.6,13.53,4.41,0.08,0.26,17.7,20,4,5,53.4,49.4,0.11,-10.4,-10.4
Nashville SC,24,34.0,38,378,113,29.9,11.12,3.32,0.09,0.29,17.0,10,5,5,41.8,38.1,0.10,-3.8,-5.1
NE Revolution,32,34.0,55,414,148,35.7,12.18,4.35,0.13,0.35,18.2,17,3,3,42.5,40.3,0.10,+12.5,+11.7
NY Red Bulls,28,34.0,35,465,143,30.8,13.68,4.21,0.07,0.22,17.8,23,3,4,46.3,43.2,0.10,-11.3,-11.2
NYCFC,29,34.0,34,416,148,35.6,12.24,4.35,0.08,0.22,17.4,16,1,3,42.0,39.9,0.10,-8.0,-6.9
Orlando City,28,34.0,54,397,141,35.5,11.68,4.15,0.12,0.35,18.4,12,5,5,42.1,38.2,0.10,+11.9,+10.8
Philadelphia Union,23,34.0,54,444,134,30.2,13.06,3.94,0.10,0.32,18.6,10,11,11,49.4,41.0,0.09,+4.6,+2.0
Portland Timbers,31,34.0,45,410,139,33.9,12.06,4.09,0.11,0.32,17.6,19,1,1,41.2,40.7,0.10,+3.8,+3.3
Real Salt Lake,31,34.0,48,496,189,38.1,14.59,5.56,0.10,0.25,19.6,11,0,0,43.3,43.3,0.09,+4.7,+4.7
Seattle Sounders,27,34.0,38,428,125,29.2,12.59,3.68,0.09,0.30,16.5,14,1,1,48.1,47.3,0.11,-10.1,-10.3
SJ Earthquakes,25,34.0,38,406,106,26.1,11.94,3.12,0.08,0.31,18.0,14,5,6,44.3,39.5,0.10,-6.3,-6.5
Sporting KC,30,34.0,47,440,155,35.2,12.94,4.56,0.10,0.28,18.9,14,4,6,41.1,36.3,0.08,+5.9,+6.7
St. Louis,29,34.0,59,455,167,36.7,13.38,4.91,0.12,0.32,19.2,26,5,5,42.6,38.7,0.09,+16.4,+15.3
Toronto FC,39,34.0,26,347,122,35.2,10.21,3.59,0.07,0.20,18.8,27,1,1,31.3,30.5,0.09,-5.3,-5.5
Vancouver W'caps,28,34.0,51,443,151,34.1,13.03,4.44,0.10,0.30,16.4,15,6,8,54.6,48.3,0.11,-3.6,-3.3
