team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
vs Atlanta Utd,33,26.6,44.4,34,374,3060,34.0,52,42,94,49,3,4,79,3,46.0,42.8,34.9,77.7,548,1238,1.53,1.24,2.76,1.44,2.68,1.35,1.03,2.38,1.26,2.29
vs Austin,26,26.8,48.8,34,374,3060,34.0,54,37,91,51,3,3,67,0,49.9,47.5,35.6,83.1,565,1268,1.59,1.09,2.68,1.50,2.59,1.47,1.05,2.51,1.40,2.44
vs CF Montréal,31,26.8,51.7,34,374,3060,34.0,49,36,85,46,3,3,65,3,50.2,47.9,37.5,85.4,542,1290,1.44,1.06,2.50,1.35,2.41,1.48,1.10,2.58,1.41,2.51
vs Charlotte,32,26.4,47.3,34,374,3060,34.0,50,30,80,43,7,7,72,3,49.7,44.4,35.7,80.0,433,1111,1.47,0.88,2.35,1.26,2.15,1.46,1.05,2.51,1.31,2.35
vs Chicago Fire,26,26.4,53.9,34,374,3060,34.0,49,30,79,39,10,11,68,3,51.1,42.8,34.5,77.3,538,1504,1.44,0.88,2.32,1.15,2.03,1.50,1.02,2.52,1.26,2.27
vs Colorado Rapids,35,27.1,53.4,34,374,3060,34.0,54,38,92,52,2,3,56,2,47.4,45.1,33.7,78.8,638,1380,1.59,1.12,2.71,1.53,2.65,1.39,0.99,2.39,1.33,2.32
vs Columbus Crew,28,26.4,42.9,34,374,3060,34.0,45,32,77,42,3,4,73,2,41.3,38.3,31.9,70.2,433,970,1.32,0.94,2.26,1.24,2.18,1.21,0.94,2.15,1.13,2.07
vs D.C. United,31,26.3,50.5,34,374,3060,34.0,48,35,83,43,5,5,67,4,42.6,38.6,31.9,70.5,552,1197,1.41,1.03,2.44,1.26,2.29,1.25,0.94,2.19,1.14,2.07
vs FC Cincinnati,27,26.4,51.2,34,374,3060,34.0,37,21,58,32,5,5,87,5,40.7,36.7,24.4,61.1,553,1278,1.09,0.62,1.71,0.94,1.56,1.20,0.72,1.91,1.08,1.80
vs FC Dallas,29,27.1,51.2,34,374,3060,34.0,33,23,56,32,1,3,72,3,36.6,34.3,26.2,60.5,567,1330,0.97,0.68,1.65,0.94,1.62,1.08,0.77,1.85,1.01,1.78
vs Houston Dynamo,25,26.8,48.4,34,374,3060,34.0,37,18,55,31,6,6,76,4,41.0,36.3,24.3,60.6,532,1379,1.09,0.53,1.62,0.91,1.44,1.21,0.71,1.92,1.07,1.78
vs Inter Miami,36,26.7,45.4,34,374,3060,34.0,51,41,92,50,1,1,69,1,52.2,51.4,41.0,92.3,578,1293,1.50,1.21,2.71,1.47,2.68,1.53,1.21,2.74,1.51,2.72
vs LA Galaxy,34,27.2,44.8,34,374,3060,34.0,65,45,110,61,4,4,90,4,54.5,51.4,40.7,92.1,644,1382,1.91,1.32,3.24,1.79,3.12,1.60,1.20,2.80,1.51,2.71
