team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Atlanta Utd,33,25.8,55.6,34,374,3060,34.0,64,44,108,62,2,4,73,4,48.7,45.6,36.4,82.0,635,1384,1.88,1.29,3.18,1.82,3.12,1.43,1.07,2.50,1.34,2.41
Austin,26,27.9,51.2,34,374,3060,34.0,48,37,85,46,2,2,59,2,42.5,41.0,32.3,73.3,503,1239,1.41,1.09,2.50,1.35,2.44,1.25,0.95,2.20,1.21,2.15
CF Montréal,31,24.4,48.3,34,374,3060,34.0,33,22,55,31,2,3,68,3,37.8,35.6,27.8,63.4,511,1265,0.97,0.65,1.62,0.91,1.56,1.11,0.82,1.93,1.05,1.87
Charlotte,32,27.2,52.6,34,374,3060,34.0,43,29,72,38,5,5,88,0,37.0,33.1,26.9,60.0,454,1360,1.26,0.85,2.12,1.12,1.97,1.09,0.79,1.88,0.97,1.76
Chicago Fire,26,26.5,46.1,34,374,3060,34.0,36,29,65,34,2,2,86,6,38.2,36.6,28.1,64.8,510,1217,1.06,0.85,1.91,1.00,1.85,1.12,0.83,1.95,1.08,1.90
Colorado Rapids,35,26.5,46.6,34,374,3060,34.0,26,20,46,24,2,4,83,4,37.9,34.8,28.9,63.6,489,1088,0.76,0.59,1.35,0.71,1.29,1.12,0.85,1.96,1.02,1.87
Columbus Crew,28,25.8,57.1,34,374,3060,34.0,63,49,112,56,7,7,61,1,57.7,52.2,42.7,94.9,746,1703,1.85,1.44,3.29,1.65,3.09,1.70,1.26,2.95,1.54,2.79
D.C. United,31,28.4,49.5,34,374,3060,34.0,44,27,71,42,2,2,70,2,45.8,44.3,33.1,77.4,482,1263,1.29,0.79,2.09,1.24,2.03,1.35,0.97,2.32,1.30,2.28
FC Cincinnati,27,26.3,48.8,34,374,3060,34.0,56,35,91,48,8,9,79,5,56.3,49.2,39.5,88.6,504,1241,1.65,1.03,2.68,1.41,2.44,1.65,1.16,2.82,1.45,2.61
FC Dallas,29,25.8,48.8,34,374,3060,34.0,41,34,75,40,1,1,69,2,37.8,37.1,30.9,67.9,495,1150,1.21,1.00,2.21,1.18,2.18,1.11,0.91,2.02,1.09,2.00
Houston Dynamo,25,27.2,51.6,34,374,3060,34.0,51,36,87,45,6,6,95,5,44.9,40.2,31.7,71.9,487,1202,1.50,1.06,2.56,1.32,2.38,1.32,0.93,2.25,1.18,2.12
Inter Miami,36,26.1,54.6,34,374,3060,34.0,41,29,70,36,5,6,83,3,38.2,33.6,24.9,58.5,540,1304,1.21,0.85,2.06,1.06,1.91,1.12,0.73,1.86,0.99,1.72
LA Galaxy,34,27.4,55.2,34,374,3060,34.0,50,37,87,45,5,5,76,4,51.2,47.3,38.6,85.9,704,1547,1.47,1.09,2.56,1.32,2.41,1.51,1.13,2.64,1.39,2.53
LAFC,28,27.5,51.2,34,374,3060,34.0,53,32,85,46,7,9,73,1,55.6,48.5,38.6,87.1,692,1543,1.56,0.94,2.50,1.35,2.29,1.64,1.13,2.77,1.43,2.56
Minnesota Utd,30,27.5,47.1,34,374,3060,34.0,43,23,66,39,4,5,57,1,53.4,49.4,38.4,87.8,525,1405,1.26,0.68,1.94,1.15,1.82,1.57,1.13,2.70,1.45,2.58
Nashville SC,24,29.2,47.7,34,374,3060,34.0,38,23,61,33,5,5,74,6,41.8,38.1,30.7,68.8,441,1123,1.12,0.68,1.79,0.97,1.65,1.23,0.90,2.13,1.12,2.02
NE Revolution,32,27.3,49.7,34,374,3060,34.0,55,37,92,52,3,3,49,2,42.5,40.3,29.0,69.4,669,1308,1.62,1.09,2.71,1.53,2.62,1.25,0.85,2.10,1.19,2.04
NY Red Bulls,28,23.8,46.7,34,374,3060,34.0,35,24,59,32,3,4,90,4,46.3,43.2,31.7,74.9,553,1159,1.03,0.71,1.74,0.94,1.65,1.36,0.93,2.30,1.27,2.20
NYCFC,29,24.3,52.6,34,374,3060,34.0,34,26,60,33,1,3,79,1,42.0,39.9,33.0,73.0,557,1418,1.00,0.76,1.76,0.97,1.74,1.24,0.97,2.21,1.17,2.15
Orlando City,28,26.5,50.4,34,374,3060,34.0,54,41,95,49,5,5,67,1,42.1,38.2,31.5,69.7,513,1361,1.59,1.21,2.79,1.44,2.65,1.24,0.93,2.16,1.12,2.05
Philadelphia Union,23,26.7,46.1,34,374,3060,34.0,54,35,89,43,11,11,85,5,49.4,41.0,32.2,73.1,452,1197,1.59,1.03,2.62,1.26,2.29,1.45,0.95,2.40,1.21,2.15
Portland Timbers,31,27.8,46.0,34,374,3060,34.0,45,36,81,44,1,1,82,0,41.2,40.7,29.4,70.1,511,1247,1.32,1.06,2.38,1.29,2.35,1.21,0.86,2.08,1.20,2.06
Real Salt Lake,31,26.4,49.3,34,374,3060,34.0,48,36,84,48,0,0,75,2,43.3,43.3,33.9,77.2,562,1325,1.41,1.06,2.47,1.41,2.47,1.27,1.00,2.27,1.27,2.27
Seattle Sounders,27,28.2,54.2,34,374,3060,34.0,38,29,67,37,1,1,61,2,48.1,47.3,35.6,82.9,559,1523,1.12,0.85,1.97,1.09,1.94,1.41,1.05,2.46,1.39,2.44
SJ Earthquakes,25,27.0,47.5,34,374,3060,34.0,38,28,66,33,5,6,73,4,44.3,39.5,31.0,70.5,555,1282,1.12,0.82,1.94,0.97,1.79,1.30,0.91,2.21,1.16,2.07
Sporting KC,30,28.6,52.1,34,374,3060,34.0,47,33,80,43,4,6,58,4,41.1,36.3,28.7,65.0,706,1471,1.38,0.97,2.35,1.26,2.24,1.21,0.85,2.05,1.07,1.91
St. Louis,29,25.7,44.2,34,374,3060,34.0,59,34,93,54,5,5,80,4,42.6,38.7,26.9,65.6,518,1160,1.74,1.00,2.74,1.59,2.59,1.25,0.79,2.05,1.14,1.93
Toronto FC,39,27.0,50.1,34,374,3060,34.0,26,20,46,25,1,1,51,3,31.3,30.5,24.2,54.7,533,1200,0.76,0.59,1.35,0.74,1.32,0.92,0.71,1.63,0.90,1.61
Vancouver W'caps,28,25.8,49.0,34,374,3060,34.0,51,34,85,45,6,8,66,1,54.6,48.3,40.0,88.3,532,1387,1.50,1.00,2.50,1.32,2.32,1.60,1.18,2.78,1.42,2.60
