rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,attendance_per_g,top_team_scorers,top_keeper,notes
1, FC Cincinnati,34,20,9,5,57,39,+18,69,2.03,56.3,40.7,+15.6,+0.46,29782,Luciano Acosta - 17,Roman Celentano,→ Round One 
2, Orlando City,34,18,9,7,55,39,+16,63,1.85,42.1,40.7,+1.4,+0.04,23253,Facundo Torres - 14,Pedro Gallese,→ Round One 
3, Columbus Crew,34,16,9,9,67,46,+21,57,1.68,57.7,41.3,+16.4,+0.48,23912,Cucho - 16,Patrick Schulte,→ Round One 
4, Philadelphia Union,34,15,10,9,57,41,+16,55,1.62,49.4,44.2,+5.3,+0.16,20071,Dániel Gazdag Julián Carranza - 14,Andre Blake,→ Round One 
5, NE Revolution,34,15,10,9,58,46,+12,55,1.62,42.5,45.0,-2.5,-0.07,24835,Carles Gil - 11,Đorđe Petrović,→ Round One 
6, Atlanta Utd,34,13,12,9,66,53,+13,51,1.50,48.7,46.0,+2.8,+0.08,49988,Giorgos Giakoumakis - 17,Brad Guzan,→ Round One 
7, Nashville SC,34,13,10,11,39,32,+7,49,1.44,41.8,36.2,+5.6,+0.16,29746,Hany Mukhtar - 15,Joe Willis,→ Round One 
8, NY Red Bulls,34,11,10,13,36,39,-3,43,1.26,46.3,33.9,+12.4,+0.37,20371,Omir Fernandez - 6,Carlos Coronel,→ Wild Card Round 
9, Charlotte,34,10,13,11,45,52,-7,43,1.26,37.0,49.7,-12.7,-0.37,36572,Karol Świderski - 12,Kristijan Kahlina,→ Wild Card Round 
10, CF Montréal,34,12,5,17,36,52,-16,41,1.21,37.8,50.2,-12.4,-0.36,17552,Mathieu Choiniere - 5,Jonathan Sirois,
11, NYCFC,34,9,14,11,35,39,-4,41,1.21,42.0,36.1,+5.9,+0.17,19673,Gabriel Pereira - 6,Luis Barraza,
12, D.C. United,34,10,10,14,45,49,-4,40,1.18,45.8,42.6,+3.3,+0.10,17540,Christian Benteke - 14,Tyler Miller,
13, Chicago Fire,34,10,10,14,39,51,-12,40,1.18,38.2,51.1,-12.9,-0.38,18170,Maren Haile-Selassie - 6,Christopher Brady,
14, Inter Miami,34,9,7,18,41,54,-13,34,1.00,38.2,52.2,-14.0,-0.41,17698,Leonardo Campana - 9,Drake Callender,
15, Toronto FC,34,4,10,20,26,59,-33,22,0.65,31.3,54.0,-22.7,-0.67,25310,Federico Bernardeschi Deandre Kerr - 5,Sean Johnson,
