ranker,team,players_contracted,weekly_wages,annual_wages,percent_estimated
1, Inter Miami,33,$523449 (€ 479691 £ 412388),$27219344 (€ 24943927 £ 21444154),0%
2, Toronto FC,28,$411019 (€ 375945 £ 323424),$21373012 (€ 19549137 £ 16818027),0%
3, LA Galaxy,32,$405148 (€ 371280 £ 319187),$21067711 (€ 19306541 £ 16597727),0%
4, Chicago Fire,31,$353168 (€ 323645 £ 278236),$18364760 (€ 16829548 £ 14468268),0%
5, LAFC,31,$340109 (€ 311677 £ 267947),$17685661 (€ 16207217 £ 13933255),0%
6, Seattle Sounders,28,$330406 (€ 302786 £ 260303),$17181123 (€ 15744857 £ 13535763),0%
7, D.C. United,31,$323858 (€ 296785 £ 255145),$16840628 (€ 15432825 £ 13267516),0%
8, NE Revolution,30,$294776 (€ 270134 £ 232232),$15328331 (€ 14046951 £ 12076083),0%
9, Nashville SC,29,$293409 (€ 268881 £ 231156),$15257262 (€ 13981822 £ 12020095),0%
10, Austin,29,$284055 (€ 260309 £ 223787),$14770870 (€ 13536092 £ 11636901),0%
11, Atlanta Utd,27,$279190 (€ 255851 £ 219954),$14517897 (€ 13304266 £ 11437603),4%
12, Sporting KC,31,$278035 (€ 254792 £ 219043),$14457800 (€ 13249194 £ 11390257),0%
13, Columbus Crew,26,$273433 (€ 250575 £ 215418),$14218495 (€ 13029893 £ 11201723),0%
14, Portland Timbers,29,$262619 (€ 240665 £ 206898),$13656183 (€ 12514588 £ 10758719),0%
15, SJ Earthquakes,32,$254841 (€ 233537 £ 200771),$13251731 (€ 12143947 £ 10440083),0%
16, Houston Dynamo,28,$250535 (€ 229591 £ 197378),$13027816 (€ 11938747 £ 10263673),0%
17, Colorado Rapids,32,$247668 (€ 226964 £ 195120),$12878724 (€ 11802120 £ 10146217),0%
18, FC Dallas,29,$247481 (€ 226792 £ 194972),$12868994 (€ 11793200 £ 10138549),0%
19, Real Salt Lake,34,$246882 (€ 226244 £ 194500),$12837859 (€ 11764672 £ 10114021),0%
20, Charlotte,34,$243968 (€ 223574 £ 192205),$12686347 (€ 11625822 £ 9994658),0%
21, NYCFC,32,$242873 (€ 222569 £ 191342),$12629372 (€ 11573612 £ 9949769),0%
22, Minnesota Utd,28,$241366 (€ 221189 £ 190155),$12551017 (€ 11501807 £ 9888040),0%
23, FC Cincinnati,29,$238851 (€ 218884 £ 188173),$12420234 (€ 11381955 £ 9785003),0%
24, Philadelphia Union,26,$219403 (€ 201062 £ 172852),$11408939 (€ 10455202 £ 8988279),0%
25, Vancouver W'caps,26,$216985 (€ 198469 £ 170742),$11283241 (€ 10320383 £ 8878571),0%
26, NY Red Bulls,31,$192922 (€ 176794 £ 151989),$10031919 (€ 9193294 £ 7903423),0%
27, St. Louis,30,$190567 (€ 174637 £ 150134),$9909508 (€ 9081114 £ 7806984),0%
28, CF Montréal,,$176712 (€ 161632 £ 139051),$9189017 (€ 8404869 £ 7230663),100%
29, Orlando City,30,$163027 (€ 149399 £ 128437),$8477421 (€ 7768745 £ 6678746),0%
