rank,team,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90
1, St. Louis,17,11,2,4,41,17,+24,35,2.06,25.4,23.5,+2.0,+0.12,17,6,3,8,21,28,-7,21,1.24,17.2,26.6,-9.5,-0.56
2, Seattle Sounders,17,7,6,4,19,11,+8,27,1.59,29.0,14.1,+14.9,+0.87,17,7,5,5,22,21,+1,26,1.53,19.1,18.1,+1.0,+0.06
3, LAFC,17,10,3,4,36,17,+19,33,1.94,32.3,13.4,+18.9,+1.11,17,4,7,6,18,22,-4,19,1.12,23.3,24.6,-1.3,-0.08
4, Houston Dynamo,17,11,4,2,36,11,+25,37,2.18,28.4,15.5,+12.9,+0.76,17,3,5,9,15,27,-12,14,0.82,16.5,25.5,-9.0,-0.53
5, Real Salt Lake,17,6,4,7,25,27,-2,22,1.29,23.2,20.5,+2.7,+0.16,17,8,4,5,23,23,0,28,1.65,20.1,28.2,-8.1,-0.48
6, Vancouver W'caps,17,8,6,3,35,19,+16,30,1.76,33.8,20.2,+13.6,+0.80,17,4,6,7,20,29,-9,18,1.06,20.8,22.9,-2.1,-0.12
7, FC Dallas,17,7,7,3,23,16,+7,28,1.65,20.1,15.5,+4.6,+0.27,17,4,6,7,18,21,-3,18,1.06,17.8,21.1,-3.4,-0.20
8, Sporting KC,17,9,2,6,30,21,+9,29,1.71,22.6,18.3,+4.3,+0.25,17,3,6,8,18,30,-12,15,0.88,18.5,26.8,-8.3,-0.49
9, SJ Earthquakes,17,8,7,2,25,16,+9,31,1.82,27.4,18.7,+8.7,+0.51,17,2,7,8,14,27,-13,13,0.76,16.9,32.8,-15.9,-0.93
10, Portland Timbers,17,9,3,5,29,22,+7,30,1.76,22.8,17.6,+5.2,+0.31,17,2,7,8,17,36,-19,13,0.76,18.4,26.6,-8.2,-0.48
11, Minnesota Utd,17,4,9,4,24,20,+4,21,1.24,30.9,20.9,+10.1,+0.59,17,6,2,9,22,31,-9,20,1.18,22.4,26.7,-4.3,-0.25
12, Austin,17,7,4,6,28,22,+6,25,1.47,23.8,24.1,-0.3,-0.02,17,3,5,9,21,33,-12,14,0.82,18.7,25.8,-7.1,-0.42
13, LA Galaxy,17,6,6,5,31,29,+2,24,1.41,29.5,24.7,+4.8,+0.28,17,2,6,9,20,38,-18,12,0.71,21.7,29.7,-8.1,-0.48
14, Colorado Rapids,17,3,8,6,13,16,-3,17,1.00,22.1,14.6,+7.5,+0.44,17,2,4,11,13,38,-25,10,0.59,15.8,32.8,-17.0,-1.00
