team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Atlanta Utd,28,27.4,49.5,34,374,3060,34.0,45,30,75,40,5,7,54,2,51.4,45.9,37.2,83.0,667,1303,1.32,0.88,2.21,1.18,2.06,1.51,1.09,2.61,1.35,2.44
Austin,26,28.6,49.9,34,374,3060,34.0,39,29,68,35,4,6,87,3,39.6,35.0,26.2,61.2,442,1263,1.15,0.85,2.00,1.03,1.88,1.16,0.77,1.94,1.03,1.80
CF Montréal,30,24.7,50.1,34,374,3060,34.0,46,36,82,42,4,4,75,3,43.7,40.6,31.1,71.6,515,1231,1.35,1.06,2.41,1.24,2.29,1.29,0.91,2.20,1.19,2.11
Charlotte,30,27.5,44.2,34,374,3060,34.0,45,34,79,42,3,5,76,2,46.7,42.8,31.0,73.8,574,1298,1.32,1.00,2.32,1.24,2.24,1.37,0.91,2.29,1.26,2.17
Chicago Fire,27,26.9,49.9,34,374,3060,34.0,40,28,68,35,5,5,68,1,44.0,40.1,31.3,71.4,568,1243,1.18,0.82,2.00,1.03,1.85,1.30,0.92,2.22,1.18,2.10
Colorado Rapids,25,25.5,48.9,34,374,3060,34.0,57,37,94,47,10,15,51,2,57.5,45.6,35.8,81.4,560,1568,1.68,1.09,2.76,1.38,2.47,1.69,1.05,2.74,1.34,2.39
Columbus Crew,29,26.4,58.7,34,374,3060,34.0,72,52,124,69,3,6,45,5,57.9,53.2,43.3,96.5,646,1618,2.12,1.53,3.65,2.03,3.56,1.70,1.27,2.98,1.56,2.84
D.C. United,28,27.6,47.0,34,374,3060,34.0,52,41,93,47,5,5,95,7,52.9,48.9,38.9,87.9,477,1246,1.53,1.21,2.74,1.38,2.59,1.56,1.15,2.70,1.44,2.58
FC Cincinnati,29,26.5,53.7,34,374,3060,34.0,57,42,99,54,3,4,82,4,48.4,45.3,37.7,83.0,635,1412,1.68,1.24,2.91,1.59,2.82,1.42,1.11,2.53,1.33,2.44
FC Dallas,30,27.1,48.9,34,374,3060,34.0,51,36,87,46,5,6,74,1,41.8,37.1,29.3,66.4,411,1147,1.50,1.06,2.56,1.35,2.41,1.23,0.86,2.09,1.09,1.95
Houston Dynamo,26,27.8,59.3,34,374,3060,34.0,45,33,78,43,2,2,75,2,43.1,41.5,30.9,72.5,578,1500,1.32,0.97,2.29,1.26,2.24,1.27,0.91,2.18,1.22,2.13
Inter Miami,31,27.5,54.7,34,374,3060,34.0,78,65,143,77,1,1,95,4,53.8,53.0,44.8,97.8,515,1409,2.29,1.91,4.21,2.26,4.18,1.58,1.32,2.90,1.56,2.88
