team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
vs Atlanta Utd,2,34,34,3060,34.0,46,1.35,164,117,75.0,14,10,10,8,23.5,7,5,2,0,28.6
vs Austin,1,34,34,3060,34.0,39,1.15,106,65,67.0,14,9,11,10,29.4,6,4,2,0,33.3
vs CF Montréal,2,34,34,3060,34.0,48,1.41,129,83,65.9,13,10,11,10,29.4,4,4,0,0,0.0
vs Charlotte,1,34,34,3060,34.0,46,1.35,144,98,70.1,11,9,14,8,23.5,5,3,1,1,25.0
vs Chicago Fire,2,34,34,3060,34.0,40,1.18,148,108,76.4,18,9,7,11,32.4,5,5,0,0,0.0
vs Colorado Rapids,2,34,34,3060,34.0,61,1.79,166,104,69.3,14,5,15,4,11.8,15,10,5,0,33.3
vs Columbus Crew,4,34,34,3060,34.0,72,2.12,178,104,61.2,6,9,19,5,14.7,6,3,2,1,40.0
vs D.C. United,2,34,34,3057,34.0,52,1.53,163,111,71.2,14,10,10,8,23.5,5,5,0,0,0.0
vs FC Cincinnati,3,34,34,3060,34.0,58,1.71,182,124,69.8,11,5,18,6,17.6,4,3,1,0,25.0
vs FC Dallas,2,34,34,3060,34.0,54,1.59,152,100,67.8,15,8,11,6,17.6,6,5,1,0,16.7
vs Houston Dynamo,2,34,34,3060,34.0,47,1.38,162,117,72.2,10,9,15,8,23.5,2,2,0,0,0.0
vs Inter Miami,3,34,34,3060,34.0,79,2.32,182,104,57.1,4,8,22,2,5.9,1,1,0,0,0.0
vs LA Galaxy,2,34,34,3060,34.0,69,2.03,203,131,68.0,8,7,19,4,11.8,8,4,4,0,50.0
vs LAFC,2,34,34,3054,34.0,63,1.86,202,139,72.3,8,7,19,5,14.7,8,7,1,0,12.5
vs Minnesota Utd,3,34,34,3060,34.0,58,1.71,169,113,68.6,12,7,15,5,14.7,6,5,1,0,16.7
vs Nashville SC,2,34,34,3060,34.0,38,1.12,117,78,71.8,16,9,9,11,32.4,7,5,2,0,28.6
vs NE Revolution,3,34,34,3060,34.0,37,1.09,137,101,73.7,21,4,9,10,29.4,1,1,0,0,0.0
vs NY Red Bulls,2,34,34,3060,34.0,55,1.62,181,126,74.0,9,14,11,7,20.6,10,8,2,0,20.0
vs NYCFC,2,34,34,3060,34.0,54,1.59,163,109,69.9,12,8,14,8,23.5,5,5,0,0,0.0
vs Orlando City,3,34,34,3060,34.0,59,1.74,155,99,64.5,12,7,15,8,23.5,5,4,0,1,0.0
vs Philadelphia Union,3,34,34,3060,34.0,62,1.82,184,121,68.5,15,10,9,5,14.7,5,4,1,0,20.0
vs Portland Timbers,2,34,34,3060,34.0,65,1.91,178,114,66.3,11,11,12,5,14.7,5,5,0,0,0.0
vs Real Salt Lake,2,34,34,3060,34.0,65,1.91,189,126,67.7,7,11,16,7,20.6,4,4,0,0,0.0
vs Seattle Sounders,2,34,34,2970,34.0,51,1.55,152,102,71.7,9,9,16,8,23.5,9,8,1,0,11.1
vs SJ Earthquakes,3,34,34,3060,34.0,41,1.21,123,84,67.5,25,3,6,10,29.4,1,1,0,0,0.0
vs Sporting KC,2,34,34,3060,34.0,51,1.50,146,94,65.1,19,7,8,6,17.6,3,0,1,2,100.0
vs St. Louis,2,34,34,3060,34.0,50,1.47,157,109,71.3,13,13,8,8,23.5,7,5,1,1,16.7
vs Toronto FC,2,34,34,3060,34.0,40,1.18,133,93,72.2,19,4,11,9,26.5,6,3,2,1,40.0
vs Vancouver W'caps,2,34,34,3060,34.0,52,1.53,142,92,64.8,13,8,13,7,20.6,3,2,0,1,0.0
