team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
vs Atlanta Utd,2,34.0,46,5,0,3,1,51.4,0.28,+6.4,+0.19,140,403,34.7,750,145,36.1,34.5,287,46.0,40.0,537,30,5.6,35,1.03,14.8
vs Austin,1,34.0,39,4,0,2,0,37.5,0.30,-1.5,-0.04,132,340,38.8,739,137,32.2,33.2,230,44.3,39.1,512,32,6.3,33,0.97,13.1
vs CF Montréal,2,34.0,48,4,3,3,2,44.2,0.32,-1.8,-0.05,128,339,37.8,767,115,32.5,33.2,208,43.3,37.7,343,14,4.1,47,1.38,16.7
vs Charlotte,1,34.0,46,3,1,3,1,50.5,0.33,+5.5,+0.16,146,349,41.8,989,189,25.4,29.3,272,36.0,33.3,434,27,6.2,35,1.03,14.1
vs Chicago Fire,2,34.0,40,5,0,6,0,46.7,0.30,+6.7,+0.20,121,340,35.6,902,163,26.2,30.4,254,40.9,36.0,473,23,4.9,40,1.18,14.5
vs Colorado Rapids,2,34.0,61,10,1,6,4,60.2,0.29,+3.2,+0.09,146,447,32.7,848,152,36.0,35.1,277,51.3,40.8,497,32,6.4,32,0.94,13.2
vs Columbus Crew,4,34.0,72,3,1,8,0,66.8,0.36,-5.2,-0.15,160,393,40.7,802,114,35.2,34.5,249,44.6,37.7,384,14,3.6,32,0.94,14.7
vs D.C. United,2,34.0,52,5,1,7,0,57.6,0.33,+5.6,+0.16,132,437,30.2,892,189,37.8,34.8,258,38.8,36.3,550,38,6.9,39,1.15,13.6
vs FC Cincinnati,3,34.0,58,3,4,8,1,54.6,0.28,-2.4,-0.07,139,522,26.6,928,141,41.1,36.8,269,52.4,42.2,316,18,5.7,32,0.94,15.0
vs FC Dallas,2,34.0,54,5,2,10,3,45.8,0.27,-5.2,-0.15,123,388,31.7,888,169,34.0,33.9,242,35.5,33.9,345,20,5.8,37,1.09,16.4
vs Houston Dynamo,2,34.0,47,2,0,7,2,43.2,0.26,-1.8,-0.05,151,402,37.6,875,144,34.2,35.2,242,42.6,38.4,438,24,5.5,43,1.26,15.4
vs Inter Miami,3,34.0,79,1,3,8,1,66.9,0.37,-11.1,-0.33,117,314,37.3,738,162,32.0,32.3,203,38.4,35.0,333,23,6.9,40,1.18,14.9
vs LA Galaxy,2,34.0,69,4,0,3,1,73.0,0.34,+5.0,+0.15,109,295,36.9,747,144,30.7,31.9,213,31.0,31.3,289,26,9.0,34,1.00,14.3
vs LAFC,2,34.0,63,7,2,7,1,62.6,0.28,+0.6,+0.02,171,454,37.7,849,155,36.5,34.4,307,46.9,39.5,457,21,4.6,47,1.39,15.7
vs Minnesota Utd,3,34.0,58,5,0,9,3,52.6,0.29,-2.4,-0.07,143,392,36.5,878,151,31.7,32.3,235,48.5,40.8,416,26,6.3,32,0.94,13.4
vs Nashville SC,2,34.0,38,5,1,5,1,41.7,0.30,+4.7,+0.14,103,330,31.2,794,147,29.0,31.0,227,44.1,37.1,485,34,7.0,36,1.06,13.6
vs NE Revolution,3,34.0,37,1,0,1,1,36.7,0.26,+0.7,+0.02,121,354,34.2,839,168,31.9,31.7,235,36.6,35.3,476,24,5.0,28,0.82,15.1
vs NY Red Bulls,2,34.0,55,8,2,7,2,58.9,0.28,+5.9,+0.17,161,474,34.0,1017,149,31.9,32.6,288,52.1,42.1,429,15,3.5,51,1.50,16.5
vs NYCFC,2,34.0,54,5,2,3,0,54.5,0.31,+0.5,+0.02,175,501,34.9,1001,167,37.7,34.7,269,46.1,38.3,416,20,4.8,31,0.91,14.4
vs Orlando City,3,34.0,59,4,1,7,3,55.0,0.34,-1.0,-0.03,199,478,41.6,842,140,36.2,33.5,298,58.1,45.1,502,17,3.4,29,0.85,13.6
vs Philadelphia Union,3,34.0,62,4,1,11,0,62.0,0.31,0.0,0.00,103,363,28.4,790,171,30.8,32.8,273,44.0,37.5,513,38,7.4,38,1.12,14.3
vs Portland Timbers,2,34.0,65,5,3,3,1,58.1,0.30,-5.9,-0.17,121,365,33.2,807,160,33.5,33.8,224,42.4,37.3,405,27,6.7,26,0.76,12.9
vs Real Salt Lake,2,34.0,65,4,1,7,2,56.4,0.28,-6.6,-0.19,166,422,39.3,808,164,36.0,35.2,289,45.3,39.5,459,15,3.3,28,0.82,13.5
vs Seattle Sounders,2,34.0,51,8,2,6,2,52.4,0.31,+3.4,+0.10,139,421,33.0,834,153,36.1,34.0,267,44.9,36.1,493,32,6.5,39,1.18,14.6
