team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Atlanta Utd,28,34.0,13502,16585,81.4,249306,92313,5775,6429,89.8,5750,6589,87.3,1631,2747,59.4,30,37.2,37.9,-7.2,373,1066,276,83,1303
Austin,26,34.0,12943,15909,81.4,244929,89201,5142,5784,88.9,5997,6816,88.0,1565,2605,60.1,29,26.2,28.5,+2.8,248,1031,276,86,1263
CF Montréal,30,34.0,15650,18693,83.7,263407,90353,7442,8177,91.0,6636,7485,88.7,1184,2161,54.8,36,31.1,31.1,+4.9,271,1046,222,45,1231
Charlotte,30,34.0,12203,15338,79.6,232016,85614,4657,5285,88.1,5815,6680,87.1,1452,2661,54.6,34,31.0,30.2,+3.0,297,1043,262,68,1298
Chicago Fire,27,34.0,13790,17177,80.3,244388,83604,6035,6765,89.2,6193,7121,87.0,1275,2477,51.5,28,31.3,31.4,-3.3,301,998,254,58,1243
Colorado Rapids,25,34.0,13135,16406,80.1,229027,85690,5985,6744,88.7,5480,6366,86.1,1293,2414,53.6,37,35.8,40.3,+1.2,317,1205,317,67,1568
Columbus Crew,29,34.0,17957,20793,86.4,299158,105243,8867,9543,92.9,7388,8223,89.8,1329,2143,62.0,52,43.3,37.7,+8.7,380,1429,309,70,1618
D.C. United,28,34.0,10850,14600,74.3,205411,86833,4679,5570,84.0,4412,5413,81.5,1465,2774,52.8,41,38.9,40.3,+2.1,346,968,298,83,1246
FC Cincinnati,29,34.0,14769,18039,81.9,260703,92306,6332,7169,88.3,6860,7744,88.6,1250,2182,57.3,42,37.7,40.0,+4.3,366,1089,314,43,1412
FC Dallas,30,34.0,14097,17111,82.4,236990,89559,6986,7699,90.7,5650,6458,87.5,1151,2165,53.2,36,29.3,31.9,+6.7,297,967,261,59,1147
Houston Dynamo,26,34.0,17338,20400,85.0,294849,99900,8363,9109,91.8,6827,7670,89.0,1624,2534,64.1,33,30.9,38.4,+2.1,367,1249,317,60,1500
Inter Miami,31,34.0,16597,19694,84.3,289618,96951,7333,8108,90.4,7407,8227,90.0,1462,2380,61.4,65,44.8,42.1,+20.2,318,1130,295,49,1409
LA Galaxy,26,34.0,18744,21525,87.1,304663,102369,9285,9997,92.9,7460,8175,91.3,1355,2168,62.5,51,44.9,40.1,+6.1,379,1356,342,36,1639
LAFC,24,34.0,13159,16160,81.4,241998,87691,5324,5970,89.2,6288,7106,88.5,1337,2403,55.6,42,41.9,34.9,+0.1,394,1079,291,54,1364
Minnesota Utd,36,34.0,11030,14555,75.8,197202,78070,4969,5823,85.3,4582,5498,83.3,1193,2421,49.3,39,36.8,36.1,+2.2,321,936,292,52,1278
Nashville SC,29,34.0,12911,16102,80.2,247103,90362,4918,5575,88.2,6273,7156,87.7,1557,2730,57.0,30,29.6,30.7,+0.4,285,982,231,78,1168
NE Revolution,33,34.0,14325,17530,81.7,267051,91150,5814,6525,89.1,6745,7604,88.7,1552,2674,58.0,26,28.1,28.0,-2.1,301,1029,283,73,1356
NY Red Bulls,27,34.0,11789,15313,77.0,220942,81671,4882,5695,85.7,5390,6333,85.1,1334,2626,50.8,36,39.9,35.9,-3.9,369,1132,273,65,1318
NYCFC,25,34.0,14612,17913,81.6,249338,91591,6744,7573,89.1,6197,7080,87.5,1236,2226,55.5,38,43.4,39.7,-5.4,353,1142,338,74,1504
Orlando City,26,34.0,15061,18232,82.6,254399,93212,7301,8045,90.8,6070,6917,87.8,1287,2314,55.6,46,39.0,41.9,+7.0,350,1250,341,79,1607
Philadelphia Union,26,34.0,11648,15066,77.3,222326,85444,4976,5738,86.7,4871,5812,83.8,1592,2816,56.5,47,46.3,44.8,+0.7,407,1049,301,86,1258
Portland Timbers,27,34.0,13679,16895,81.0,255339,95571,5632,6346,88.7,6098,6960,87.6,1639,2740,59.8,51,40.7,44.1,+10.3,358,1130,321,69,1378
Real Salt Lake,30,34.0,14990,18116,82.7,273244,93694,6455,7188,89.8,6625,7497,88.4,1637,2689,60.9,49,41.3,33.2,+7.7,398,1237,286,56,1451
Seattle Sounders,28,34.0,14601,17819,81.9,259319,91433,6578,7290,90.2,6170,7065,87.3,1514,2615,57.9,31,34.7,35.8,-3.7,338,1189,286,57,1455
SJ Earthquakes,27,34.0,11984,15132,79.2,220403,83927,5050,5749,87.8,5266,6101,86.3,1383,2466,56.1,29,35.2,31.4,-6.2,312,863,241,70,1129
Sporting KC,25,34.0,14104,17398,81.1,258560,88644,5937,6672,89.0,6280,7125,88.1,1567,2728,57.4,39,31.5,30.5,+7.5,343,1199,228,60,1363
St. Louis,35,34.0,11395,14968,76.1,205043,86163,5056,5873,86.1,4909,5897,83.2,1180,2365,49.9,33,32.9,35.5,+0.1,351,1014,323,68,1333
Toronto FC,27,34.0,14315,17420,82.2,257934,91184,6432,7135,90.1,6048,6872,88.0,1539,2631,58.5,28,26.6,32.4,+1.4,289,1101,269,64,1302
Vancouver W'caps,29,34.0,14034,17006,82.5,275030,90280,4980,5524,90.2,7081,7922,89.4,1775,2896,61.3,36,37.6,40.4,-1.6,326,1122,290,105,1258
