team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Atlanta Utd,28,34.0,16585,15055,1484,370,32,126,697,576,187,61,103,0,13502,46,307
Austin,26,34.0,15909,14317,1528,458,25,170,626,590,145,63,54,0,12943,64,274
CF Montréal,30,34.0,18693,17252,1390,420,47,92,456,476,121,42,48,0,15650,51,298
Charlotte,30,34.0,15338,13728,1554,409,36,144,549,655,146,85,32,2,12203,56,218
Chicago Fire,27,34.0,17177,15575,1555,389,44,101,616,660,146,76,42,0,13790,47,307
Colorado Rapids,25,34.0,16406,14622,1711,420,15,74,622,744,165,61,89,0,13135,73,256
Columbus Crew,29,34.0,20793,19222,1504,524,45,105,504,544,162,52,63,0,17957,67,326
D.C. United,28,34.0,14600,12972,1555,445,31,117,693,577,194,91,70,13,10850,73,286
FC Cincinnati,29,34.0,18039,16380,1573,430,55,118,418,651,172,93,33,1,14769,86,375
FC Dallas,30,34.0,17111,15490,1558,462,42,99,432,607,127,55,42,0,14097,63,277
Houston Dynamo,26,34.0,20400,18782,1538,447,38,171,567,586,175,66,73,5,17338,80,271
Inter Miami,31,34.0,19694,18227,1392,403,63,154,416,492,138,43,48,2,16597,75,335
LA Galaxy,26,34.0,21525,19971,1503,449,62,106,384,513,169,71,41,0,18744,51,292
LAFC,24,34.0,16160,14580,1524,382,39,81,583,591,208,87,92,0,13159,56,294
Minnesota Utd,36,34.0,14555,12957,1548,407,59,120,533,611,185,104,68,1,11030,50,293
Nashville SC,29,34.0,16102,14523,1515,431,29,123,599,573,154,87,54,2,12911,64,277
NE Revolution,33,34.0,17530,15897,1580,409,39,117,622,603,160,51,60,2,14325,53,281
NY Red Bulls,27,34.0,15313,13736,1521,393,53,111,534,635,178,102,57,0,11789,56,283
NYCFC,25,34.0,17913,16206,1634,470,74,78,528,677,177,98,37,1,14612,73,330
Orlando City,26,34.0,18232,16578,1588,461,54,115,676,600,191,67,74,1,15061,66,319
Philadelphia Union,26,34.0,15066,13451,1546,413,34,193,652,606,179,90,47,10,11648,69,284
Portland Timbers,27,34.0,16895,15195,1653,519,46,126,531,602,150,54,62,3,13679,47,330
Real Salt Lake,30,34.0,18116,16442,1608,446,37,197,591,659,188,112,35,1,14990,66,288
Seattle Sounders,28,34.0,17819,16239,1548,446,30,108,666,575,210,83,86,1,14601,32,309
SJ Earthquakes,27,34.0,15132,13466,1622,446,35,112,599,601,177,65,86,2,11984,44,321
Sporting KC,25,34.0,17398,15698,1640,474,27,149,593,636,186,128,30,0,14104,60,336
St. Louis,35,34.0,14968,13274,1643,431,42,63,655,709,179,75,77,2,11395,51,337
Toronto FC,27,34.0,17420,15872,1479,444,32,207,457,569,130,55,29,1,14315,69,278
Vancouver W'caps,29,34.0,17006,15548,1402,372,31,124,703,566,165,92,46,1,14034,56,231
