team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Atlanta Utd,28,34.0,861,25.32,635,75,46,53,42,10,76,2.24,62,3,2,5,4,0
Austin,26,34.0,615,18.09,462,59,29,23,32,10,73,2.15,56,4,5,1,5,2
CF Montréal,30,34.0,645,18.97,502,34,32,34,29,14,84,2.47,57,6,5,5,9,2
Charlotte,30,34.0,695,20.44,524,47,49,22,36,17,74,2.18,48,5,9,4,5,3
Chicago Fire,27,34.0,716,21.06,560,43,32,44,19,18,68,2.00,52,1,1,8,3,3
Colorado Rapids,25,34.0,763,22.44,544,75,28,45,60,11,97,2.85,61,8,1,14,10,3
Columbus Crew,29,34.0,873,25.68,685,49,47,46,25,21,122,3.59,93,6,4,11,4,4
D.C. United,28,34.0,826,24.29,570,103,40,65,34,14,93,2.74,63,10,5,8,5,2
FC Cincinnati,29,34.0,852,25.06,616,70,58,48,49,11,100,2.94,70,6,10,7,6,1
FC Dallas,30,34.0,729,21.44,563,50,22,51,30,13,90,2.65,65,7,3,7,6,2
Houston Dynamo,26,34.0,828,24.35,636,74,28,53,24,13,75,2.21,56,5,5,6,2,1
Inter Miami,31,34.0,731,21.50,569,48,45,28,29,12,148,4.35,113,9,11,8,7,0
LA Galaxy,26,34.0,884,26.00,679,47,48,57,41,12,118,3.47,90,2,8,15,3,0
LAFC,24,34.0,911,26.79,613,84,75,72,42,25,112,3.29,77,4,9,10,10,2
Minnesota Utd,36,34.0,749,22.03,552,55,39,58,28,17,91,2.68,63,9,5,9,4,1
Nashville SC,29,34.0,660,19.41,452,69,34,50,39,16,69,2.03,48,4,7,4,5,1
NE Revolution,33,34.0,723,21.26,556,49,42,36,27,13,62,1.82,51,2,3,3,2,1
NY Red Bulls,27,34.0,848,24.94,610,70,43,60,47,18,93,2.74,70,1,8,4,9,1
NYCFC,25,34.0,812,23.88,612,49,53,44,33,21,89,2.62,62,2,11,5,7,2
Orlando City,26,34.0,802,23.59,600,65,33,49,35,20,95,2.79,70,6,3,12,4,0
Philadelphia Union,26,34.0,916,26.94,646,113,26,69,43,19,99,2.91,64,11,3,13,5,3
Portland Timbers,27,34.0,847,24.91,611,60,50,58,52,16,110,3.24,88,2,5,6,8,1
Real Salt Lake,30,34.0,881,25.91,658,58,47,61,36,21,108,3.18,79,7,6,7,5,4
Seattle Sounders,28,34.0,817,24.03,585,83,36,59,44,10,84,2.47,54,8,1,7,12,2
SJ Earthquakes,27,34.0,719,21.15,517,76,35,48,30,13,63,1.85,39,5,7,9,2,1
Sporting KC,25,34.0,807,23.74,576,73,45,48,45,20,86,2.53,60,7,9,7,1,2
St. Louis,35,34.0,828,24.35,583,78,54,56,40,17,78,2.29,49,10,6,7,5,1
Toronto FC,27,34.0,679,19.97,525,37,42,33,29,13,68,2.00,53,2,3,6,3,1
Vancouver W'caps,29,34.0,754,22.18,553,86,30,44,34,7,83,2.44,64,5,5,7,1,1
