team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Atlanta Utd,28,34.0,513,331,258,201,54,253,486,52.1,233,359,129,230,287,800,711,9
Austin,26,34.0,464,284,241,152,71,216,489,44.2,273,383,152,231,235,699,659,12
CF Montréal,30,34.0,486,310,247,183,56,245,463,52.9,218,369,133,236,281,767,717,13
Charlotte,30,34.0,435,254,204,156,75,217,420,51.7,203,371,131,240,251,686,713,11
Chicago Fire,27,34.0,571,375,266,235,70,273,553,49.4,280,381,101,280,350,921,603,18
Colorado Rapids,25,34.0,525,305,233,211,81,284,585,48.5,301,397,118,279,282,807,639,10
Columbus Crew,29,34.0,484,282,215,190,79,247,439,56.3,192,323,77,246,276,760,455,17
D.C. United,28,34.0,591,372,268,242,81,308,591,52.1,283,395,120,275,314,905,608,10
FC Cincinnati,29,34.0,562,368,255,234,73,271,494,54.9,223,378,108,270,304,866,561,17
FC Dallas,30,34.0,487,327,242,182,63,233,455,51.2,222,346,115,231,273,760,693,18
Houston Dynamo,26,34.0,510,338,249,187,74,265,492,53.9,227,304,93,211,239,749,570,17
Inter Miami,31,34.0,596,378,305,216,75,288,618,46.6,330,395,131,264,319,915,581,26
LA Galaxy,26,34.0,485,292,255,169,61,233,480,48.5,247,368,131,237,297,782,688,16
LAFC,24,34.0,605,377,322,194,89,308,617,49.9,309,370,143,227,388,993,664,9
Minnesota Utd,36,34.0,542,342,273,205,64,272,509,53.4,237,364,98,266,339,881,746,8
Nashville SC,29,34.0,507,327,272,186,49,251,498,50.4,247,371,119,252,341,848,656,9
NE Revolution,33,34.0,486,299,239,193,54,253,475,53.3,222,381,130,251,296,782,684,10
NY Red Bulls,27,34.0,497,314,218,198,81,234,487,48.0,253,392,90,302,307,804,608,11
NYCFC,25,34.0,533,344,214,226,93,261,503,51.9,242,391,98,293,285,818,605,15
Orlando City,26,34.0,513,297,248,181,84,254,535,47.5,281,322,77,245,248,761,535,10
Philadelphia Union,26,34.0,601,359,279,231,91,292,541,54.0,249,411,126,285,341,942,626,5
Portland Timbers,27,34.0,586,367,288,217,81,271,553,49.0,282,399,127,272,325,911,712,15
Real Salt Lake,30,34.0,495,326,198,238,59,221,480,46.0,259,405,127,278,312,807,589,16
Seattle Sounders,28,34.0,538,341,249,211,78,247,452,54.6,205,398,122,276,331,869,654,14
SJ Earthquakes,27,34.0,599,329,294,231,74,300,624,48.1,324,372,115,257,325,924,844,11
Sporting KC,25,34.0,574,332,250,229,95,261,518,50.4,257,366,79,287,296,870,536,13
St. Louis,35,34.0,598,376,247,249,102,312,603,51.7,291,453,120,333,327,925,673,15
Toronto FC,27,34.0,534,329,252,217,65,252,445,56.6,193,380,96,284,293,827,595,15
Vancouver W'caps,29,34.0,498,306,223,211,64,228,451,50.6,223,367,110,257,298,796,711,11
