team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
vs Atlanta Utd,28,50.5,34.0,20630,2080,6127,9089,5597,811,20624,505,233,46.1,253,50.1,12190,61299,31709,614,488,171,459,260,13959,1441
vs Austin,26,50.1,34.0,19593,1850,6100,8486,5194,822,19584,528,273,51.7,216,40.9,11295,57744,29663,649,428,192,486,248,13190,1360
vs CF Montréal,30,49.9,34.0,21877,1783,6228,10401,5432,817,21872,493,218,44.2,245,49.7,12733,63053,30321,562,458,153,451,241,15282,1475
vs Charlotte,30,55.8,34.0,22739,2231,8250,9462,5185,899,22738,451,203,45.0,217,48.1,13655,66639,34459,622,429,176,460,218,16134,1526
vs Chicago Fire,27,50.1,34.0,21005,2169,6817,9530,4843,773,20997,586,280,47.8,273,46.6,11510,58836,29774,590,381,159,511,298,13978,1294
vs Colorado Rapids,25,51.1,34.0,21061,2250,7431,9060,4750,766,21057,619,301,48.6,284,45.9,11952,59273,30222,619,385,157,478,241,13924,1275
vs Columbus Crew,29,41.3,34.0,17987,2108,6601,7719,3825,646,17983,462,192,41.6,247,53.5,9977,47462,21685,431,278,149,460,237,11678,1017
vs D.C. United,28,53.0,34.0,20456,2282,7301,8989,4374,741,20451,631,283,44.8,308,48.8,10723,53855,27637,509,357,154,554,283,12840,1302
vs FC Cincinnati,29,46.3,34.0,19350,2138,6866,8302,4354,613,19344,530,223,42.1,271,51.1,10327,50703,23564,447,334,130,534,291,12090,1122
vs FC Dallas,30,51.1,34.0,21214,1934,6368,9747,5270,754,21206,499,222,44.5,233,46.7,12481,60107,28476,495,402,139,458,254,14671,1315
vs Houston Dynamo,26,40.7,34.0,17599,2150,6115,7383,4263,703,17594,531,227,42.7,265,49.9,9482,46933,22022,418,308,136,464,245,11099,1119
vs Inter Miami,31,45.3,34.0,19785,1763,5497,9322,5188,782,19778,672,330,49.1,288,42.9,11184,58745,29390,627,455,184,455,308,13200,1384
vs LA Galaxy,26,43.3,34.0,19825,1938,5804,8789,5422,841,19820,512,247,48.2,233,45.5,11650,63554,34200,692,519,191,396,252,13365,1473
vs LAFC,24,53.2,34.0,22164,2254,6695,10104,5537,685,22161,667,309,46.3,308,46.2,12490,61944,30032,563,480,111,496,297,15154,1494
vs Minnesota Utd,36,55.7,34.0,22092,2137,6918,10523,4833,688,22088,555,237,42.7,272,49.0,12674,61379,29719,541,402,129,523,270,14657,1424
vs Nashville SC,29,52.5,34.0,21089,1830,6016,9693,5566,860,21084,522,247,47.3,251,48.1,12392,64632,33127,649,518,191,447,256,14519,1465
vs NE Revolution,33,49.0,34.0,20416,2002,6352,8777,5491,861,20408,512,222,43.4,253,49.4,11588,59711,30279,592,465,164,488,233,13569,1398
vs NY Red Bulls,27,55.5,34.0,22738,2384,8565,9929,4396,625,22732,530,253,47.7,234,44.2,12713,59947,27891,464,343,121,543,263,15468,1269
vs NYCFC,25,47.8,34.0,20082,2435,7289,8572,4386,695,20077,535,242,45.2,261,48.8,10409,51702,24345,501,356,135,480,272,12820,1204
vs Orlando City,26,47.5,34.0,19970,2141,6424,9058,4669,623,19962,569,281,49.4,254,44.6,11289,56639,27589,479,450,117,450,259,13321,1266
vs Philadelphia Union,26,53.1,34.0,20817,2006,6472,9446,5084,768,20815,569,249,43.8,292,51.3,11801,61222,31525,642,451,149,519,309,13848,1515
vs Portland Timbers,27,51.3,34.0,21486,2124,6833,9592,5257,815,21482,598,282,47.2,271,45.3,11862,59719,30971,597,416,160,509,315,14310,1568
vs Real Salt Lake,30,46.1,34.0,19088,2114,6641,8294,4342,714,19082,511,259,50.7,221,43.2,10252,50867,23722,478,356,164,523,274,12133,1244
vs Seattle Sounders,28,49.5,34.0,20943,2218,6734,9276,5113,695,20938,486,205,42.2,247,50.8,12005,59212,28177,504,408,132,507,291,14069,1391
vs SJ Earthquakes,27,55.4,34.0,22430,1985,6443,10007,6189,870,22422,662,324,48.9,300,45.3,12810,64383,31767,649,542,173,482,299,15319,1625
vs Sporting KC,25,49.4,34.0,20742,2197,7377,9460,4087,677,20737,560,257,45.9,261,46.6,11396,56152,27602,491,328,141,453,313,13786,1229
vs St. Louis,35,53.1,34.0,21108,2338,7637,9022,4619,741,21102,669,291,43.5,312,46.6,11531,55480,25890,462,365,152,549,286,13366,1240
vs Toronto FC,27,50.1,34.0,21001,2011,6863,9811,4516,722,20996,481,193,40.1,252,52.4,12121,59586,28429,494,348,132,520,282,14215,1187
vs Vancouver W'caps,29,52.4,34.0,22062,2179,7607,9461,5131,788,22056,484,223,46.1,228,47.1,13369,62732,31670,576,400,173,438,270,15661,1424
