team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
Atlanta Utd,28,27.4,34,3060,90,100,34.0,374,83,239,136,19,169,1.18,46,49,-3,-0.09,51.4,48.9,+2.5,+0.07
Austin,26,28.6,34,3060,90,100,34.0,374,82,221,152,19,137,1.24,39,48,-9,-0.26,39.6,57.4,-17.8,-0.52
CF Montréal,30,24.7,34,3060,90,100,34.0,374,80,217,159,22,146,1.26,48,64,-16,-0.47,43.7,58.7,-15.0,-0.44
Charlotte,30,27.5,34,3060,90,100,34.0,374,84,233,139,16,167,1.50,46,37,+9,+0.26,46.7,44.6,+2.1,+0.06
Chicago Fire,27,26.9,34,3060,90,100,34.0,374,81,216,160,22,137,0.88,40,62,-22,-0.65,44.0,51.8,-7.8,-0.23
Colorado Rapids,25,25.5,34,3060,90,100,34.0,374,83,228,147,19,152,1.47,61,60,+1,+0.03,57.5,51.8,+5.7,+0.17
Columbus Crew,29,26.4,34,3060,90,100,34.0,374,82,222,150,18,145,1.94,72,40,+32,+0.94,57.9,44.1,+13.9,+0.41
D.C. United,28,27.6,34,3060,90,100,34.0,374,81,230,139,22,118,1.18,52,70,-18,-0.53,52.9,51.3,+1.6,+0.05
FC Cincinnati,29,26.5,34,3060,90,100,34.0,374,81,212,161,20,145,1.74,58,48,+10,+0.29,48.4,39.9,+8.5,+0.25
FC Dallas,30,27.1,34,3060,90,100,34.0,374,82,225,149,20,155,1.21,54,56,-2,-0.06,41.8,54.0,-12.3,-0.36
Houston Dynamo,26,27.8,34,3060,90,100,34.0,374,84,234,141,16,162,1.59,47,39,+8,+0.24,43.1,45.9,-2.8,-0.08
Inter Miami,31,27.5,34,3060,90,100,34.0,374,83,230,141,18,156,2.18,79,49,+30,+0.88,53.8,53.0,+0.8,+0.02
LA Galaxy,26,27.4,34,3060,90,100,34.0,374,84,229,144,17,159,1.88,69,50,+19,+0.56,63.8,53.0,+10.8,+0.32
LAFC,24,28.8,34,3060,90,100,34.0,374,84,238,133,18,151,1.88,63,43,+20,+0.59,59.2,39.9,+19.4,+0.57
Minnesota Utd,36,26.7,34,3060,90,100,34.0,374,81,225,147,23,144,1.53,58,49,+9,+0.26,53.2,50.1,+3.1,+0.09
Nashville SC,29,28.7,34,3060,90,100,34.0,374,82,221,152,19,141,1.06,38,54,-16,-0.47,44.8,54.1,-9.3,-0.27
NE Revolution,33,27.4,34,3060,90,100,34.0,374,83,239,134,19,156,0.91,37,74,-37,-1.09,36.8,62.8,-26.0,-0.76
NY Red Bulls,27,24.3,34,3060,90,100,34.0,374,83,228,141,19,160,1.38,55,50,+5,+0.15,56.5,43.7,+12.7,+0.37
NYCFC,25,24.6,34,3060,90,100,34.0,374,82,230,141,22,164,1.47,54,49,+5,+0.15,54.5,47.1,+7.5,+0.22
Orlando City,26,27.4,34,3060,90,100,34.0,374,82,222,152,20,153,1.53,59,50,+9,+0.26,50.6,47.0,+3.6,+0.11
Philadelphia Union,26,26.3,34,3060,90,100,34.0,374,83,263,110,22,184,1.09,62,55,+7,+0.21,59.9,51.6,+8.4,+0.25
Portland Timbers,27,27.6,34,3060,90,100,34.0,374,83,225,146,18,127,1.38,65,56,+9,+0.26,54.0,48.4,+5.6,+0.17
Real Salt Lake,30,25.6,34,3060,90,100,34.0,374,82,221,151,21,139,1.74,65,48,+17,+0.50,55.2,43.5,+11.7,+0.35
Seattle Sounders,28,27.6,34,3060,90,100,34.0,374,82,225,142,20,160,1.68,51,35,+16,+0.47,49.3,38.3,+11.0,+0.32
SJ Earthquakes,27,27.6,34,3060,90,100,34.0,374,80,208,163,22,142,0.62,41,78,-37,-1.09,45.4,58.3,-12.9,-0.38
Sporting KC,25,28.6,34,3060,90,100,34.0,374,81,246,126,26,165,0.91,51,66,-15,-0.44,42.9,52.8,-9.9,-0.29
St. Louis,35,26.3,34,3060,90,100,34.0,374,81,218,155,21,143,1.09,50,63,-13,-0.38,47.0,57.4,-10.5,-0.31
Toronto FC,27,27.4,34,3060,90,100,34.0,374,80,217,153,24,148,1.09,40,61,-21,-0.62,38.9,48.5,-9.5,-0.28
Vancouver W'caps,29,26.7,34,3060,90,100,34.0,374,81,213,159,20,147,1.38,52,49,+3,+0.09,49.4,44.6,+4.9,+0.14
