ranker,player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
1,Liel Abada,il ISR,FW,Charlotte,22,2001,18.2,330,465,71.0,4872,1576,182,229,79.5,117,158,74.1,16,44,36.4,1,3.0,3.6,-2.0,28,25,28,5,63,Matches
2,Jose Casas de Abadal,us USA,FWDF,Inter Miami,23,2000,0.3,23,30,76.7,362,114,9,12,75.0,12,13,92.3,1,2,50.0,0,0.0,0.0,0.0,0,4,0,0,3,Matches
3,Luis Abram,pe PER,DF,Atlanta Utd,27,1996,12.2,599,672,89.1,12246,5005,175,184,95.1,344,373,92.2,76,108,70.4,0,0.1,0.1,-0.1,3,30,1,1,35,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,14.2,611,678,90.1,10999,3481,223,240,92.9,341,370,92.2,42,60,70.0,1,0.1,0.1,+0.9,2,29,0,0,41,Matches
5,Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,25.6,1058,1324,79.9,18543,5006,485,553,87.7,463,524,88.4,91,194,46.9,2,2.8,2.9,-0.8,29,97,23,4,119,Matches
6,Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,30.0,1215,1658,73.3,20558,7269,653,790,82.7,393,502,78.3,132,240,55.0,16,11.7,13.2,+4.3,109,152,105,12,250,Matches
7,Jordan Adebayo-Smith,ng NGA,FWMF,Minnesota Utd,24,2000,2.8,34,52,65.4,415,47,22,30,73.3,9,14,64.3,0,0,,0,0.0,0.1,0.0,1,3,1,0,3,Matches
8,Sam Adekugbe,ca CAN,DFMF,Vancouver W'caps,29,1995,8.3,398,482,82.6,6336,1894,202,223,90.6,170,202,84.2,18,36,50.0,2,3.2,2.7,-1.2,14,24,19,9,39,Matches
9,Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,1.5,21,34,61.8,365,116,12,18,66.7,7,12,58.3,2,2,100.0,0,0.0,0.1,0.0,1,1,2,0,4,Matches
10,Samuel Adeniran,us USA,FWMF,St. Louis,25,1998,6.6,89,125,71.2,1250,216,50,65,76.9,28,41,68.3,5,8,62.5,1,0.8,0.6,+0.2,8,8,5,1,9,Matches
11,Leonardo Afonso,br BRA,FWMF,Inter Miami,22,2001,2.7,63,98,64.3,909,205,31,44,70.5,22,28,78.6,4,8,50.0,0,0.2,0.3,-0.2,5,4,3,0,8,Matches
12,Stephen Afrifa,ca CAN,FW,Sporting KC,22,2001,8.8,166,228,72.8,2260,489,107,128,83.6,52,66,78.8,4,13,30.8,2,0.9,0.7,+1.1,13,14,1,1,17,Matches
13,William Agada,ng NGA,FW,Sporting KC,24,1999,19.2,320,418,76.6,4722,521,178,219,81.3,102,132,77.3,19,25,76.0,3,1.9,1.3,+1.1,26,9,6,2,23,Matches
14,London Aghedo,us USA,DF,FC Cincinnati,23,2000,0.1,7,9,77.8,122,33,2,2,100.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
15,Daniel Aguirre,us USA,MFFW,LA Galaxy,24,1999,1.2,88,99,88.9,1143,375,54,56,96.4,25,27,92.6,2,2,100.0,0,0.2,0.2,-0.2,2,10,1,0,14,Matches
16,Patrick Agyemang,us USA,FW,Charlotte,23,2000,20.4,148,221,67.0,1961,416,81,112,72.3,51,68,75.0,2,5,40.0,3,1.4,1.1,+1.6,21,15,9,0,28,Matches
17,Ali Ahmed,ca CAN,MFDF,Vancouver W'caps,23,2000,15.0,543,678,80.1,8560,2458,287,318,90.3,217,258,84.1,28,50,56.0,0,2.8,2.2,-2.8,24,34,23,6,67,Matches
18,Forster Ajago,gh GHA,FW,Nashville SC,22,2001,4.2,51,78,65.4,831,74,26,36,72.2,21,30,70.0,3,5,60.0,0,0.6,0.4,-0.6,4,3,2,2,3,Matches
19,Carlos Akapo,gq EQG,DF,SJ Earthquakes,30,1993,17.8,821,1019,80.6,14065,5236,381,434,87.8,350,419,83.5,75,103,72.8,1,0.5,1.0,+0.5,9,41,12,2,75,Matches
20,Matai Akinmboni,us USA,DF,D.C. United,17,2006,4.9,177,214,82.7,3462,1345,57,61,93.4,102,110,92.7,16,39,41.0,1,0.1,0.1,+0.9,1,10,2,1,14,Matches
21,Ayo Akinola,ca CAN,FWMF,Toronto FC,24,2000,1.0,18,23,78.3,246,31,11,13,84.6,5,7,71.4,1,1,100.0,0,0.3,0.3,-0.3,1,1,1,0,3,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,34,1989,24.8,1563,1930,81.0,26856,9311,774,846,91.5,622,740,84.1,146,251,58.2,10,7.9,6.2,+2.1,44,122,49,12,171,Matches
23,Noah Allen,us USA,DF,Inter Miami,19,2004,10.3,600,689,87.1,10567,3379,257,271,94.8,292,313,93.3,44,84,52.4,0,0.1,0.2,-0.1,4,39,1,0,33,Matches
24,Rasmus Alm,se SWE,FWMF,St. Louis,28,1995,9.3,147,229,64.2,2470,841,72,97,74.2,60,87,69.0,13,25,52.0,2,1.5,1.5,+0.5,8,9,13,3,24,Matches
25,Thiago Almada,ar ARG,MFFW,Atlanta Utd,22,2001,15.5,825,1040,79.3,14924,5178,397,431,92.1,270,332,81.3,128,214,59.8,1,3.5,3.9,-2.5,43,108,35,4,147,Matches
Rk
26,Fernando Álvarez,co COL,DF,CF Montréal,20,2003,23.8,1266,1453,87.1,22758,7293,492,519,94.8,678,746,90.9,79,151,52.3,1,0.5,0.5,+0.5,5,66,1,0,62,Matches
27,Pedro Amador,pt POR,DF,Atlanta Utd,25,1998,9.0,362,474,76.4,6347,2186,160,183,87.4,154,200,77.0,37,64,57.8,4,1.7,1.4,+2.3,13,38,13,8,40,Matches
28,Frankie Amaya,us USA,MF,NY Red Bulls,23,2000,17.9,684,851,80.4,12435,3880,307,354,86.7,297,339,87.6,72,130,55.4,2,1.1,1.1,+0.9,17,125,9,2,103,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,25,1998,25.5,1671,1915,87.3,29438,12348,738,796,92.7,760,832,91.3,148,224,66.1,2,1.5,1.6,+0.5,17,187,19,5,141,Matches
30,Markus Anderson,us USA,MFFW,Philadelphia Union,20,2003,1.1,5,13,38.5,65,14,3,7,42.9,2,4,50.0,0,0,,0,0.0,0.0,0.0,2,1,0,0,1,Matches
31,Sebastian Anderson,us USA,DF,Colorado Rapids,21,2002,5.6,202,276,73.2,3435,1316,92,107,86.0,81,106,76.4,21,41,51.2,1,1.4,0.7,-0.4,3,13,6,2,20,Matches
32,José Andrés Martínez,ve VEN,MF,Philadelphia Union,29,1994,11.3,424,539,78.7,8307,2985,167,198,84.3,184,219,84.0,64,96,66.7,1,1.0,1.5,0.0,10,67,9,2,67,Matches
33,Tomas Ángel,co COL,FWMF,LAFC,20,2003,0.6,17,22,77.3,266,54,6,7,85.7,6,9,66.7,2,3,66.7,0,0.0,0.1,0.0,1,0,1,0,1,Matches
34,Iván Angulo,co COL,FWMF,Orlando City,24,1999,30.7,1096,1314,83.4,14725,3679,692,773,89.5,340,400,85.0,23,46,50.0,6,4.9,4.5,+1.1,41,49,43,3,146,Matches
35,Eugene Ansah,gh GHA,FWMF,FC Dallas,29,1994,4.8,72,98,73.5,969,122,41,48,85.4,24,31,77.4,3,12,25.0,0,1.0,1.1,-1.0,9,3,3,0,8,Matches
36,Conner Antley,us USA,DF,D.C. United,28,1995,4.8,135,204,66.2,2329,1116,60,80,75.0,63,86,73.3,11,28,39.3,1,1.2,0.6,-0.2,3,9,1,0,10,Matches
