ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
1,Liel Abada,il ISR,FW,Charlotte,22,2001,18.2,7,53,28,52.8,2.91,1.54,0.13,0.25,16.5,0,0,0,6.2,6.2,0.12,+0.8,+0.8,Matches
2,Jose Casas de Abadal,us USA,FWDF,Inter Miami,23,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,Luis Abram,pe PER,DF,Atlanta Utd,27,1996,12.2,0,8,1,12.5,0.65,0.08,0.00,0.00,9.4,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,14.2,0,6,0,0.0,0.42,0.00,0.00,,7.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
5,Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,25.6,3,23,7,30.4,0.90,0.27,0.13,0.43,26.3,3,0,0,1.1,1.1,0.05,+1.9,+1.9,Matches
6,Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,30.0,14,80,24,30.0,2.66,0.80,0.14,0.46,21.4,12,3,4,9.9,6.7,0.08,+4.1,+4.3,Matches
7,Jordan Adebayo-Smith,ng NGA,FWMF,Minnesota Utd,24,2000,2.8,0,5,3,60.0,1.77,1.06,0.00,0.00,14.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
8,Sam Adekugbe,ca CAN,DFMF,Vancouver W'caps,29,1995,8.3,1,9,3,33.3,1.08,0.36,0.11,0.33,13.3,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
9,Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,1.5,0,10,5,50.0,6.57,3.28,0.00,0.00,14.8,0,0,0,1.4,1.4,0.15,-1.4,-1.4,Matches
10,Samuel Adeniran,us USA,FWMF,St. Louis,25,1998,6.6,2,26,6,23.1,3.93,0.91,0.08,0.33,16.6,0,0,0,2.2,2.2,0.09,-0.2,-0.2,Matches
11,Leonardo Afonso,br BRA,FWMF,Inter Miami,22,2001,2.7,2,5,2,40.0,1.82,0.73,0.40,1.00,15.9,0,0,0,0.7,0.7,0.14,+1.3,+1.3,Matches
12,Stephen Afrifa,ca CAN,FW,Sporting KC,22,2001,8.8,4,31,10,32.3,3.51,1.13,0.13,0.40,15.3,0,0,0,2.6,2.6,0.08,+1.4,+1.4,Matches
13,William Agada,ng NGA,FW,Sporting KC,24,1999,19.2,10,83,24,28.9,4.31,1.25,0.12,0.42,14.2,0,0,2,14.6,13.1,0.16,-4.6,-3.1,Matches
14,London Aghedo,us USA,DF,FC Cincinnati,23,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
15,Daniel Aguirre,us USA,MFFW,LA Galaxy,24,1999,1.2,0,3,0,0.0,2.52,0.00,0.00,,14.1,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
16,Patrick Agyemang,us USA,FW,Charlotte,23,2000,20.4,10,57,23,40.4,2.79,1.13,0.18,0.43,12.6,0,0,0,8.1,8.1,0.14,+1.9,+1.9,Matches
17,Ali Ahmed,ca CAN,MFDF,Vancouver W'caps,23,2000,15.0,1,16,4,25.0,1.07,0.27,0.06,0.25,16.9,1,0,0,1.0,1.0,0.06,0.0,0.0,Matches
18,Forster Ajago,gh GHA,FW,Nashville SC,22,2001,4.2,0,10,3,30.0,2.37,0.71,0.00,0.00,12.9,0,0,0,1.4,1.4,0.14,-1.4,-1.4,Matches
19,Carlos Akapo,gq EQG,DF,SJ Earthquakes,30,1993,17.8,0,10,2,20.0,0.56,0.11,0.00,0.00,20.5,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
20,Matai Akinmboni,us USA,DF,D.C. United,17,2006,4.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Ayo Akinola,ca CAN,FWMF,Toronto FC,24,2000,1.0,0,2,0,0.0,2.07,0.00,0.00,,9.8,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,34,1989,24.8,4,18,7,38.9,0.73,0.28,0.22,0.57,20.3,0,0,0,2.1,2.1,0.12,+1.9,+1.9,Matches
23,Noah Allen,us USA,DF,Inter Miami,19,2004,10.3,0,1,0,0.0,0.10,0.00,0.00,,10.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
24,Rasmus Alm,se SWE,FWMF,St. Louis,28,1995,9.3,2,13,2,15.4,1.40,0.22,0.15,1.00,19.5,0,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches
25,Thiago Almada,ar ARG,MFFW,Atlanta Utd,22,2001,15.5,6,52,18,34.6,3.36,1.16,0.08,0.22,22.3,7,2,2,5.7,4.1,0.08,+0.3,-0.1,Matches
Rk
26,Fernando Álvarez,co COL,DF,CF Montréal,20,2003,23.8,1,4,1,25.0,0.17,0.04,0.25,1.00,13.2,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
27,Pedro Amador,pt POR,DF,Atlanta Utd,25,1998,9.0,0,8,1,12.5,0.89,0.11,0.00,0.00,26.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
28,Frankie Amaya,us USA,MF,NY Red Bulls,23,2000,17.9,1,21,9,42.9,1.18,0.50,0.05,0.11,26.6,0,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,25,1998,25.5,1,3,1,33.3,0.12,0.04,0.33,1.00,20.0,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
30,Markus Anderson,us USA,MFFW,Philadelphia Union,20,2003,1.1,0,2,0,0.0,1.86,0.00,0.00,,8.6,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
31,Sebastian Anderson,us USA,DF,Colorado Rapids,21,2002,5.6,0,1,0,0.0,0.18,0.00,0.00,,4.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
32,José Andrés Martínez,ve VEN,MF,Philadelphia Union,29,1994,11.3,0,14,4,28.6,1.24,0.35,0.00,0.00,29.7,0,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches
33,Tomas Ángel,co COL,FWMF,LAFC,20,2003,0.6,1,4,1,25.0,7.06,1.76,0.25,1.00,13.5,0,0,0,1.4,1.4,0.35,-0.4,-0.4,Matches
34,Iván Angulo,co COL,FWMF,Orlando City,24,1999,30.7,5,32,9,28.1,1.04,0.29,0.16,0.56,15.4,0,0,0,4.9,4.9,0.15,+0.1,+0.1,Matches
35,Eugene Ansah,gh GHA,FWMF,FC Dallas,29,1994,4.8,1,13,7,53.8,2.70,1.45,0.08,0.14,18.0,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
36,Conner Antley,us USA,DF,D.C. United,28,1995,4.8,0,2,0,0.0,0.41,0.00,0.00,,10.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
37,Antony,br BRA,FWMF,Portland Timbers,22,2001,21.0,6,38,13,34.2,1.81,0.62,0.16,0.46,17.3,0,0,0,4.9,4.9,0.13,+1.1,+1.1,Matches
38,Brian Anunga,cm CMR,MF,Nashville SC,27,1996,16.1,0,5,1,20.0,0.31,0.06,0.00,0.00,21.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
39,Cristian Arango,co COL,FWMF,Real Salt Lake,28,1995,25.4,17,116,43,37.1,4.57,1.69,0.13,0.35,18.1,3,2,2,15.1,13.5,0.12,+1.9,+1.5,Matches
40,César Araujo,uy URU,MF,Orlando City,22,2001,26.9,1,26,2,7.7,0.97,0.07,0.04,0.50,20.9,3,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches
41,Miguel Araujo,pe PER,DF,Portland Timbers,29,1994,17.1,0,9,1,11.1,0.52,0.06,0.00,0.00,10.9,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
42,Scott Arfield,ca CAN,MFFW,Charlotte,35,1988,4.2,0,7,2,28.6,1.65,0.47,0.00,0.00,18.4,1,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
43,Maximilian Arfsten,us USA,DF,Columbus Crew,22,2001,21.8,4,41,12,29.3,1.88,0.55,0.10,0.33,16.7,2,0,0,3.2,3.2,0.08,+0.8,+0.8,Matches
44,Allan Arigoni,ch SUI,DF,Chicago Fire,25,1998,23.3,1,18,5,27.8,0.77,0.21,0.06,0.20,18.4,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
45,Daniel Armando Ríos,mx MEX,FW,Atlanta Utd,28,1995,15.1,7,42,21,50.0,2.78,1.39,0.17,0.33,14.4,0,0,1,6.2,5.4,0.13,+0.8,+1.6,Matches
46,Stuart Armstrong,sct SCO,MFFW,Vancouver W'caps,31,1992,1.4,1,4,1,25.0,2.81,0.70,0.25,1.00,23.9,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
47,Xavier Arreaga,ec ECU,DF,NE Revolution,29,1994,21.5,0,11,3,27.3,0.51,0.14,0.00,0.00,11.1,0,0,0,1.5,1.5,0.13,-1.5,-1.5,Matches
48,Xavier Arreaga,ec ECU,DF,Seattle Sounders,29,1994,2.8,0,1,0,0.0,0.35,0.00,0.00,,9.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
49,Kervin Arriaga,hn HON,DFMF,Minnesota Utd,26,1998,9.8,3,16,4,25.0,1.64,0.41,0.19,0.75,18.1,4,0,0,0.8,0.8,0.05,+2.2,+2.2,Matches
50,Paul Arriola,us USA,DFMF,FC Dallas,28,1995,27.3,5,47,20,42.6,1.72,0.73,0.06,0.15,18.8,0,2,2,4.7,3.1,0.07,+0.3,-0.1,Matches
Rk
51,Artur,br BRA,MF,Houston Dynamo,27,1996,33.8,0,32,9,28.1,0.95,0.27,0.00,0.00,26.3,0,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches
52,Yamil Asad,ar ARG,DF,FC Cincinnati,29,1994,8.9,3,18,9,50.0,2.03,1.01,0.17,0.33,18.8,0,0,0,1.2,1.2,0.07,+1.8,+1.8,Matches
53,Dairon Asprilla,co COL,FWDF,Portland Timbers,31,1992,7.6,1,9,2,22.2,1.18,0.26,0.11,0.50,18.0,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
54,Joshua Atencio,us USA,MF,Seattle Sounders,22,2002,11.9,0,26,6,23.1,2.19,0.51,0.00,0.00,20.5,0,0,0,1.3,1.3,0.05,-1.3,-1.3,Matches
55,Eduard Atuesta,co COL,MF,LAFC,26,1997,24.3,4,36,13,36.1,1.48,0.53,0.11,0.31,21.2,5,0,0,2.8,2.8,0.08,+1.2,+1.2,Matches
56,Julián Aude,ar ARG,DF,LA Galaxy,20,2003,18.8,1,12,2,16.7,0.64,0.11,0.08,0.50,21.0,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
57,Tomás Avilés,ar ARG,DF,Inter Miami,19,2004,24.4,0,8,2,25.0,0.33,0.08,0.00,0.00,15.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
58,Chidozie Awaziem,ng NGA,DF,FC Cincinnati,27,1997,5.9,0,7,1,14.3,1.18,0.17,0.00,0.00,12.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
59,David Ayala,ar ARG,MF,Portland Timbers,21,2002,16.3,1,15,3,20.0,0.92,0.18,0.07,0.33,22.0,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
60,Hugo Bacharach,es ESP,DF,Minnesota Utd,22,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
61,Dominique Badji,sn SEN,MFFW,D.C. United,31,1992,3.3,1,8,3,37.5,2.41,0.90,0.13,0.33,11.4,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
62,Corey Baird,us USA,FWMF,FC Cincinnati,28,1996,10.6,3,18,7,38.9,1.70,0.66,0.17,0.43,11.7,0,0,0,2.9,2.9,0.16,+0.1,+0.1,Matches
63,Esmir Bajraktarevic,ba BIH,FWMF,NE Revolution,18,2005,22.0,3,46,16,34.8,2.09,0.73,0.07,0.19,17.5,0,0,0,2.8,2.8,0.06,+0.2,+0.2,Matches
