rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,attendance_per_g,top_team_scorers,top_keeper,notes
1, Inter Miami,34,22,8,4,79,49,+30,74,2.18,53.8,53.0,+0.8,+0.02,23419,Luis Suárez Lionel Messi - 20,Drake Callender,→ Round One 
2, Columbus Crew,34,19,9,6,72,40,+32,66,1.94,57.9,44.1,+13.9,+0.41,21766,Cucho - 19,Patrick Schulte,→ Round One 
3, FC Cincinnati,34,18,5,11,58,48,+10,59,1.74,48.4,39.9,+8.5,+0.25,27819,Luciano Acosta - 14,Roman Celentano,→ Round One 
4, Orlando City,34,15,7,12,59,50,+9,52,1.53,50.6,47.0,+3.6,+0.11,27975,Facundo Torres - 14,Pedro Gallese,→ Round One 
5, Charlotte,34,14,9,11,46,37,+9,51,1.50,46.7,44.6,+2.1,+0.06,37508,Patrick Agyemang - 10,Kristijan Kahlina,→ Round One 
6, NYCFC,34,14,8,12,54,49,+5,50,1.47,54.5,47.1,+7.5,+0.22,24381,Alonso Martínez - 16,Matt Freese,→ Round One 
7, NY Red Bulls,34,11,14,9,55,50,+5,47,1.38,56.5,43.7,+12.7,+0.37,20956,Lewis Morgan - 13,Carlos Coronel,→ Round One 
8, CF Montréal,34,11,10,13,48,64,-16,43,1.26,43.7,58.7,-15.0,-0.44,20593,Josef Martínez - 11,Jonathan Sirois,→ Wild Card Round 
9, Atlanta Utd,34,10,10,14,46,49,-3,40,1.18,51.4,48.9,+2.5,+0.07,50857,Saba Lobzhanidze - 9,Brad Guzan,→ Wild Card Round 
10, D.C. United,34,10,10,14,52,70,-18,40,1.18,52.9,51.3,+1.6,+0.05,18137,Christian Benteke - 23,Alex Bono,
11, Toronto FC,34,11,4,19,40,61,-21,37,1.09,38.9,48.5,-9.5,-0.28,25681,Prince Osei Owusu - 9,Sean Johnson,
12, Philadelphia Union,34,9,10,15,62,55,+7,37,1.09,59.9,51.6,+8.4,+0.25,18845,Dániel Gazdag - 17,Oliver Semmle,
13, Nashville SC,34,9,9,16,38,54,-16,36,1.06,44.8,54.1,-9.3,-0.27,28587,Sam Surridge - 12,Joe Willis,
14, NE Revolution,34,9,4,21,37,74,-37,31,0.91,36.8,62.8,-26.0,-0.76,29262,Giacomo Vrioni - 9,Aljaž Ivačič,
15, Chicago Fire,34,7,9,18,40,62,-22,30,0.88,44.0,51.8,-7.8,-0.23,21328,Hugo Cuypers - 10,Christopher Brady,
