ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
1,Liel Abada,il ISR,MFFW,Charlotte,23-212,2001,6.4,15,2.35,10,0,1,4,0,0,2,0.31,1,0,0,1,0,0,Matches
2,Luis Abram,pe PER,DF,Atlanta Utd,29-065,1996,5.8,2,0.34,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Lalas Abubakar,gh GHA,DFMF,FC Dallas,30-129,1994,1.0,2,1.98,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
4,Kellyn Acosta,us USA,MF,Chicago Fire,29-283,1995,4.3,5,1.16,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Luciano Acosta,ar ARG,MF,FC Dallas,30-337,1994,9.2,47,5.13,32,12,0,0,2,1,2,0.22,2,0,0,0,0,0,Matches
6,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-107,1995,1.7,5,2.87,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Leonardo Afonso,br BRA,FW,Inter Miami,23-294,2001,0.8,2,2.47,1,0,0,1,0,0,2,2.47,1,0,0,1,0,0,Matches
8,Stephen Afrifa,ca CAN,FWMF,Sporting KC,24-073,2001,0.1,2,22.50,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
9,William Agada,ng NGA,FW,Sporting KC,25-228,1999,1.1,2,1.82,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
10,William Agada,ng NGA,FW,Real Salt Lake,25-228,1999,0.3,1,3.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Patrick Agyemang,us USA,FW,Charlotte,24-177,2000,7.7,23,2.97,15,0,1,0,7,0,4,0.52,1,0,0,0,3,0,Matches
12,Ali Ahmed,ca CAN,FW,Vancouver W'caps,24-205,2000,5.6,32,5.75,28,0,3,0,0,1,7,1.26,7,0,0,0,0,0,Matches
13,Forster Ajago,gh GHA,FW,Real Salt Lake,23-260,2001,2.9,4,1.39,4,0,0,0,0,0,1,0.35,1,0,0,0,0,0,Matches
14,Jordi Alba,es ESP,DF,Inter Miami,36-043,1989,7.4,18,2.45,16,0,0,1,0,1,4,0.54,4,0,0,0,0,0,Matches
