ranker,player,nationality,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches
1,Liel Abada,il ISR,MFFW,Charlotte,23-212,2001,6.4,143,142,1,0,0,0,11,1,0,0,0,0,109,0,2,Matches
2,Luis Abram,pe PER,DF,Atlanta Utd,29-065,1996,5.8,324,316,8,4,0,4,3,4,0,0,0,0,283,0,0,Matches
3,Lalas Abubakar,gh GHA,DFMF,FC Dallas,30-129,1994,1.0,44,42,2,1,0,0,0,1,0,0,0,0,40,0,0,Matches
4,Kellyn Acosta,us USA,MF,Chicago Fire,29-283,1995,4.3,226,221,5,5,1,0,0,0,0,0,0,0,202,0,1,Matches
5,Luciano Acosta,ar ARG,MF,FC Dallas,30-337,1994,9.2,450,370,76,27,4,1,48,8,30,10,11,0,311,4,16,Matches
6,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-107,1995,1.7,139,130,8,0,0,0,4,8,0,0,0,0,121,1,1,Matches
7,Leonardo Afonso,br BRA,FW,Inter Miami,23-294,2001,0.8,15,14,1,0,0,0,0,0,0,0,0,0,11,0,0,Matches
8,Stephen Afrifa,ca CAN,FWMF,Sporting KC,24-073,2001,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
9,William Agada,ng NGA,FW,Sporting KC,25-228,1999,1.1,22,20,2,0,0,0,0,1,0,0,0,0,21,0,0,Matches
10,William Agada,ng NGA,FW,Real Salt Lake,25-228,1999,0.3,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
11,Patrick Agyemang,us USA,FW,Charlotte,24-177,2000,7.7,101,92,9,0,1,0,1,0,0,0,0,0,75,0,3,Matches
12,Ali Ahmed,ca CAN,FW,Vancouver W'caps,24-205,2000,5.6,268,259,9,2,1,0,18,7,0,0,0,0,218,0,17,Matches
13,Forster Ajago,gh GHA,FW,Real Salt Lake,23-260,2001,2.9,26,24,2,0,0,0,0,0,0,0,0,0,20,0,1,Matches
14,Jordi Alba,es ESP,DF,Inter Miami,36-043,1989,7.4,535,454,78,15,2,5,27,53,10,1,3,0,423,3,13,Matches
15,Noah Allen,us USA,DF,Inter Miami,21-005,2004,6.3,415,391,23,5,0,4,2,12,0,0,0,0,372,1,4,Matches
16,Tadeo Allende,ar ARG,FWMF,Inter Miami,26-072,1999,4.0,111,110,1,0,0,1,3,0,0,0,0,0,78,0,7,Matches
17,Miguel Almirón,py PAR,FWMF,Atlanta Utd,31-082,1994,8.9,385,366,16,7,2,4,14,3,6,4,0,0,305,3,11,Matches
18,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,21-278,2003,2.1,152,146,5,5,1,0,0,0,0,0,0,0,135,1,2,Matches
19,Fernando Álvarez,co COL,DF,CF Montréal,21-252,2003,3.6,252,239,12,9,0,0,1,0,0,0,0,0,217,1,1,Matches
20,Pedro Amador,pt POR,DF,Atlanta Utd,26-136,1998,5.7,293,243,49,3,0,0,17,46,0,0,0,0,247,1,1,Matches
21,Frankie Amaya,us USA,MF,LAFC,24-219,2000,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
