ranker,player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
1,Liel Abada,il ISR,MFFW,Charlotte,23-212,2001,6.4,109,143,76.2,1546,427,60,71,84.5,38,52,73.1,5,10,50.0,0,0.9,0.8,-0.9,9,9,5,1,17,Matches
2,Luis Abram,pe PER,DF,Atlanta Utd,29-065,1996,5.8,283,324,87.3,5350,2015,100,108,92.6,157,168,93.5,23,44,52.3,0,0.0,0.1,0.0,0,27,2,1,20,Matches
3,Lalas Abubakar,gh GHA,DFMF,FC Dallas,30-129,1994,1.0,40,44,90.9,790,240,9,9,100.0,26,27,96.3,4,6,66.7,0,0.0,0.0,0.0,0,4,1,0,6,Matches
4,Kellyn Acosta,us USA,MF,Chicago Fire,29-283,1995,4.3,202,226,89.4,2962,756,118,130,90.8,71,74,95.9,8,12,66.7,0,0.4,0.1,-0.4,2,18,2,0,18,Matches
5,Luciano Acosta,ar ARG,MF,FC Dallas,30-337,1994,9.2,311,450,69.1,5063,2196,161,194,83.0,112,147,76.2,28,67,41.8,0,1.6,2.7,-1.6,23,51,19,1,60,Matches
6,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-107,1995,1.7,121,139,87.1,1766,538,77,81,95.1,40,50,80.0,4,4,100.0,0,0.3,0.2,-0.3,2,11,2,0,9,Matches
7,Leonardo Afonso,br BRA,FW,Inter Miami,23-294,2001,0.8,11,15,73.3,151,8,5,7,71.4,3,5,60.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
8,Stephen Afrifa,ca CAN,FWMF,Sporting KC,24-073,2001,0.1,2,4,50.0,21,0,1,3,33.3,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
9,William Agada,ng NGA,FW,Sporting KC,25-228,1999,1.1,21,22,95.5,306,45,13,13,100.0,6,6,100.0,2,3,66.7,0,0.2,0.4,-0.2,2,0,1,0,2,Matches
10,William Agada,ng NGA,FW,Real Salt Lake,25-228,1999,0.3,5,5,100.0,68,0,2,2,100.0,2,2,100.0,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
