ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
1,Lionel Messi,ar ARG,FWMF,Inter Miami,37,$230769 (€ 202396 £ 172104),$12000000 (€ 10524590 £ 8949426),
2,Sergio Busquets,es ESP,MF,Inter Miami,36,$163461 (€ 143364 £ 121907),$8499996 (€ 7454914 £ 6339174),
3,Lorenzo Insigne,it ITA,MFFW,Toronto FC,33,$144231 (€ 126497 £ 107565),$7500000 (€ 6577869 £ 5593391),
4,Emil Forsberg,se SWE,MFFW,NY Red Bulls,33,$103942 (€ 91163 £ 77519),$5405000 (€ 4740451 £ 4030971),
5,Christian Benteke,be BEL,FW,D.C. United,34,$81731 (€ 71682 £ 60954),$4250000 (€ 3727459 £ 3169588),
6,Carles Gil,es ESP,MFFW,NE Revolution,32,$76923 (€ 67465 £ 57368),$4000000 (€ 3508197 £ 2983142),
7,Riqui Puig,es ESP,CM,LA Galaxy,25,$76923 (€ 67465 £ 57368),$4000000 (€ 3508197 £ 2983142),
8,Hany Mukhtar,de GER,MFFW,Nashville SC,29,$73077 (€ 64092 £ 54500),$3800000 (€ 3332787 £ 2833985),
9,Hugo Cuypers,be BEL,FW,Chicago Fire,27,$62269 (€ 54613 £ 46440),$3238000 (€ 2839885 £ 2414854),
10,Walker Zimmerman,us USA,DF,Nashville SC,31,$61538 (€ 53972 £ 45895),$3200000 (€ 2806557 £ 2386514),
11,Joseph Paintsil,gh GHA,FW,LA Galaxy,26,$60308 (€ 52893 £ 44977),$3136000 (€ 2750426 £ 2338783),
12,Federico Bernardeschi,it ITA,FW,Toronto FC,30,$60096 (€ 52707 £ 44819),$3125000 (€ 2740779 £ 2330580),
13,Denis Bouanga,ga GAB,FW,LAFC,30,$56154 (€ 49250 £ 41879),$2920000 (€ 2560984 £ 2177694),
14,Ryan Gauld,sct SCO,FW,Vancouver W'caps,29,$55385 (€ 48575 £ 41305),$2880000 (€ 2525902 £ 2147862),
15,Luis Muriel,co COL,FWMF,Orlando City,33,$54477 (€ 47779 £ 40628),$2832817 (€ 2484520 £ 2112674),
16,Olivier Giroud,fr FRA,FW,LAFC,38,$53846 (€ 47226 £ 40158),$2800000 (€ 2455738 £ 2088199),
17,Diego Rossi,uy URU,FWMF,Columbus Crew,26,$51442 (€ 45117 £ 38365),$2675000 (€ 2346107 £ 1994976),
18,Ezequiel Ponce,ar ARG,FW,Houston Dynamo,27,$49231 (€ 43178 £ 36716),$2560000 (€ 2245246 £ 1909211),
19,Sam Surridge,eng ENG,FW,Nashville SC,26,$48077 (€ 42166 £ 35855),$2500000 (€ 2192623 £ 1864464),
20,Aleksei Miranchuk,ru RUS,MFFW,Atlanta Utd,29,$46154 (€ 40479 £ 34421),$2400000 (€ 2104918 £ 1789885),
21,Liel Abada,il ISR,MFFW,Charlotte,23,$44231 (€ 38793 £ 32987),$2300000 (€ 2017213 £ 1715307),
22,Albert Rusnák,sk SVK,FWMF,Seattle Sounders,30,$41346 (€ 36263 £ 30835),$2150000 (€ 1885656 £ 1603439),
23,Thiago Martins,br BRA,DF,NYCFC,29,$38462 (€ 33733 £ 28684),$2000000 (€ 1754098 £ 1491571),
24,Pep Biel, ,AM,Charlotte,28,$37692 (€ 33058 £ 28110),$1960000 (€ 1719016 £ 1461740),
25,Kevin Cabral,fr FRA,FW,Colorado Rapids,25,$37500 (€ 32889 £ 27967),$1950000 (€ 1710246 £ 1454282),
26,Cristian Espinoza,ar ARG,DFFW,SJ Earthquakes,29,$35000 (€ 30697 £ 26103),$1820000 (€ 1596229 £ 1357330),
27,Petar Musa,hr CRO,FW,FC Dallas,26,$34615 (€ 30359 £ 25816),$1800000 (€ 1578689 £ 1342414),
28,Mikael Uhre,dk DEN,FW,Philadelphia Union,30,$34615 (€ 30359 £ 25816),$1800000 (€ 1578689 £ 1342414),
29,Marcel Hartel,de GER,MFFW,St. Louis,29,$34569 (€ 30319 £ 25781),$1797600 (€ 1576584 £ 1340624),
