ranker,player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
1,Liel Abada,il ISR,MFFW,Charlotte,23-212,2001,6.4,206,3,27,80,102,19,206,12,4,33.3,8,66.7,141,916,541,24,12,6,10,10,148,47,Matches
2,Luis Abram,pe PER,DF,Atlanta Utd,29-065,1996,5.8,362,22,157,184,21,4,362,0,0,,0,,217,1003,631,4,4,1,1,0,256,3,Matches
3,Lalas Abubakar,gh GHA,DFMF,FC Dallas,30-129,1994,1.0,68,13,33,32,3,0,68,0,0,,0,,26,95,82,1,1,0,3,0,33,1,Matches
4,Kellyn Acosta,us USA,MF,Chicago Fire,29-283,1995,4.3,249,8,60,154,35,4,249,1,0,0.0,1,100.0,150,527,192,3,2,1,4,5,192,4,Matches
5,Luciano Acosta,ar ARG,MF,FC Dallas,30-337,1994,9.2,565,7,58,229,287,39,564,36,12,33.3,22,61.1,282,1481,847,32,21,11,22,12,379,67,Matches
6,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-107,1995,1.7,158,5,22,86,50,4,158,1,0,0.0,1,100.0,104,520,244,6,1,0,4,0,125,18,Matches
7,Leonardo Afonso,br BRA,FW,Inter Miami,23-294,2001,0.8,30,1,1,11,18,3,30,1,0,0.0,1,100.0,17,44,23,1,0,1,6,2,21,7,Matches
8,Stephen Afrifa,ca CAN,FWMF,Sporting KC,24-073,2001,0.1,8,0,1,3,4,0,8,2,2,100.0,0,0.0,4,30,28,3,1,2,0,0,4,2,Matches
9,William Agada,ng NGA,FW,Sporting KC,25-228,1999,1.1,38,1,4,11,24,11,38,0,0,,0,,20,80,11,0,0,0,7,3,28,2,Matches
10,William Agada,ng NGA,FW,Real Salt Lake,25-228,1999,0.3,8,0,2,5,2,2,8,1,1,100.0,0,0.0,5,30,7,0,0,0,0,1,4,1,Matches
11,Patrick Agyemang,us USA,FW,Charlotte,24-177,2000,7.7,179,10,13,70,100,42,178,16,5,31.3,10,62.5,121,706,321,15,7,16,21,11,145,47,Matches
12,Ali Ahmed,ca CAN,FW,Vancouver W'caps,24-205,2000,5.6,341,4,21,108,214,47,341,15,5,33.3,9,60.0,217,1422,715,30,11,18,12,7,264,97,Matches
13,Forster Ajago,gh GHA,FW,Real Salt Lake,23-260,2001,2.9,61,4,9,26,27,9,61,5,1,20.0,4,80.0,36,130,32,1,1,2,11,4,40,15,Matches
14,Jordi Alba,es ESP,DF,Inter Miami,36-043,1989,7.4,594,31,174,235,189,22,594,8,5,62.5,3,37.5,354,1338,699,15,10,5,7,2,431,69,Matches
15,Noah Allen,us USA,DF,Inter Miami,21-005,2004,6.3,476,46,235,207,38,2,476,3,0,0.0,3,100.0,318,1803,1110,3,6,0,4,3,342,8,Matches
16,Tadeo Allende,ar ARG,FWMF,Inter Miami,26-072,1999,4.0,163,2,26,62,75,18,163,15,5,33.3,10,66.7,105,458,247,9,3,6,12,3,124,36,Matches
17,Miguel Almirón,py PAR,FWMF,Atlanta Utd,31-082,1994,8.9,470,1,41,198,235,32,469,27,19,70.4,8,29.6,343,2201,845,25,19,8,18,9,386,68,Matches
18,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,21-278,2003,2.1,171,0,16,100,56,4,171,4,2,50.0,1,25.0,115,385,210,3,2,0,1,2,134,8,Matches
19,Fernando Álvarez,co COL,DF,CF Montréal,21-252,2003,3.6,300,33,146,133,22,4,300,2,1,50.0,1,50.0,167,871,536,1,6,1,4,2,201,0,Matches
20,Pedro Amador,pt POR,DF,Atlanta Utd,26-136,1998,5.7,334,14,103,146,88,7,334,6,1,16.7,5,83.3,172,597,302,5,4,1,3,0,211,27,Matches
21,Frankie Amaya,us USA,MF,LAFC,24-219,2000,0.0,5,0,1,2,2,1,5,0,0,,0,,3,7,4,1,0,1,0,0,3,1,Matches
22,Malte Amundsen,dk DEN,DF,Columbus Crew,27-081,1998,7.2,573,27,213,291,76,5,573,10,6,60.0,4,40.0,326,1388,645,8,10,1,3,3,387,14,Matches
23,Tomas Ángel,co COL,FWMF,San Diego FC,22-072,2003,3.3,112,0,6,54,53,11,112,2,1,50.0,1,50.0,66,329,177,6,2,1,9,4,78,22,Matches
24,Iván Angulo,co COL,FWMF,Orlando City,26-042,1999,8.5,358,10,76,131,161,29,358,30,12,40.0,18,60.0,210,1499,814,26,13,14,18,12,237,67,Matches
25,Conner Antley,us USA,MF,D.C. United,30-042,1995,0.1,6,0,0,4,2,2,6,1,1,100.0,0,0.0,4,54,41,2,0,2,0,0,4,1,Matches
Rk
26,Antony,br BRA,FWMF,Portland Timbers,23-237,2001,8.9,446,18,86,193,184,27,446,50,17,34.0,32,64.0,283,1857,872,27,25,8,26,13,306,75,Matches
27,Brian Anunga,cm CMR,MF,FC Cincinnati,28-266,1996,6.0,343,12,79,219,49,1,343,3,3,100.0,0,0.0,152,617,220,2,4,0,6,1,207,1,Matches
28,Chris Applewhite,us USA,DF,Nashville SC,17-253,2007,0.2,23,7,14,9,0,0,23,0,0,,0,,9,44,15,0,0,0,0,0,13,0,Matches
29,Cristian Arango,co COL,MFFW,SJ Earthquakes,30-055,1995,9.8,412,10,34,189,191,57,410,31,8,25.8,22,71.0,244,1255,585,14,14,8,25,17,304,62,Matches
30,César Araujo,uy URU,MF,Orlando City,24-031,2001,5.0,308,11,80,193,38,5,308,2,1,50.0,1,50.0,168,561,258,0,5,0,4,3,220,7,Matches
31,Maximilian Arfsten,us USA,MFDF,Columbus Crew,24-014,2001,9.0,529,9,83,203,251,35,529,25,13,52.0,12,48.0,322,1618,849,27,11,10,9,14,384,73,Matches
32,Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-070,1995,3.7,127,9,14,40,73,24,126,3,1,33.3,2,66.7,72,232,89,4,2,3,9,3,93,30,Matches
33,Paul Arriola,us USA,FWDF,Seattle Sounders,30-087,1995,0.8,45,0,3,18,25,5,45,1,1,100.0,0,0.0,32,183,76,2,1,0,0,2,38,17,Matches
34,Artur,br BRA,MF,Houston Dynamo,29-053,1996,10.0,689,31,205,398,95,1,689,16,10,62.5,5,31.3,382,1826,753,9,9,1,7,9,470,7,Matches
35,Joshua Atencio,us USA,MF,Colorado Rapids,23-092,2002,7.7,512,17,113,307,102,7,512,4,4,100.0,0,0.0,269,1281,609,8,12,0,10,6,315,13,Matches
36,Eduard Atuesta,co COL,MF,Orlando City,27-319,1997,6.8,464,16,102,257,109,8,464,16,6,37.5,9,56.3,257,1045,500,4,7,3,14,4,339,20,Matches
37,Julián Aude,ar ARG,DFMF,LA Galaxy,22-040,2003,5.4,447,17,117,240,92,6,447,17,8,47.1,8,47.1,215,965,566,10,8,1,10,0,311,18,Matches
38,Tomás Avilés,ar ARG,DFMF,Inter Miami,21-089,2004,4.6,338,26,146,184,10,1,338,1,0,0.0,1,100.0,222,1130,656,4,1,0,4,1,247,0,Matches
39,Chidozie Awaziem,ng NGA,DF,Colorado Rapids,28-122,1997,9.7,562,77,273,270,21,14,562,3,3,100.0,0,0.0,285,1332,667,2,3,0,7,2,324,1,Matches
40,Obafemi Awodesu,us USA,DF,Houston Dynamo,24-028,2001,10.0,732,111,473,252,11,4,732,4,4,100.0,0,0.0,416,1974,1063,0,0,0,3,2,499,1,Matches
41,David Ayala,ar ARG,MF,Portland Timbers,22-281,2002,8.7,605,29,163,363,85,13,605,9,5,55.6,2,22.2,370,1376,560,1,5,0,7,6,423,5,Matches
42,Dominique Badji,sn SEN,FWMF,D.C. United,32-199,1992,3.2,116,2,4,42,71,11,116,3,1,33.3,1,33.3,66,331,128,6,3,2,7,4,91,25,Matches
43,Jeevan Badwal,ca CAN,MFFW,Vancouver W'caps,19-053,2006,1.4,70,2,12,37,21,3,70,5,3,60.0,2,40.0,39,168,77,3,3,0,4,0,44,7,Matches
44,Corey Baird,us USA,MFFW,FC Cincinnati,29-093,1996,3.2,156,4,16,72,68,16,156,2,0,0.0,2,100.0,86,445,238,12,7,4,3,3,111,22,Matches
45,Cody Baker,us USA,MF,Seattle Sounders,21-116,2004,0.2,12,1,3,5,4,0,12,0,0,,0,,1,1,0,0,0,0,0,0,5,0,Matches
46,Reed Baker-Whiting,us USA,FWMF,Seattle Sounders,20-033,2005,0.3,15,2,3,4,8,1,15,1,1,100.0,0,0.0,8,26,6,0,0,0,2,0,8,2,Matches
47,Monsef Bakrar,dz ALG,FWMF,NYCFC,24-110,2001,3.1,126,8,22,47,60,12,126,9,2,22.2,7,77.8,54,239,91,3,2,1,13,4,75,24,Matches
48,Jonathan Bamba,ci CIV,FW,Chicago Fire,29-038,1996,9.1,423,6,61,194,179,41,423,26,7,26.9,18,69.2,297,1934,1031,40,19,16,24,18,328,70,Matches
49,Fidel Barajas,mx MEX,FW,D.C. United,19-028,2006,0.2,18,0,0,4,14,1,18,1,0,0.0,1,100.0,12,52,11,0,0,0,1,2,15,7,Matches
50,Jesús Barea,es ESP,FW,Real Salt Lake,23-005,2002,2.0,78,1,2,38,38,8,78,4,2,50.0,2,50.0,45,217,75,1,1,0,14,10,55,10,Matches
Rk
