rank,team,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90
1, FC Cincinnati,5,4,1,0,8,3,+5,13,2.60,7.2,4.3,+2.9,+0.59,5,3,0,2,7,9,-2,9,1.80,5.5,9.8,-4.4,-0.87
2, Columbus Crew,6,3,2,1,8,5,+3,11,1.83,10.9,6.0,+4.9,+0.82,4,3,1,0,6,3,+3,10,2.50,4.6,5.7,-1.1,-0.28
3, Philadelphia Union,6,4,1,1,12,4,+8,13,2.17,10.6,5.1,+5.5,+0.92,4,2,0,2,7,5,+2,6,1.50,6.5,6.1,+0.4,+0.09
4, Charlotte,6,5,0,1,13,3,+10,15,2.50,13.2,6.6,+6.5,+1.09,4,1,1,2,3,5,-2,4,1.00,2.3,7.0,-4.7,-1.16
5, Inter Miami,5,2,2,1,9,8,+1,8,1.60,9.5,7.2,+2.3,+0.46,4,3,1,0,7,2,+5,10,2.50,5.3,5.9,-0.6,-0.15
6, Nashville SC,6,4,1,1,15,5,+10,13,2.17,15.1,4.5,+10.7,+1.78,4,1,0,3,4,8,-4,3,0.75,4.9,7.9,-3.1,-0.77
7, Orlando City,5,3,1,1,13,7,+6,10,2.00,10.8,4.6,+6.2,+1.23,5,1,3,1,5,5,0,6,1.20,5.8,9.1,-3.3,-0.66
8, NY Red Bulls,6,4,1,1,10,6,+4,13,2.17,10.4,6.1,+4.2,+0.70,4,0,2,2,1,3,-2,2,0.50,3.6,6.6,-3.0,-0.76
9, NYCFC,4,3,0,1,6,4,+2,9,2.25,7.6,5.2,+2.5,+0.62,6,1,2,3,6,9,-3,5,0.83,5.7,8.6,-3.0,-0.50
10, NE Revolution,4,2,0,2,4,4,0,6,1.50,4.1,4.0,+0.1,+0.02,5,2,1,2,3,3,0,7,1.40,3.8,8.3,-4.5,-0.90
11, Chicago Fire,4,0,3,1,5,6,-1,3,0.75,6.6,6.6,-0.1,-0.01,6,3,0,3,13,16,-3,9,1.50,9.1,11.9,-2.8,-0.47
12, Atlanta Utd,6,2,2,2,9,9,0,8,1.33,9.4,9.0,+0.4,+0.07,4,0,1,3,2,10,-8,1,0.25,4.1,5.9,-1.9,-0.46
13, D.C. United,5,1,2,2,5,6,-1,5,1.00,6.2,5.1,+1.1,+0.21,5,1,1,3,6,16,-10,4,0.80,7.5,11.1,-3.5,-0.71
14, Toronto FC,4,0,2,2,1,3,-2,2,0.50,3.1,4.4,-1.3,-0.32,6,1,2,3,7,11,-4,5,0.83,4.7,9.2,-4.6,-0.76
15, CF Montréal,2,0,1,1,0,1,-1,1,0.50,2.6,0.9,+1.7,+0.85,8,0,2,6,4,13,-9,2,0.25,7.7,11.2,-3.6,-0.45
