rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,last_5,attendance_per_g,top_team_scorers,top_keeper,notes
1, FC Cincinnati,10,7,1,2,15,12,+3,22,2.20,12.7,14.1,-1.4,-0.14,W W W W W,22985,Evander Kévin Denkey - 6,Roman Celentano,
2, Columbus Crew,10,6,3,1,14,8,+6,21,2.10,15.4,11.6,+3.8,+0.38,W W W L W,33861,Diego Rossi - 5,Patrick Schulte,
3, Philadelphia Union,10,6,1,3,19,9,+10,19,1.90,17.0,11.2,+5.9,+0.59,L D L W W,18639,Tai Baribo - 7,Andre Blake,
4, Charlotte,10,6,1,3,16,8,+8,19,1.90,15.5,13.6,+1.9,+0.19,L W W W L,36014,Pep Biel - 3,Kristijan Kahlina,
5, Inter Miami,9,5,3,1,16,10,+6,18,2.00,14.8,13.1,+1.7,+0.19,W D D W L,20677,Lionel Messi Telasco Segovia - 3,Óscar Ustari,
6, Nashville SC,10,5,1,4,19,13,+6,16,1.60,20.0,12.4,+7.6,+0.76,L L W L W,23963,Sam Surridge - 6,Joe Willis,
7, Orlando City,10,4,4,2,18,12,+6,16,1.60,16.6,13.7,+2.9,+0.29,W D D D W,20061,Marco Pašalić - 5,Pedro Gallese,
8, NY Red Bulls,10,4,3,3,11,9,+2,15,1.50,13.9,12.7,+1.2,+0.12,L W D L W,18478,Eric Maxim Choupo-Moting - 4,Carlos Coronel,
9, NYCFC,10,4,2,4,12,13,-1,14,1.40,13.3,13.8,-0.5,-0.05,L L W L W,25846,Alonso Martínez - 6,Matt Freese,
10, NE Revolution,9,4,1,4,7,7,0,13,1.44,7.9,12.3,-4.4,-0.49,W L W W W,15596,Carles Gil - 4,Aljaž Ivačič,
11, Chicago Fire,10,3,3,4,18,22,-4,12,1.20,15.7,18.5,-2.9,-0.29,D L D L L,62358,Hugo Cuypers - 7,Christopher Brady,
12, Atlanta Utd,10,2,3,5,11,19,-8,9,0.90,13.5,14.9,-1.4,-0.14,W D L L L,42361,Emmanuel Latte Lath - 5,Brad Guzan,
13, D.C. United,10,2,3,5,11,22,-11,9,0.90,13.7,16.2,-2.5,-0.25,L L L W L,16394,Christian Benteke - 5,Kim Joonhong,
14, Toronto FC,10,1,4,5,8,14,-6,7,0.70,7.7,13.6,-5.9,-0.59,D D D W L,22149,Federico Bernardeschi Deandre Kerr - 2,Sean Johnson,
15, CF Montréal,10,0,3,7,4,14,-10,3,0.30,10.3,12.2,-1.9,-0.19,D L L D L,,Prince Osei Owusu - 2,Jonathan Sirois,
