rank,team,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90
1, Vancouver W'caps,5,4,0,1,12,5,+7,12,2.40,11.1,5.2,+5.9,+1.18,5,3,2,0,8,2,+6,11,2.20,7.4,3.9,+3.6,+0.71
2, Portland Timbers,5,2,2,1,9,9,0,8,1.60,6.8,7.7,-0.9,-0.19,5,3,1,1,11,6,+5,10,2.00,6.0,8.9,-2.8,-0.57
3, Austin,5,3,1,1,4,2,+2,10,2.00,8.6,3.6,+5.0,+0.99,5,2,0,3,3,8,-5,6,1.20,4.2,7.5,-3.3,-0.67
4, Minnesota Utd,5,2,2,1,6,5,+1,8,1.60,8.8,4.4,+4.4,+0.89,5,2,2,1,6,5,+1,8,1.60,7.7,6.3,+1.4,+0.28
5, Colorado Rapids,5,2,2,1,9,9,0,8,1.60,9.6,7.1,+2.5,+0.51,5,2,2,1,5,5,0,8,1.60,5.7,8.5,-2.8,-0.55
6, FC Dallas,4,1,0,3,3,6,-3,3,0.75,3.8,5.1,-1.2,-0.31,6,3,3,0,11,8,+3,12,2.00,9.9,7.8,+2.0,+0.34
7, San Diego FC,5,2,2,1,8,6,+2,8,1.60,8.7,5.5,+3.2,+0.63,5,2,0,3,8,9,-1,6,1.20,7.5,11.9,-4.4,-0.89
8, LAFC,5,3,1,1,6,4,+2,10,2.00,7.4,5.8,+1.6,+0.32,5,1,1,3,9,12,-3,4,0.80,7.8,8.0,-0.1,-0.03
9, Seattle Sounders,4,2,2,0,10,4,+6,8,2.00,6.8,3.0,+3.7,+0.93,6,1,2,3,3,8,-5,5,0.83,8.2,6.7,+1.5,+0.25
10, Real Salt Lake,5,2,0,3,5,5,0,6,1.20,6.4,6.2,+0.3,+0.05,5,2,0,3,6,10,-4,6,1.20,6.7,11.4,-4.7,-0.94
11, SJ Earthquakes,6,2,1,3,15,10,+5,7,1.17,14.4,11.9,+2.5,+0.41,4,1,0,3,5,9,-4,3,0.75,8.6,8.0,+0.6,+0.14
12, St. Louis,5,1,2,2,2,3,-1,5,1.00,7.1,4.8,+2.3,+0.47,5,1,2,2,5,5,0,5,1.00,4.7,9.0,-4.3,-0.85
13, Houston Dynamo,6,2,1,3,8,10,-2,7,1.17,6.2,9.0,-2.8,-0.46,4,0,3,1,2,4,-2,3,0.75,3.0,4.5,-1.6,-0.39
14, Sporting KC,5,1,1,3,8,11,-3,4,0.80,6.6,7.4,-0.8,-0.17,5,1,0,4,8,10,-2,3,0.60,4.2,9.1,-4.8,-0.96
15, LA Galaxy,5,0,1,4,4,12,-8,1,0.20,6.6,9.6,-3.0,-0.60,5,0,2,3,4,8,-4,2,0.40,3.2,10.1,-6.9,-1.38
