rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,last_5,attendance_per_g,top_team_scorers,top_keeper,notes
1, Vancouver W'caps,10,7,2,1,20,7,+13,23,2.30,18.5,9.0,+9.5,+0.95,D W W D W,20328,Brian White - 6,Yohei Takaoka,
2, Portland Timbers,10,5,3,2,20,15,+5,18,1.80,12.8,16.6,-3.8,-0.38,W D W D W,,Felipe Mora Antony... - 4,James Pantemis,
3, Austin,10,5,1,4,7,10,-3,16,1.60,12.8,11.2,+1.6,+0.16,W D L W L,20738,Brandon Vazquez - 2,Brad Stuver,
4, Minnesota Utd,10,4,4,2,12,10,+2,16,1.60,16.5,10.7,+5.8,+0.58,W W D D L,18676,Tani Oluwaseyi - 5,Dayne St. Clair,
5, Colorado Rapids,10,4,4,2,14,14,0,16,1.60,15.3,15.5,-0.2,-0.02,W L W D D,15552,Djordje Mihailovic Rafael Navarro - 5,Zack Steffen,
6, FC Dallas,10,4,3,3,14,14,0,15,1.50,13.7,12.9,+0.8,+0.08,W D L D W,11004,Luciano Acosta Petar Musa - 3,Maarten Paes,
7, San Diego FC,10,4,2,4,16,15,+1,14,1.40,16.2,17.4,-1.3,-0.13,W W L L L,28116,Anders Dreyer - 3,C.J. dos Santos,
8, LAFC,10,4,2,4,15,16,-1,14,1.40,15.3,13.8,+1.5,+0.15,L L W D D,22211,Denis Bouanga - 4,Hugo Lloris,
9, Seattle Sounders,10,3,4,3,13,12,+1,13,1.30,15.0,9.8,+5.2,+0.52,D L W W D,30987,Jordan Morris Daniel Musovski - 3,Stefan Frei,
10, Real Salt Lake,10,4,0,6,11,15,-4,12,1.20,13.1,17.6,-4.4,-0.44,L W L L W,19331,Diego Luna - 5,Rafael Cabral,
11, SJ Earthquakes,10,3,1,6,20,19,+1,10,1.00,23.0,19.9,+3.0,+0.30,D W L L L,,Josef Martínez Cristian Arango - 6,Daniel,
12, St. Louis,10,2,4,4,7,8,-1,10,1.00,11.8,13.8,-1.9,-0.19,L L L D D,20647,Cedric Teuchert - 2,Benjamin Lundt,
13, Houston Dynamo,10,2,4,4,10,14,-4,10,1.00,9.2,13.5,-4.4,-0.44,L W D D W,18037,Ezequiel Ponce - 3,Andrew Tarbell,
14, Sporting KC,10,2,1,7,16,21,-5,7,0.70,10.8,16.5,-5.7,-0.57,L W L W L,15065,Dejan Joveljić - 5,John Pulskamp,
15, LA Galaxy,10,0,3,7,8,20,-12,3,0.30,9.7,19.6,-9.9,-0.99,L L D L L,,Christian Ramirez - 4,John McCarthy,
