ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
1,Liel Abada,il ISR,MFFW,Charlotte,23-212,2001,6.4,2,17,6,35.3,2.66,0.94,0.12,0.33,17.0,0,0,0,3.0,3.0,0.18,-1.0,-1.0,Matches
2,Luis Abram,pe PER,DF,Atlanta Utd,29-065,1996,5.8,0,1,0,0.0,0.17,0.00,0.00,,6.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
3,Lalas Abubakar,gh GHA,DFMF,FC Dallas,30-129,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,Kellyn Acosta,us USA,MF,Chicago Fire,29-283,1995,4.3,0,1,1,100.0,0.23,0.23,0.00,0.00,19.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
5,Luciano Acosta,ar ARG,MF,FC Dallas,30-337,1994,9.2,3,13,6,46.2,1.42,0.65,0.23,0.50,19.5,2,0,1,2.8,2.0,0.15,+0.2,+1.0,Matches
6,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-107,1995,1.7,2,4,2,50.0,2.29,1.15,0.50,1.00,12.1,0,0,0,1.3,1.3,0.33,+0.7,+0.7,Matches
7,Leonardo Afonso,br BRA,FW,Inter Miami,23-294,2001,0.8,0,1,1,100.0,1.23,1.23,0.00,0.00,9.2,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches
8,Stephen Afrifa,ca CAN,FWMF,Sporting KC,24-073,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
9,William Agada,ng NGA,FW,Sporting KC,25-228,1999,1.1,0,6,0,0.0,5.45,0.00,0.00,,14.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
10,William Agada,ng NGA,FW,Real Salt Lake,25-228,1999,0.3,0,1,0,0.0,3.75,0.00,0.00,,15.5,0,0,0,0.3,0.3,0.29,-0.3,-0.3,Matches
11,Patrick Agyemang,us USA,FW,Charlotte,24-177,2000,7.7,2,16,6,37.5,2.07,0.78,0.06,0.17,16.8,0,1,1,1.9,1.1,0.07,+0.1,-0.1,Matches
12,Ali Ahmed,ca CAN,FW,Vancouver W'caps,24-205,2000,5.6,0,13,3,23.1,2.33,0.54,0.00,0.00,15.7,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
13,Forster Ajago,gh GHA,FW,Real Salt Lake,23-260,2001,2.9,1,4,3,75.0,1.39,1.04,0.25,0.33,18.6,0,0,0,0.6,0.6,0.16,+0.4,+0.4,Matches
14,Jordi Alba,es ESP,DF,Inter Miami,36-043,1989,7.4,0,5,1,20.0,0.68,0.14,0.00,0.00,22.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
15,Noah Allen,us USA,DF,Inter Miami,21-005,2004,6.3,0,1,1,100.0,0.16,0.16,0.00,0.00,24.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
16,Tadeo Allende,ar ARG,FWMF,Inter Miami,26-072,1999,4.0,2,9,5,55.6,2.27,1.26,0.22,0.40,17.8,1,0,0,1.0,1.0,0.11,+1.0,+1.0,Matches
