team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
vs Atlanta Utd,24,10.0,122,74,44,70,8,66,146,45.2,80,87,32,55,88,210,260,5
vs Austin,19,10.0,124,80,52,44,28,68,134,50.7,66,83,24,59,50,174,237,7
vs CF Montréal,28,10.0,145,91,77,44,24,58,128,45.3,70,101,24,77,82,227,314,3
vs Charlotte,19,10.0,176,117,81,71,24,98,172,57.0,74,72,20,52,89,265,213,7
vs Chicago Fire,24,10.0,196,121,80,76,40,93,151,61.6,58,132,32,100,90,286,199,7
vs Colorado Rapids,27,10.0,161,99,82,58,21,58,119,48.7,61,112,40,72,91,252,279,5
vs Columbus Crew,22,10.0,181,100,100,63,18,94,169,55.6,75,144,39,105,120,301,221,8
vs D.C. United,23,10.0,165,97,87,53,25,68,124,54.8,56,105,28,77,96,261,372,3
vs FC Cincinnati,23,10.0,191,113,91,70,30,88,171,51.5,83,122,36,86,126,317,230,8
vs FC Dallas,22,10.0,161,78,86,48,27,83,159,52.2,76,98,27,71,117,278,208,3
vs Houston Dynamo,23,10.0,128,88,53,49,26,52,119,43.7,67,98,21,77,80,208,221,3
vs Inter Miami,25,9.0,156,87,64,68,24,82,151,54.3,69,88,22,66,78,234,177,13
vs LA Galaxy,24,10.0,140,81,65,53,22,78,139,56.1,61,106,38,68,62,202,205,0
vs LAFC,24,10.0,187,119,93,69,25,104,200,52.0,96,115,30,85,72,259,251,7
vs Minnesota Utd,23,10.0,169,117,70,64,35,76,149,51.0,73,114,35,79,74,243,353,5
vs Nashville SC,21,10.0,173,109,76,76,21,83,152,54.6,69,129,37,92,99,272,266,7
vs NE Revolution,21,9.0,127,80,59,57,11,66,140,47.1,74,95,25,70,65,192,250,2
vs NY Red Bulls,24,10.0,168,115,79,70,19,65,130,50.0,65,109,23,86,80,248,252,4
vs NYCFC,20,10.0,184,105,86,75,23,99,148,66.9,49,146,30,116,103,287,289,7
vs Orlando City,23,10.0,162,106,73,70,19,92,176,52.3,84,95,29,66,67,229,206,5
vs Philadelphia Union,22,10.0,155,86,63,73,19,66,131,50.4,65,158,47,111,96,251,353,5
vs Portland Timbers,22,10.0,163,105,71,67,25,97,177,54.8,80,106,24,82,91,254,209,7
vs Real Salt Lake,24,10.0,152,88,64,66,22,67,136,49.3,69,83,28,55,97,249,242,5
vs San Diego FC,23,10.0,135,90,71,48,16,64,131,48.9,67,127,43,84,96,231,233,4
vs Seattle Sounders,24,10.0,154,86,83,56,15,77,150,51.3,73,122,45,77,109,263,254,5
vs SJ Earthquakes,25,10.0,173,102,78,74,21,77,146,52.7,69,139,51,88,94,267,306,4
vs Sporting KC,22,10.0,151,83,74,59,18,74,131,56.5,57,102,21,81,97,248,292,1
vs St. Louis,21,10.0,160,78,67,66,27,72,121,59.5,49,110,31,79,83,243,246,4
vs Toronto FC,25,10.0,154,101,70,58,26,78,148,52.7,70,107,24,83,91,245,222,6
vs Vancouver W'caps,25,10.0,167,102,87,58,22,83,152,54.6,69,121,43,78,82,249,269,6
