team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Atlanta Utd,24,10.0,144,87,68,63,13,51,110,46.4,59,91,23,68,89,233,180,11
Austin,19,10.0,146,75,92,38,16,62,126,49.2,64,120,40,80,79,225,280,5
CF Montréal,28,10.0,159,101,56,79,24,69,129,53.5,60,85,22,63,79,238,234,11
Charlotte,19,10.0,123,84,57,51,15,65,140,46.4,75,113,48,65,69,192,244,4
Chicago Fire,24,10.0,134,69,67,46,21,67,133,50.4,66,118,27,91,103,237,247,12
Colorado Rapids,27,10.0,143,79,54,67,22,62,131,47.3,69,136,42,94,117,260,240,1
Columbus Crew,22,10.0,130,75,48,57,25,54,109,49.5,55,105,22,83,81,211,186,4
D.C. United,23,10.0,177,114,79,66,32,111,175,63.4,64,98,25,73,96,273,253,7
FC Cincinnati,23,10.0,164,103,79,61,24,83,148,56.1,65,130,46,84,75,239,306,5
FC Dallas,22,10.0,175,120,87,60,28,73,162,45.1,89,102,37,65,84,259,334,1
Houston Dynamo,23,10.0,153,95,87,51,15,78,139,56.1,61,86,16,70,91,244,245,6
Inter Miami,25,9.0,176,106,91,69,16,96,155,61.9,59,105,28,77,76,252,171,6
LA Galaxy,24,10.0,129,80,58,53,18,70,140,50.0,70,106,30,76,62,191,206,10
LAFC,24,10.0,165,105,77,65,23,91,160,56.9,69,136,40,96,83,248,251,5
Minnesota Utd,23,10.0,185,111,104,48,33,101,183,55.2,82,127,38,89,100,285,341,2
Nashville SC,21,10.0,158,93,72,65,21,69,156,44.2,87,109,25,84,101,259,225,3
NE Revolution,21,9.0,159,92,77,65,17,66,143,46.2,77,123,40,83,93,252,311,3
NY Red Bulls,24,10.0,183,129,70,86,27,96,183,52.5,87,111,23,88,89,272,281,1
NYCFC,20,10.0,170,95,70,81,19,100,196,51.0,96,132,43,89,97,267,300,5
Orlando City,23,10.0,157,102,86,51,20,66,131,50.4,65,122,34,88,65,222,298,3
Philadelphia Union,22,10.0,184,123,74,84,26,85,162,52.5,77,128,22,106,112,296,283,7
Portland Timbers,22,10.0,141,87,74,47,20,66,137,48.2,71,126,39,87,80,221,308,6
Real Salt Lake,24,10.0,142,89,68,57,17,61,126,48.4,65,107,34,73,84,226,226,4
San Diego FC,23,10.0,152,86,69,53,30,72,129,55.8,57,72,20,52,83,235,152,8
Seattle Sounders,24,10.0,164,104,63,66,35,83,145,57.2,62,98,26,72,99,263,205,8
SJ Earthquakes,25,10.0,170,96,66,80,24,97,170,57.1,73,114,31,83,117,287,273,6
Sporting KC,22,10.0,188,115,82,75,31,82,151,54.3,69,94,25,69,96,284,216,3
St. Louis,21,10.0,137,73,79,48,10,71,122,58.2,51,126,48,78,79,216,296,1
Toronto FC,25,10.0,199,106,95,78,26,101,177,57.1,76,99,28,71,88,287,280,5
Vancouver W'caps,25,10.0,173,104,77,63,33,78,132,59.1,54,107,27,80,98,271,257,3
