team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
vs Atlanta Utd,1,10.0,11,1,0,1,2,13.1,0.31,+4.1,+0.41,30,95,31.6,216,38,26.4,30.3,76,50.0,41.5,145,5,3.4,4,0.40,11.2
vs Austin,1,10.0,7,0,0,2,0,10.5,0.30,+3.5,+0.35,34,94,36.2,260,30,23.8,29.4,82,39.0,37.0,153,5,3.3,11,1.10,15.3
vs CF Montréal,2,10.0,4,0,0,1,0,9.0,0.29,+5.0,+0.50,65,155,41.9,276,39,39.5,36.0,78,59.0,41.8,175,7,4.0,25,2.50,18.0
vs Charlotte,1,10.0,16,2,0,1,1,15.4,0.33,+0.4,+0.04,36,91,39.6,236,35,24.6,30.5,82,40.2,36.0,107,2,1.9,13,1.30,17.1
vs Chicago Fire,1,10.0,18,2,0,3,0,17.9,0.33,-0.1,-0.01,29,103,28.2,290,51,29.0,30.3,55,34.5,30.0,90,6,6.7,8,0.80,14.8
vs Colorado Rapids,3,10.0,14,3,1,1,0,11.5,0.31,-2.5,-0.25,34,94,36.2,246,40,24.4,30.7,78,43.6,37.9,114,9,7.9,15,1.50,14.8
vs Columbus Crew,2,10.0,14,0,0,0,1,12.9,0.31,-0.1,-0.01,55,119,46.2,275,42,35.3,34.7,61,36.1,29.5,98,3,3.1,7,0.70,16.1
vs D.C. United,2,10.0,11,1,0,1,0,15.0,0.31,+4.0,+0.40,34,101,33.7,237,54,35.0,33.5,70,25.7,26.3,157,11,7.0,9,0.90,12.0
vs FC Cincinnati,1,10.0,15,2,2,1,0,13.1,0.23,-1.9,-0.19,38,119,31.9,273,40,32.6,33.7,66,45.5,37.5,97,2,2.1,18,1.80,16.3
vs FC Dallas,2,10.0,14,0,0,0,0,16.1,0.41,+2.1,+0.21,36,116,31.0,250,44,36.8,34.1,66,36.4,36.5,92,6,6.5,16,1.60,18.1
vs Houston Dynamo,4,10.0,10,0,0,0,0,11.3,0.39,+1.3,+0.13,31,100,31.0,239,30,33.5,33.4,61,32.8,31.2,142,7,4.9,10,1.00,15.6
vs Inter Miami,3,9.0,16,0,0,2,0,14.0,0.34,-2.0,-0.22,28,67,41.8,206,40,23.8,28.8,53,34.0,33.7,73,3,4.1,12,1.33,16.0
vs LA Galaxy,2,10.0,8,0,1,0,0,10.9,0.33,+2.9,+0.29,40,106,37.7,261,39,31.8,32.8,72,31.9,30.0,108,7,6.5,12,1.20,13.5
vs LAFC,2,10.0,15,1,1,1,0,15.3,0.30,+0.3,+0.03,36,130,27.7,236,38,39.8,35.5,73,49.3,38.6,122,5,4.1,9,0.90,12.3
vs Minnesota Utd,2,10.0,12,1,0,0,0,15.7,0.30,+3.7,+0.37,30,89,33.7,215,59,26.0,31.4,64,51.6,42.4,119,6,5.0,14,1.40,16.1
