team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Atlanta Utd,1,10.0,19,3,1,2,0,16.2,0.27,-2.8,-0.28,48,123,39.0,288,48,30.9,33.0,75,45.3,38.5,96,3,3.1,16,1.60,17.5
Austin,1,10.0,10,0,1,1,0,10.4,0.24,+0.4,+0.04,56,150,37.3,280,33,38.2,33.4,71,60.6,43.4,167,14,8.4,9,0.90,11.3
CF Montréal,2,10.0,14,0,0,4,0,16.4,0.31,+2.4,+0.24,33,86,38.4,324,51,21.3,32.1,66,25.8,24.2,93,10,10.8,9,0.90,12.9
Charlotte,1,10.0,8,2,0,0,0,11.0,0.21,+3.0,+0.30,36,93,38.7,265,52,23.0,28.0,73,43.8,35.8,151,6,4.0,9,0.90,14.2
Chicago Fire,1,10.0,22,3,0,2,1,20.4,0.32,-0.6,-0.06,14,55,25.5,245,53,17.1,25.6,69,18.8,23.5,116,4,3.4,14,1.40,15.5
Colorado Rapids,3,10.0,14,0,0,1,1,16.7,0.35,+3.7,+0.37,54,188,28.7,243,47,56.8,41.2,83,60.2,48.2,142,6,4.2,7,0.70,14.5
Columbus Crew,2,10.0,8,0,0,1,0,10.6,0.33,+2.6,+0.26,29,90,32.2,337,50,21.4,20.1,62,29.0,29.5,90,2,2.2,16,1.60,14.0
D.C. United,2,10.0,22,2,0,4,0,18.6,0.34,-3.4,-0.34,73,181,40.3,245,36,52.2,40.3,77,68.8,51.3,121,7,5.8,21,2.10,19.0
FC Cincinnati,1,10.0,12,1,0,0,1,11.4,0.25,+0.4,+0.04,31,89,34.8,234,62,29.5,30.8,67,29.9,31.3,149,9,6.0,6,0.60,10.6
FC Dallas,2,10.0,14,2,0,1,0,13.9,0.30,-0.1,-0.01,55,117,47.0,219,31,38.8,33.8,78,41.0,34.0,160,3,1.9,8,0.80,14.8
Houston Dynamo,4,10.0,14,1,1,0,0,14.6,0.35,+0.6,+0.06,35,115,30.4,240,47,35.0,33.3,64,48.4,38.5,112,4,3.6,10,1.00,14.5
Inter Miami,3,9.0,10,0,0,0,0,11.1,0.28,+1.1,+0.12,33,70,47.1,281,49,18.5,27.1,56,32.1,29.8,103,2,1.9,21,2.34,21.5
LA Galaxy,2,10.0,20,3,1,2,0,19.9,0.34,-0.1,-0.01,24,112,21.4,255,45,37.3,35.3,65,26.2,28.8,130,9,6.9,6,0.60,9.6
LAFC,2,10.0,16,1,0,2,1,12.7,0.32,-2.3,-0.23,45,115,39.1,223,40,38.6,35.6,66,43.9,35.7,135,6,4.4,9,0.90,14.5
Minnesota Utd,2,10.0,10,0,0,0,1,10.9,0.32,+1.9,+0.19,54,172,31.4,223,25,63.7,43.1,72,41.7,37.2,158,4,2.5,5,0.50,11.7
Nashville SC,1,10.0,13,2,1,2,0,13.8,0.26,+0.8,+0.08,40,84,47.6,286,60,25.9,28.8,64,15.6,22.0,116,10,8.6,7,0.70,11.9
NE Revolution,1,9.0,7,0,0,2,0,10.0,0.29,+3.0,+0.33,31,122,25.4,159,17,44.7,37.2,79,64.6,48.7,140,0,0.0,7,0.78,14.2
NY Red Bulls,2,10.0,9,1,1,0,0,13.6,0.29,+4.6,+0.46,31,132,23.5,261,51,39.8,32.9,56,50.0,41.5,109,6,5.5,22,2.20,18.0
NYCFC,1,10.0,13,0,0,2,2,10.8,0.24,-0.2,-0.02,19,73,26.0,240,68,22.1,27.2,77,26.0,25.3,142,9,6.3,7,0.70,14.2
Orlando City,2,10.0,12,1,0,1,0,14.5,0.32,+2.5,+0.25,52,113,46.0,168,29,45.8,36.4,77,46.8,34.6,170,10,5.9,5,0.50,11.6
Philadelphia Union,2,10.0,9,1,0,1,0,9.1,0.26,+0.1,+0.01,47,110,42.7,202,33,38.1,32.6,65,50.8,40.6,109,5,4.6,16,1.60,19.2
Portland Timbers,2,10.0,15,2,2,0,0,16.2,0.23,+1.2,+0.12,54,130,41.5,308,36,32.1,38.0,84,36.9,34.4,157,5,3.2,10,1.00,9.0
Real Salt Lake,1,10.0,15,2,0,2,0,17.8,0.36,+2.8,+0.28,39,102,38.2,352,35,22.4,28.9,82,28.0,30.5,101,2,2.0,19,1.90,19.0
San Diego FC,1,10.0,15,3,0,1,0,16.1,0.29,+1.1,+0.11,10,32,31.3,270,35,10.0,21.3,59,8.5,19.9,71,3,4.2,8,0.80,14.8
Seattle Sounders,2,10.0,12,0,2,3,2,8.6,0.29,-1.4,-0.14,27,109,24.8,209,30,42.6,37.2,74,27.0,31.3,101,8,7.9,9,0.90,15.0
SJ Earthquakes,2,10.0,19,1,0,1,0,19.4,0.33,+0.4,+0.04,38,115,33.0,230,46,41.3,34.1,63,31.7,33.1,125,7,5.6,19,1.90,18.0
Sporting KC,1,10.0,21,2,0,4,1,19.1,0.38,-0.9,-0.09,35,167,21.0,221,32,51.1,38.3,74,73.0,54.5,105,6,5.7,10,1.00,13.8
St. Louis,2,10.0,8,0,0,1,0,12.0,0.27,+4.0,+0.40,59,137,43.1,251,51,39.0,39.6,81,48.1,41.5,150,8,5.3,8,0.80,12.8
Toronto FC,1,10.0,14,3,1,0,0,14.4,0.26,+0.4,+0.04,35,129,27.1,219,39,41.6,36.1,85,44.7,38.9,134,5,3.7,5,0.50,11.6
Vancouver W'caps,1,10.0,7,0,0,0,0,7.9,0.34,+0.9,+0.09,31,93,33.3,277,32,23.8,30.2,53,50.9,44.7,126,7,5.6,20,2.00,16.4
