team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
vs Atlanta Utd,1,10,10,900,10.0,11,1.10,40,31,75.0,5,3,2,5,50.0,1,1,0,0,0.0
vs Austin,1,10,10,900,10.0,7,0.70,33,25,78.8,4,1,5,4,40.0,1,0,1,0,100.0
vs CF Montréal,2,10,10,900,10.0,4,0.40,33,29,87.9,7,3,0,7,70.0,0,0,0,0,
vs Charlotte,1,10,10,897,10.0,16,1.61,43,28,67.4,3,1,6,3,30.0,2,2,0,0,0.0
vs Chicago Fire,1,10,10,900,10.0,18,1.80,50,32,68.0,4,3,3,1,10.0,2,2,0,0,0.0
vs Colorado Rapids,3,10,10,900,10.0,14,1.40,32,18,65.6,2,4,4,3,30.0,3,3,0,0,0.0
vs Columbus Crew,2,10,10,900,10.0,14,1.40,42,29,66.7,1,3,6,3,30.0,0,0,0,0,
vs D.C. United,2,10,10,900,10.0,11,1.10,48,37,79.2,5,3,2,3,30.0,2,1,0,1,0.0
vs FC Cincinnati,1,10,10,900,10.0,15,1.50,54,39,75.9,2,1,7,1,10.0,2,2,0,0,0.0
vs FC Dallas,2,10,10,900,10.0,14,1.40,36,20,61.1,3,3,4,3,30.0,2,0,2,0,100.0
vs Houston Dynamo,4,10,10,900,10.0,10,1.00,29,19,65.5,4,4,2,2,20.0,0,0,0,0,
vs Inter Miami,3,9,9,810,9.0,16,1.78,42,26,61.9,1,3,5,1,11.1,0,0,0,0,
vs LA Galaxy,2,10,10,900,10.0,8,0.80,34,26,76.5,7,3,0,4,40.0,0,0,0,0,
vs LAFC,2,10,10,900,10.0,15,1.50,48,32,70.8,4,2,4,2,20.0,2,1,1,0,50.0
vs Minnesota Utd,2,10,10,900,10.0,12,1.20,50,38,78.0,2,4,4,3,30.0,1,1,0,0,0.0
vs Nashville SC,1,10,10,900,10.0,19,1.90,69,47,78.3,4,1,5,3,30.0,7,4,3,0,42.9
vs NE Revolution,1,9,9,810,9.0,7,0.78,29,23,82.8,4,1,4,4,44.4,2,2,0,0,0.0
vs NY Red Bulls,2,10,10,900,10.0,11,1.10,41,30,80.5,3,3,4,3,30.0,3,3,0,0,0.0
vs NYCFC,1,10,10,900,10.0,12,1.20,38,26,73.7,4,2,4,3,30.0,3,2,0,1,0.0
vs Orlando City,2,10,10,900,10.0,18,1.80,49,31,67.3,2,4,4,3,30.0,2,2,0,0,0.0
vs Philadelphia Union,2,10,10,900,10.0,19,1.90,55,35,65.5,3,1,6,2,20.0,1,0,1,0,100.0
vs Portland Timbers,2,10,10,900,10.0,20,2.00,48,30,62.5,2,3,5,2,20.0,2,2,0,0,0.0
vs Real Salt Lake,1,10,10,900,10.0,11,1.10,45,35,77.8,6,0,4,4,40.0,1,1,0,0,0.0
vs San Diego FC,1,10,10,900,10.0,16,1.60,46,30,67.4,4,2,4,2,20.0,1,1,0,0,0.0
vs Seattle Sounders,2,10,10,900,10.0,13,1.30,50,37,74.0,3,4,3,4,40.0,0,0,0,0,
vs SJ Earthquakes,2,10,10,900,10.0,20,2.00,60,40,71.7,6,1,3,1,10.0,3,3,0,0,0.0
vs Sporting KC,1,10,10,900,10.0,16,1.60,39,23,64.1,7,1,2,2,20.0,3,2,1,0,33.3
vs St. Louis,2,10,10,900,10.0,7,0.70,34,28,79.4,4,4,2,6,60.0,0,0,0,0,
vs Toronto FC,1,10,10,900,10.0,8,0.80,27,19,74.1,5,4,1,4,40.0,1,1,0,0,0.0
vs Vancouver W'caps,1,10,10,900,10.0,20,2.00,56,35,64.3,1,2,7,2,20.0,1,0,1,0,100.0
