team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Atlanta Utd,1,10,10,900,10.0,19,1.90,51,32,68.6,2,3,5,1,10.0,3,3,0,0,0.0
Austin,1,10,10,900,10.0,10,1.00,42,31,76.2,5,1,4,5,50.0,1,0,1,0,100.0
CF Montréal,2,10,10,900,10.0,14,1.40,53,39,73.6,0,3,7,2,20.0,0,0,0,0,
Charlotte,1,10,10,900,10.0,8,0.80,46,38,87.0,6,1,3,4,40.0,2,2,0,0,0.0
Chicago Fire,1,10,10,900,10.0,22,2.20,55,33,65.5,3,3,4,1,10.0,5,3,1,1,25.0
Colorado Rapids,3,10,10,900,10.0,14,1.40,51,38,72.5,4,4,2,3,30.0,0,0,0,0,
Columbus Crew,2,10,10,900,10.0,8,0.80,32,24,75.0,6,3,1,3,30.0,0,0,0,0,
D.C. United,2,10,10,900,10.0,22,2.20,52,30,61.5,2,3,5,1,10.0,2,2,0,0,0.0
FC Cincinnati,1,10,10,900,10.0,12,1.20,38,26,71.1,7,1,2,4,40.0,2,1,1,0,50.0
FC Dallas,2,10,10,900,10.0,14,1.40,41,27,70.7,4,3,3,2,20.0,2,2,0,0,0.0
Houston Dynamo,4,10,10,900,10.0,14,1.40,40,26,67.5,2,4,4,4,40.0,1,1,0,0,0.0
Inter Miami,3,9,9,807,9.0,10,1.12,39,29,74.4,5,3,1,3,33.3,0,0,0,0,
LA Galaxy,2,10,10,900,10.0,20,2.00,48,27,64.6,0,3,7,0,0.0,4,3,1,0,25.0
LAFC,2,10,10,900,10.0,16,1.60,37,22,59.5,4,2,4,3,30.0,1,1,0,0,0.0
Minnesota Utd,2,10,10,900,10.0,10,1.00,36,27,72.2,4,4,2,5,50.0,1,0,0,1,
Nashville SC,1,10,10,900,10.0,13,1.30,44,30,75.0,5,1,4,3,30.0,3,2,1,0,33.3
NE Revolution,1,9,9,810,9.0,7,0.78,36,29,80.6,4,1,4,4,44.4,0,0,0,0,
NY Red Bulls,2,10,10,900,10.0,9,0.90,44,35,81.8,4,3,3,4,40.0,1,1,0,0,0.0
NYCFC,1,10,10,900,10.0,13,1.30,45,34,71.1,4,2,4,3,30.0,0,0,0,0,
Orlando City,2,10,10,900,10.0,12,1.20,43,31,74.4,4,4,2,4,40.0,1,1,0,0,0.0
Philadelphia Union,2,10,10,900,10.0,9,0.90,31,22,74.2,6,1,3,5,50.0,1,1,0,0,0.0
Portland Timbers,2,10,10,900,10.0,15,1.50,53,35,75.5,5,3,2,3,30.0,5,2,3,0,60.0
Real Salt Lake,1,10,10,900,10.0,15,1.50,45,29,71.1,4,0,6,2,20.0,3,2,1,0,33.3
San Diego FC,1,10,10,900,10.0,15,1.50,49,34,75.5,4,2,4,3,30.0,3,3,0,0,0.0
Seattle Sounders,2,10,10,900,10.0,12,1.20,30,20,60.0,3,4,3,3,30.0,0,0,0,0,
SJ Earthquakes,2,10,10,900,10.0,19,1.90,57,38,68.4,3,1,6,1,10.0,1,1,0,0,0.0
Sporting KC,1,10,10,900,10.0,21,2.10,49,29,61.2,2,1,7,1,10.0,2,2,0,0,0.0
St. Louis,2,10,10,900,10.0,8,0.80,44,35,81.8,2,4,4,5,50.0,1,0,1,0,100.0
Toronto FC,1,10,10,900,10.0,14,1.40,46,32,76.1,1,4,5,3,30.0,3,3,0,0,0.0
Vancouver W'caps,1,10,10,900,10.0,7,0.70,23,16,69.6,7,2,1,5,50.0,0,0,0,0,
