team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
vs Atlanta Utd,24,10.0,191,19.10,137,13,9,14,14,4,29,2.90,15,2,4,4,4,0
vs Austin,19,10.0,234,23.40,180,17,6,19,7,5,16,1.60,12,0,0,2,1,1
vs CF Montréal,28,10.0,202,20.20,149,17,10,14,11,1,25,2.50,22,2,0,1,0,0
vs Charlotte,19,10.0,276,27.60,226,14,8,12,13,3,16,1.60,14,0,0,0,2,0
vs Chicago Fire,24,10.0,223,22.30,161,18,11,11,15,7,34,3.40,27,2,0,1,3,1
vs Colorado Rapids,27,10.0,262,26.20,205,25,5,18,4,5,24,2.40,23,1,0,0,0,0
vs Columbus Crew,22,10.0,145,14.50,102,18,7,8,6,4,12,1.20,7,1,0,3,0,1
vs D.C. United,23,10.0,216,21.60,173,12,3,13,10,5,41,4.10,31,3,1,2,3,1
vs FC Cincinnati,23,10.0,241,24.10,184,19,11,16,9,2,19,1.90,15,1,2,0,1,0
vs FC Dallas,22,10.0,224,22.40,161,24,9,11,17,2,23,2.30,16,1,0,4,2,0
vs Houston Dynamo,23,10.0,178,17.80,132,14,8,11,12,1,22,2.20,15,1,2,1,3,0
vs Inter Miami,25,9.0,194,21.56,137,16,9,13,12,7,15,1.67,11,1,0,2,1,0
vs LA Galaxy,24,10.0,224,22.40,164,19,13,15,12,1,36,3.60,27,1,2,3,3,0
vs LAFC,24,10.0,211,21.10,148,18,15,10,19,1,28,2.80,18,3,2,2,3,0
vs Minnesota Utd,23,10.0,220,22.00,164,17,10,11,13,5,17,1.70,14,0,0,2,0,1
vs Nashville SC,21,10.0,192,19.20,139,14,11,13,14,1,20,2.00,9,2,2,5,2,0
vs NE Revolution,21,9.0,242,26.89,193,13,9,17,7,3,12,1.33,10,0,0,2,0,0
vs NY Red Bulls,24,10.0,209,20.90,150,22,8,17,10,2,18,1.80,12,2,1,1,2,0
vs NYCFC,20,10.0,245,24.50,188,18,17,9,6,7,22,2.20,18,2,0,0,2,0
vs Orlando City,23,10.0,228,22.80,176,14,7,18,8,5,21,2.10,15,1,0,3,2,0
vs Philadelphia Union,22,10.0,174,17.40,125,15,10,16,6,2,15,1.50,10,1,2,1,1,0
vs Portland Timbers,22,10.0,268,26.80,194,19,16,14,22,3,29,2.90,22,1,1,0,5,0
vs Real Salt Lake,24,10.0,238,23.80,177,18,13,18,10,2,28,2.80,17,4,2,2,3,0
vs San Diego FC,23,10.0,180,18.00,128,12,10,12,12,6,25,2.50,14,2,2,3,4,0
vs Seattle Sounders,24,10.0,177,17.70,127,18,5,13,10,4,16,1.60,8,2,1,1,2,2
vs SJ Earthquakes,25,10.0,258,25.80,189,21,14,21,8,5,32,3.20,22,2,2,4,2,0
vs Sporting KC,22,10.0,219,21.90,169,20,8,11,7,4,33,3.30,20,3,2,5,3,0
vs St. Louis,21,10.0,247,24.70,186,24,9,17,9,2,14,1.40,10,1,1,2,0,0
vs Toronto FC,25,10.0,222,22.20,160,17,11,15,16,3,25,2.50,18,0,2,0,3,2
vs Vancouver W'caps,25,10.0,151,15.10,109,21,5,6,8,2,11,1.10,9,0,0,1,0,1
