team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Atlanta Utd,24,10.0,238,23.80,179,20,11,17,7,4,17,1.70,12,3,0,0,2,0
Austin,19,10.0,215,21.50,163,19,14,8,8,3,14,1.40,7,3,3,0,1,0
CF Montréal,28,10.0,184,18.40,141,13,8,13,5,4,6,0.60,3,0,1,2,0,0
Charlotte,19,10.0,194,19.40,152,10,11,8,12,1,22,2.20,11,2,3,2,4,0
Chicago Fire,24,10.0,210,21.00,159,14,12,14,7,4,30,3.00,19,2,2,3,2,2
Colorado Rapids,27,10.0,205,20.50,152,17,7,12,13,4,26,2.60,21,0,0,1,4,0
Columbus Crew,22,10.0,224,22.40,173,9,17,7,12,6,22,2.20,19,1,0,0,1,1
D.C. United,23,10.0,215,21.50,160,23,9,14,7,2,19,1.90,14,1,2,0,1,1
FC Cincinnati,23,10.0,240,24.00,181,17,12,14,13,3,23,2.30,15,0,3,3,2,0
FC Dallas,22,10.0,178,17.80,133,17,7,10,8,3,20,2.00,15,0,1,4,0,0
Houston Dynamo,23,10.0,184,18.40,137,19,7,8,12,1,16,1.60,10,2,0,2,2,0
Inter Miami,25,9.0,174,19.33,131,11,10,7,12,3,29,3.22,23,2,2,1,1,0
LA Galaxy,24,10.0,213,21.30,165,18,9,8,10,3,16,1.60,14,0,0,1,1,0
LAFC,24,10.0,215,21.50,155,13,14,17,10,6,23,2.30,14,0,1,5,2,1
Minnesota Utd,23,10.0,228,22.80,168,20,12,16,11,1,21,2.10,15,2,0,3,1,0
Nashville SC,21,10.0,262,26.20,185,23,7,27,15,5,34,3.40,22,4,1,3,4,0
NE Revolution,21,9.0,166,18.44,121,15,6,9,12,3,12,1.33,8,0,0,1,3,0
NY Red Bulls,24,10.0,204,20.40,142,19,10,11,19,3,21,2.10,15,1,0,2,3,0
NYCFC,20,10.0,204,20.40,154,8,9,21,8,4,17,1.70,7,1,1,5,3,0
Orlando City,23,10.0,254,25.40,191,20,7,18,12,6,33,3.30,23,2,1,1,5,1
Philadelphia Union,22,10.0,260,26.00,199,20,7,19,9,6,34,3.40,27,3,2,2,0,0
Portland Timbers,22,10.0,186,18.60,141,17,7,11,8,2,30,3.00,19,3,2,3,3,0
Real Salt Lake,24,10.0,237,23.70,169,22,9,22,14,1,15,1.50,12,0,0,3,0,0
San Diego FC,23,10.0,241,24.10,180,20,13,13,15,0,30,3.00,20,4,1,2,3,0
Seattle Sounders,24,10.0,264,26.40,188,24,15,20,13,4,24,2.40,19,0,3,2,0,0
SJ Earthquakes,25,10.0,309,30.90,231,27,9,19,15,8,37,3.70,27,3,0,1,4,2
Sporting KC,22,10.0,185,18.50,134,17,9,6,15,4,28,2.80,21,1,0,2,3,1
St. Louis,21,10.0,189,18.90,142,18,3,18,7,1,9,0.90,8,0,0,1,0,0
Toronto FC,25,10.0,141,14.10,109,13,2,6,8,3,14,1.40,10,1,1,0,2,0
Vancouver W'caps,25,10.0,272,27.20,198,24,14,20,10,6,36,3.60,31,1,1,2,0,1
