team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Atlanta Utd,24,10.0,17,1,1,124,116,18,130,88,74,3,1,2,441,109,135,44.7
vs Austin,19,10.0,29,0,0,114,126,6,211,50,80,1,1,0,358,110,106,50.9
vs CF Montréal,28,10.0,19,1,1,140,113,11,115,82,91,0,0,0,434,154,108,58.8
vs Charlotte,19,10.0,24,3,2,124,108,20,192,89,117,2,2,1,447,114,94,54.8
vs Chicago Fire,24,10.0,11,0,0,106,131,31,148,90,121,3,2,0,446,104,108,49.1
vs Colorado Rapids,27,10.0,12,0,0,100,108,17,173,91,99,0,3,0,446,138,130,51.5
vs Columbus Crew,22,10.0,23,0,0,145,96,34,114,120,100,0,0,1,453,97,73,57.1
vs D.C. United,23,10.0,23,0,0,106,144,25,149,96,97,2,2,0,444,145,187,43.7
vs FC Cincinnati,23,10.0,13,0,0,101,100,19,194,126,113,2,2,0,462,122,124,49.6
vs FC Dallas,22,10.0,19,1,0,144,121,22,213,117,78,2,2,0,440,117,127,48.0
vs Houston Dynamo,23,10.0,26,2,0,128,147,17,145,80,88,1,0,0,410,104,91,53.3
vs Inter Miami,25,9.0,17,0,0,118,109,16,140,78,87,0,0,0,430,67,77,46.5
vs LA Galaxy,24,10.0,22,1,1,130,94,17,171,62,81,3,0,0,391,95,76,55.6
vs LAFC,24,10.0,26,1,1,127,109,7,175,72,119,1,2,0,461,98,101,49.2
vs Minnesota Utd,23,10.0,15,0,0,99,134,14,195,74,117,1,1,0,448,158,173,47.7
vs Nashville SC,21,10.0,24,1,0,113,141,16,145,99,109,2,7,0,420,120,129,48.2
vs NE Revolution,21,9.0,19,0,0,117,113,13,171,65,80,0,2,1,403,121,91,57.1
vs NY Red Bulls,24,10.0,21,1,1,122,104,23,133,80,115,1,3,0,447,152,129,54.1
vs NYCFC,20,10.0,15,1,0,100,107,16,199,103,105,0,3,0,481,110,116,48.7
vs Orlando City,23,10.0,22,1,1,137,95,19,206,67,106,1,2,0,427,138,112,55.2
vs Philadelphia Union,22,10.0,26,1,1,127,134,25,140,96,86,1,1,0,461,165,185,47.1
vs Portland Timbers,22,10.0,16,0,0,104,110,28,202,91,105,5,2,2,443,102,120,45.9
vs Real Salt Lake,24,10.0,30,0,0,134,129,20,142,97,88,3,1,1,448,100,93,51.8
vs San Diego FC,23,10.0,26,3,2,120,127,22,87,96,90,2,1,0,418,51,83,38.1
vs Seattle Sounders,24,10.0,21,0,0,154,117,15,132,109,86,0,0,0,431,114,116,49.6
vs SJ Earthquakes,25,10.0,18,1,0,119,114,32,146,94,102,0,3,0,449,127,138,47.9
vs Sporting KC,22,10.0,26,1,1,138,108,27,129,97,83,2,3,1,449,118,98,54.6
vs St. Louis,21,10.0,23,0,0,129,104,11,188,83,78,1,0,1,431,131,132,49.8
vs Toronto FC,25,10.0,18,2,1,132,103,17,168,91,101,2,1,0,454,91,113,44.6
vs Vancouver W'caps,25,10.0,18,1,0,120,114,14,155,82,102,0,1,0,374,121,128,48.6
