team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atlanta Utd,24,10.0,19,0,0,123,119,20,198,89,87,1,3,0,437,135,109,55.3
Austin,19,10.0,27,1,1,131,107,21,193,79,75,1,1,0,354,106,110,49.1
CF Montréal,28,10.0,25,0,0,120,134,26,204,79,101,0,0,0,462,108,154,41.2
Charlotte,19,10.0,17,1,0,113,116,12,137,69,84,2,2,0,399,94,114,45.2
Chicago Fire,24,10.0,21,0,0,137,100,22,122,103,69,2,5,1,417,108,104,50.9
Colorado Rapids,27,10.0,15,0,0,113,93,16,154,117,79,3,0,1,450,130,138,48.5
Columbus Crew,22,10.0,14,1,0,101,137,17,122,81,75,0,0,0,442,73,97,42.9
D.C. United,23,10.0,29,0,0,150,100,19,201,96,114,1,2,0,427,187,145,56.3
FC Cincinnati,23,10.0,19,1,1,104,90,30,119,75,103,0,2,1,456,124,122,50.4
FC Dallas,22,10.0,21,0,0,130,130,23,116,84,120,1,2,0,402,127,117,52.0
Houston Dynamo,23,10.0,25,0,0,157,123,22,178,91,95,0,1,0,424,91,104,46.7
Inter Miami,25,9.0,24,3,0,111,111,18,95,76,106,0,0,0,419,77,67,53.5
LA Galaxy,24,10.0,20,1,0,99,122,7,130,62,80,0,4,0,378,76,95,44.4
LAFC,24,10.0,17,1,1,114,119,16,158,83,105,2,1,1,466,101,98,50.8
Minnesota Utd,23,10.0,17,0,0,141,93,21,154,100,111,0,1,1,457,173,158,52.3
Nashville SC,21,10.0,12,0,0,156,111,25,150,101,93,7,3,0,429,129,120,51.8
NE Revolution,21,9.0,18,0,0,121,112,22,176,93,92,2,0,0,418,91,121,42.9
NY Red Bulls,24,10.0,23,1,1,108,119,19,144,89,129,3,1,0,477,129,152,45.9
NYCFC,20,10.0,14,1,1,112,96,11,149,97,95,3,0,2,461,116,110,51.3
Orlando City,23,10.0,22,2,2,99,133,14,127,65,102,2,1,0,408,112,138,44.8
Philadelphia Union,22,10.0,25,2,1,137,122,18,233,112,123,1,1,0,515,185,165,52.9
Portland Timbers,22,10.0,26,1,0,114,100,13,129,80,87,2,5,0,422,120,102,54.1
Real Salt Lake,24,10.0,27,3,1,139,124,20,147,84,89,0,3,0,421,93,100,48.2
San Diego FC,23,10.0,24,1,1,137,115,16,171,83,86,1,3,0,452,83,51,61.9
Seattle Sounders,24,10.0,16,0,0,126,146,28,189,99,104,0,0,2,471,116,114,50.4
SJ Earthquakes,25,10.0,16,1,1,121,111,22,221,117,96,3,1,0,483,138,127,52.1
Sporting KC,22,10.0,22,0,0,120,131,18,191,96,115,2,2,1,442,98,118,45.4
St. Louis,21,10.0,24,2,2,109,119,23,165,79,73,0,1,0,398,132,131,50.2
Toronto FC,25,10.0,18,0,0,106,125,24,134,88,106,1,3,0,438,113,91,55.4
Vancouver W'caps,25,10.0,22,0,0,123,118,9,201,98,104,1,0,0,422,128,121,51.4
