team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
vs Atlanta Utd,24,10.0,5048,4610,420,133,9,27,130,154,36,14,10,0,4144,18,71
vs Austin,19,10.0,5524,5048,470,150,6,33,211,169,52,21,14,1,4656,6,90
vs CF Montréal,28,10.0,4464,4009,444,135,13,21,115,170,47,32,9,0,3512,11,73
vs Charlotte,19,10.0,5219,4768,431,113,15,22,192,161,49,24,20,0,4375,20,68
vs Chicago Fire,24,10.0,5367,4869,467,148,12,27,148,186,50,27,11,0,4428,31,97
vs Colorado Rapids,27,10.0,5325,4822,486,125,18,40,173,209,50,25,17,0,4324,17,101
vs Columbus Crew,22,10.0,4454,4030,390,111,14,20,114,161,33,16,7,1,3539,34,83
vs D.C. United,23,10.0,4535,4036,474,161,12,29,149,184,39,25,7,1,3570,25,86
vs FC Cincinnati,23,10.0,5079,4591,469,128,6,27,194,195,55,28,14,4,4038,19,99
vs FC Dallas,22,10.0,5122,4627,473,140,9,54,213,184,60,32,20,0,4141,22,82
vs Houston Dynamo,23,10.0,4920,4429,474,171,9,42,145,174,48,28,12,0,4048,17,77
vs Inter Miami,25,9.0,4396,4015,365,124,15,22,140,126,38,16,8,0,3653,16,82
vs LA Galaxy,24,10.0,5094,4670,407,97,21,30,171,168,52,31,12,0,4286,17,88
vs LAFC,24,10.0,5158,4719,432,124,16,29,175,154,56,25,16,1,4233,7,108
vs Minnesota Utd,23,10.0,5894,5435,445,156,14,45,195,157,46,17,18,0,4843,14,98
vs Nashville SC,21,10.0,5043,4547,480,171,14,30,145,181,30,17,3,1,4098,16,89
vs NE Revolution,21,9.0,4894,4465,416,140,8,12,171,165,48,31,7,1,4043,13,91
vs NY Red Bulls,24,10.0,4813,4328,462,122,14,36,133,207,40,11,21,0,3777,23,90
vs NYCFC,20,10.0,4899,4373,510,119,20,40,199,219,69,34,14,0,3876,16,107
vs Orlando City,23,10.0,5258,4797,442,109,10,24,206,183,58,29,19,3,4279,19,92
vs Philadelphia Union,22,10.0,4771,4206,540,149,8,31,140,234,40,17,15,0,3609,25,117
vs Portland Timbers,22,10.0,5717,5250,439,112,16,49,202,184,64,39,13,0,4790,28,93
vs Real Salt Lake,24,10.0,4640,4158,462,153,14,15,142,166,46,23,13,0,3731,20,77
vs San Diego FC,23,10.0,4551,4121,408,141,18,34,87,137,27,15,4,0,3789,22,53
vs Seattle Sounders,24,10.0,4726,4251,460,149,6,20,132,170,41,23,13,0,3806,15,84
vs SJ Earthquakes,25,10.0,4928,4360,536,139,13,51,146,218,46,14,20,0,3816,32,88
vs Sporting KC,22,10.0,4769,4308,434,135,18,28,129,162,40,20,13,1,3821,27,69
vs St. Louis,21,10.0,5795,5342,442,126,17,21,188,187,55,36,10,0,4858,11,88
vs Toronto FC,25,10.0,5382,4878,487,115,13,42,168,227,61,22,20,1,4448,17,83
vs Vancouver W'caps,25,10.0,4398,3895,489,130,7,27,155,205,43,15,24,0,3499,14,89
