team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Atlanta Utd,24,10.0,5386,4901,465,136,5,25,198,170,55,47,1,0,4426,20,73
Austin,19,10.0,4380,3952,407,113,12,26,193,153,50,22,17,0,3565,21,68
CF Montréal,28,10.0,5215,4732,457,146,9,28,204,168,53,27,19,0,4196,26,79
Charlotte,19,10.0,4869,4401,456,137,11,34,137,191,37,20,6,0,4048,12,63
Chicago Fire,24,10.0,4953,4464,467,128,14,27,122,204,35,14,14,1,4097,22,104
Colorado Rapids,27,10.0,4337,3870,451,106,16,15,154,189,49,15,30,0,3281,16,79
Columbus Crew,22,10.0,6209,5744,448,168,19,18,122,152,48,25,8,0,5348,17,108
D.C. United,23,10.0,4761,4233,509,125,7,40,201,217,58,23,26,4,3628,19,89
FC Cincinnati,23,10.0,5213,4723,460,108,16,30,119,223,40,23,7,0,4235,30,88
FC Dallas,22,10.0,4442,3956,463,159,14,17,116,165,37,10,14,0,3534,23,74
Houston Dynamo,23,10.0,5453,4997,434,139,7,18,178,157,51,25,16,0,4589,22,91
Inter Miami,25,9.0,4913,4509,386,124,13,43,95,137,50,11,12,1,4156,18,70
LA Galaxy,24,10.0,5542,5102,433,142,13,41,130,152,44,25,5,1,4758,7,70
LAFC,24,10.0,5699,5236,447,127,9,40,158,184,44,34,3,0,4794,16,95
Minnesota Utd,23,10.0,3585,3145,419,105,18,10,154,172,50,20,23,0,2548,21,90
Nashville SC,21,10.0,5256,4764,467,118,10,22,150,210,52,31,16,1,4302,25,94
NE Revolution,21,9.0,4166,3721,423,117,8,38,176,165,46,22,10,0,3316,22,81
NY Red Bulls,24,10.0,5242,4789,434,138,14,25,144,186,35,23,8,0,4248,19,93
NYCFC,20,10.0,5298,4815,472,111,12,19,149,213,48,31,4,1,4244,11,121
Orlando City,23,10.0,4620,4160,446,150,19,46,127,161,36,9,23,0,3762,14,70
Philadelphia Union,22,10.0,4531,4006,507,145,7,14,233,219,60,29,16,2,3309,18,119
Portland Timbers,22,10.0,4976,4513,450,127,15,24,129,172,43,20,14,0,4103,13,86
Real Salt Lake,24,10.0,5284,4775,489,148,11,52,147,195,40,22,2,0,4354,20,64
San Diego FC,23,10.0,6338,5892,430,135,30,37,171,157,54,29,10,0,5471,16,91
Seattle Sounders,24,10.0,5664,5145,491,160,20,33,189,175,60,19,22,1,4697,28,85
SJ Earthquakes,25,10.0,4641,4159,460,146,20,36,221,168,54,18,27,1,3575,22,100
Sporting KC,22,10.0,5256,4741,497,159,11,60,191,189,44,31,4,2,4213,18,92
St. Louis,21,10.0,4132,3645,464,136,11,28,165,185,44,18,20,0,3194,23,90
Toronto FC,25,10.0,4381,3883,474,144,5,33,134,188,33,30,3,0,3444,24,93
Vancouver W'caps,25,10.0,5441,4984,448,129,9,49,201,180,69,34,24,0,4595,9,93
