team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
vs Atlanta Utd,24,10.0,4144,5048,82.1,72250,24696,1865,2067,90.2,1856,2114,87.8,346,651,53.1,9,9.5,10.1,-0.5,85,314,67,12,386
vs Austin,19,10.0,4656,5524,84.3,84514,29508,1991,2204,90.3,2147,2406,89.2,457,722,63.3,6,7.2,9.2,-1.2,97,405,95,17,516
vs CF Montréal,28,10.0,3512,4464,78.7,62614,25516,1584,1821,87.0,1476,1755,84.1,363,669,54.3,11,8.9,8.9,+2.1,81,284,67,8,308
vs Charlotte,19,10.0,4375,5219,83.8,74885,26691,2000,2197,91.0,1889,2100,90.0,363,663,54.8,6,9.6,10.4,-3.6,114,310,100,22,442
vs Chicago Fire,24,10.0,4428,5367,82.5,78146,25552,1892,2108,89.8,1994,2213,90.1,417,730,57.1,16,12.1,12.3,+3.9,98,317,103,25,350
vs Colorado Rapids,27,10.0,4324,5325,81.2,74133,26940,2009,2230,90.1,1753,2023,86.7,410,724,56.6,12,13.2,12.1,-1.2,119,313,95,25,399
vs Columbus Crew,22,10.0,3539,4454,79.5,62345,23347,1620,1853,87.4,1416,1626,87.1,377,651,57.9,7,9.5,8.1,-2.5,67,213,64,14,277
vs D.C. United,23,10.0,3570,4535,78.7,62528,23748,1647,1861,88.5,1483,1749,84.8,360,688,52.3,17,11.4,9.6,+5.6,92,309,76,19,359
vs FC Cincinnati,23,10.0,4038,5079,79.5,71267,25695,1820,2052,88.7,1787,2075,86.1,366,737,49.7,8,10.3,9.4,-2.3,94,331,77,17,377
vs FC Dallas,22,10.0,4141,5122,80.8,73941,25537,1904,2134,89.2,1664,1923,86.5,465,804,57.8,8,8.3,11.0,-0.3,93,405,85,20,470
vs Houston Dynamo,23,10.0,4048,4920,82.3,72690,25083,1752,1957,89.5,1755,2001,87.7,433,709,61.1,11,10.0,8.3,+1.0,71,319,66,7,397
vs Inter Miami,25,9.0,3653,4396,83.1,61116,22378,1757,1938,90.7,1491,1686,88.4,284,499,56.9,7,10.4,10.9,-3.4,79,319,78,18,395
vs LA Galaxy,24,10.0,4286,5094,84.1,71879,27154,2098,2274,92.3,1712,1929,88.8,350,618,56.6,12,10.6,11.4,+1.4,98,342,91,19,432
vs LAFC,24,10.0,4233,5158,82.1,71746,24987,2061,2271,90.8,1679,1896,88.6,383,706,54.2,13,9.9,11.1,+3.1,87,331,74,17,373
vs Minnesota Utd,23,10.0,4843,5894,82.2,89059,29175,1997,2261,88.3,2232,2545,87.7,544,861,63.2,8,7.5,9.3,+0.5,83,455,73,20,516
vs Nashville SC,21,10.0,4098,5043,81.3,73142,25819,1769,2010,88.0,1863,2112,88.2,384,697,55.1,7,7.3,8.0,-0.3,79,267,63,13,332
vs NE Revolution,21,9.0,4043,4894,82.6,67174,24113,1958,2157,90.8,1649,1873,88.0,317,596,53.2,6,10.3,13.3,-4.3,104,371,98,26,387
vs NY Red Bulls,24,10.0,3777,4813,78.5,67110,25256,1676,1922,87.2,1634,1920,85.1,376,711,52.9,7,9.9,11.5,-2.9,91,284,81,19,371
vs NYCFC,20,10.0,3876,4899,79.1,68580,23825,1699,1896,89.6,1733,2028,85.5,361,710,50.8,9,11.5,12.9,-2.5,108,330,100,20,411
vs Orlando City,23,10.0,4279,5258,81.4,72942,26285,2092,2326,89.9,1730,1987,87.1,368,687,53.6,8,10.3,10.6,-2.3,93,455,83,23,458
vs Philadelphia Union,22,10.0,3609,4771,75.6,66167,25040,1529,1847,82.8,1620,1918,84.5,392,757,51.8,7,7.9,9.0,-0.9,74,262,56,13,323
vs Portland Timbers,22,10.0,4790,5717,83.8,83882,28511,2185,2386,91.6,2070,2310,89.6,441,756,58.3,10,11.0,13.5,-1.0,110,422,109,22,460
vs Real Salt Lake,24,10.0,3731,4640,80.4,62867,24544,1798,2030,88.6,1559,1807,86.3,304,593,51.3,10,11.4,11.6,-1.4,95,293,97,14,398
vs San Diego FC,23,10.0,3789,4551,83.3,67462,24009,1689,1851,91.2,1610,1792,89.8,402,707,56.9,9,13.0,9.9,-4.0,83,255,61,7,255
vs Seattle Sounders,24,10.0,3806,4726,80.5,64583,25218,1811,2046,88.5,1563,1820,85.9,328,611,53.7,5,7.4,8.3,-2.4,74,286,67,17,343
vs SJ Earthquakes,25,10.0,3816,4928,77.4,65711,24413,1863,2105,88.5,1508,1797,83.9,351,756,46.4,14,16.0,13.2,-2.0,112,297,86,14,398
vs Sporting KC,22,10.0,3821,4769,80.1,65957,24854,1798,2040,88.1,1555,1799,86.4,362,666,54.4,14,11.4,9.1,+2.6,99,293,70,16,333
vs St. Louis,21,10.0,4858,5795,83.8,82325,28891,2331,2564,90.9,2004,2243,89.3,398,711,56.0,7,10.8,14.3,-3.8,107,468,110,22,462
vs Toronto FC,25,10.0,4448,5382,82.6,78753,28060,1940,2170,89.4,2027,2305,87.9,393,684,57.5,9,9.2,10.4,-0.2,84,363,71,15,444
vs Vancouver W'caps,25,10.0,3499,4398,79.6,62216,23013,1520,1729,87.9,1534,1789,85.7,358,654,54.7,3,6.2,9.0,-3.2,59,229,56,17,294
