team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Atlanta Utd,24,10.0,4426,5386,82.2,79489,29039,1878,2142,87.7,2049,2304,88.9,426,752,56.6,6,10.4,14.9,-4.4,103,413,91,25,449
Austin,19,10.0,3565,4380,81.4,65319,23802,1533,1694,90.5,1548,1752,88.4,403,728,55.4,5,8.6,9.4,-3.6,91,256,65,24,319
CF Montréal,28,10.0,4196,5215,80.5,75588,26865,1780,2013,88.4,1882,2156,87.3,437,791,55.2,3,7.7,9.7,-4.7,75,339,85,27,429
Charlotte,19,10.0,4048,4869,83.1,73805,25562,1679,1843,91.1,1897,2143,88.5,398,696,57.2,8,11.5,9.6,-3.5,84,302,72,15,393
Chicago Fire,24,10.0,4097,4953,82.7,68690,25178,1954,2168,90.1,1682,1915,87.8,333,567,58.7,12,10.8,8.7,+1.2,87,250,63,10,339
Colorado Rapids,27,10.0,3281,4337,75.7,56916,22801,1533,1761,87.1,1342,1615,83.1,305,714,42.7,8,10.5,14.0,-2.5,86,311,91,11,373
Columbus Crew,22,10.0,5348,6209,86.1,80625,29054,2936,3148,93.3,1898,2127,89.2,294,514,57.2,12,12.5,13.9,-0.5,101,443,114,17,481
D.C. United,23,10.0,3628,4761,76.2,67537,26284,1636,1925,85.0,1484,1756,84.5,445,848,52.5,9,9.9,12.3,-0.9,97,305,95,29,357
FC Cincinnati,23,10.0,4235,5213,81.2,74194,25812,1784,2048,87.1,2002,2269,88.2,359,646,55.6,8,8.5,10.4,-0.5,101,284,75,10,382
FC Dallas,22,10.0,3534,4442,79.6,61316,24316,1627,1873,86.9,1483,1743,85.1,336,581,57.8,8,9.8,10.7,-1.8,78,279,76,14,361
Houston Dynamo,23,10.0,4589,5453,84.2,72089,25174,2484,2695,92.2,1626,1834,88.7,320,620,51.6,9,7.6,9.5,+1.4,79,321,79,17,415
Inter Miami,25,9.0,4156,4913,84.6,75122,25743,1766,1952,90.5,1918,2121,90.4,392,621,63.1,14,12.5,11.7,+1.5,79,285,83,11,379
LA Galaxy,24,10.0,4758,5542,85.9,82354,26211,2194,2353,93.2,2040,2249,90.7,430,733,58.7,7,8.3,9.6,-1.3,89,417,74,7,393
LAFC,24,10.0,4794,5699,84.1,84747,28904,2139,2363,90.5,2174,2421,89.8,411,693,59.3,6,10.3,9.5,-4.3,90,454,80,15,469
Minnesota Utd,23,10.0,2548,3585,71.1,44294,19970,1254,1507,83.2,956,1231,77.7,276,611,45.2,10,12.6,12.4,-2.6,98,208,75,20,289
Nashville SC,21,10.0,4302,5256,81.8,76188,27957,1874,2106,89.0,1920,2197,87.4,423,704,60.1,13,11.7,11.9,+1.3,109,292,86,18,359
NE Revolution,21,9.0,3316,4166,79.6,60613,19828,1369,1531,89.4,1489,1705,87.3,365,675,54.1,3,5.2,6.2,-2.2,69,258,67,14,289
NY Red Bulls,24,10.0,4248,5242,81.0,71698,23574,2044,2247,91.0,1805,2075,87.0,311,653,47.6,7,9.1,8.5,-2.1,82,384,74,14,398
NYCFC,20,10.0,4244,5298,80.1,69195,25524,2137,2443,87.5,1716,1988,86.3,293,609,48.1,5,7.2,8.9,-2.2,84,367,81,14,417
Orlando City,23,10.0,3762,4620,81.4,67766,25808,1702,1897,89.7,1621,1850,87.6,377,685,55.0,13,12.6,10.0,+0.4,115,311,84,15,393
Philadelphia Union,22,10.0,3309,4531,73.0,56712,23644,1600,1879,85.2,1310,1650,79.4,306,704,43.5,17,13.2,11.4,+3.8,106,313,85,30,363
Portland Timbers,22,10.0,4103,4976,82.5,74544,27976,1720,1936,88.8,1918,2165,88.6,405,661,61.3,14,8.9,7.8,+5.1,79,280,46,9,326
Real Salt Lake,24,10.0,4354,5284,82.4,77609,26198,1955,2167,90.2,1768,2034,86.9,495,796,62.2,5,8.5,8.3,-3.5,86,285,57,11,360
San Diego FC,23,10.0,5471,6338,86.3,89552,31050,2721,2957,92.0,2194,2431,90.3,402,644,62.4,13,11.9,13.3,+1.1,101,401,111,15,472
Seattle Sounders,24,10.0,4697,5664,82.9,82404,28081,2146,2374,90.4,2018,2292,88.0,442,760,58.2,12,11.6,11.9,+0.4,110,409,96,19,451
SJ Earthquakes,25,10.0,3575,4641,77.0,64554,24591,1519,1766,86.0,1517,1807,84.0,406,737,55.1,14,16.4,11.8,-2.4,123,308,88,25,412
Sporting KC,22,10.0,4213,5256,80.2,75494,24636,1914,2165,88.4,1726,1965,87.8,481,870,55.3,11,7.0,10.3,+4.0,76,423,89,21,482
St. Louis,21,10.0,3194,4132,77.3,58314,23946,1366,1572,86.9,1380,1624,85.0,358,675,53.0,5,8.4,8.7,-3.4,80,218,71,17,305
Toronto FC,25,10.0,3444,4381,78.6,61909,22509,1479,1667,88.7,1532,1775,86.3,356,713,49.9,4,5.2,5.1,-1.2,56,305,49,14,304
Vancouver W'caps,25,10.0,4595,5441,84.5,83347,27821,1932,2115,91.3,2098,2347,89.4,468,727,64.4,15,13.4,16.2,+1.6,116,421,117,30,507
